App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ALE,10.164.105.171,,10.165.116.47,,8443,TCP,3482969,935211
ALE,2001:db8:2582:6d22:c4bb:b7a9:d988:68dd,,2001:db8:4c3a:9f21:935f:2b0a:a138:4ddc,,8443,HTTPS,2173568,1776265
ALE,10.164.144.54,,10.100.246.217,,389,TCP,2048463,310631
ALE,10.164.144.68,,10.164.116.237,,8443,HTTPS,3267748,3838911
ALE,10.165.116.228,,10.164.116.81,,8443,HTTPS,1987729,1187128
ALE,10.164.105.248,,10.100.246.122,,8080,HTTP,424988,3092824
ALE,10.164.105.41,,10.165.116.70,,8080,TCP,0,0
ALE,10.165.116.212,,10.164.116.31,,,TCP,1733584,3895167
ALE,10.164.144.194,,10.100.246.244,,,TCP,1352472,3260303
ALE,10.100.246.112,,10.164.116.249,,22,TCP,221738,1730985
ALE,10.164.116.84,,10.100.160.239,,,TCP,2340276,213105
ALE,10.100.160.42,,10.164.144.219,,,TCP,862226,310909
ALE,10.164.116.172,,10.164.105.194,,8080,HTTP,0,0
ALE,2001:db8:4c3a:9f21:f3b1:25b:fff9:f585,,2001:db8:ea19:a1e1:a66f:d7f7:3966:9fa7,,443,HTTPS,3263483,230149
ALE,10.164.144.78,,10.165.116.122,,443,TCP,2465459,1014209
ALE,10.164.105.58,,10.164.145.83,,80,HTTP,2527179,207703
ALE,10.164.116.101,,10.164.116.38,,443,HTTPS,527405,3024239
ALE,10.165.116.61,,10.100.246.21,,8081,HTTP,1896747,2874621
ALE,10.164.105.215,,10.164.144.250,,3306,TCP,2765837,3839536
ALE,10.164.116.138,,10.164.145.247,,8080,HTTP,3563381,3166146
ALE,10.164.145.44,,10.100.246.142,,80,HTTP,3247725,2049128
ALE,10.164.105.253,,10.164.144.166,,3306,TCP,3446351,1183608
ALE,10.100.160.5,,10.164.105.97,,5432,TCP,2149244,2428577
ALE,10.100.160.251,,10.100.160.229,,8443,TCP,1796181,3001565
ALE,10.164.105.176,,10.164.116.217,,8443,HTTPS,1575600,3047987
ALE,10.164.145.98,,10.164.144.161,,,TCP,3296854,2994755
ALE,10.164.116.144,,10.164.105.51,,3306,TCP,0,0
ALE,10.164.105.27,,10.164.144.149,,443,HTTPS,2775419,3742590
ALE,2001:db8:ea19:a1e1:782a:65e0:48ca:7651,,2001:db8:4c3a:9f21:5738:811d:70c2:903f,,22,TCP,0,0
ALE,10.165.116.27,,10.100.160.77,,,TCP,1374378,457274
ALE,2001:db8:1a2b:3c4d:6160:7459:85c7:504b,,2001:db8:2582:6d22:7156:29ee:e893:be3d,,8443,HTTPS,1380857,2485004
ALE,10.100.160.106,,10.164.144.108,,8081,HTTP,440524,758745
ALE,10.164.145.209,,10.164.144.230,,8443,HTTPS,1321630,236901
ALE,10.100.160.232,,10.100.246.36,,443,HTTPS,3975163,1209622
ALE,10.100.160.101,,10.100.246.217,,8080,TCP,3910153,1214143
ALE,2001:db8:2bda:f8d3:706c:5c56:49e2:623d,,2001:db8:1a2b:3c4d:b04d:3376:77fc:9703,,8443,HTTPS,1241883,2199132
ALE,10.165.116.221,,10.164.144.165,,8443,HTTPS,208485,483052
ALE,10.100.246.10,,10.165.116.137,,443,HTTPS,3300711,3272021
ALE,10.164.116.92,,10.164.105.223,,8443,HTTPS,482698,2071366
ALE,10.100.160.82,,10.164.144.168,,8081,HTTP,2178147,1308873
ALE,10.100.246.18,,10.165.116.232,,3306,TCP,586210,3340300
ALE,10.164.144.236,,10.100.160.211,,3306,TCP,2711515,3272752
ALE,10.164.144.136,,10.164.145.67,,8080,HTTP,3794538,3028672
ALE,2001:db8:2bda:f8d3:8d60:5936:380:2b70,,2001:db8:4c3a:9f21:e9b5:c5cf:d766:5cda,,80,HTTP,2816691,3590261
ALE,10.164.105.139,,10.165.116.212,,8080,HTTP,1122281,2015901
ALE,10.165.116.69,,10.165.116.35,,8080,HTTP,1525540,3403926
ALE,10.164.105.152,,10.100.160.250,,22,TCP,1547554,1494354
ALE,10.164.116.96,,10.164.105.122,,8443,HTTPS,1079631,3690378
ALE,2001:db8:2bda:f8d3:fb16:e5db:a6ea:b79e,,2001:db8:2582:6d22:f6fe:bc0e:7ecd:dbaf,,3306,TCP,3747787,520959
ALE,10.165.116.7,,10.164.116.73,,8081,HTTP,747437,413852
ALE,10.164.105.203,,10.165.116.41,,8081,HTTP,3704342,2338174
