App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ACDA,2001:db8:548b:87b5:8b9d:2434:e465:e150,,2001:db8:2bda:f8d3:6c03:1199:972a:8469,,8443,TCP,0,0
ACDA,10.100.160.214,,10.100.160.112,,8081,HTTP,1266816,3494997
ACDA,10.164.145.216,,10.100.160.174,,80,HTTP,1003091,3302326
ACDA,2001:db8:ea19:a1e1:ce9f:f57f:43b7:a3a6,,2001:db8:548b:87b5:93cd:59bf:5c94:1cf0,,443,HTTPS,292201,2873539
ACDA,10.164.144.119,,10.100.246.51,,8080,HTTP,2001740,2766253
ACDA,10.164.105.136,,10.164.145.36,,443,HTTPS,2340345,3158179
ACDA,10.164.105.112,,10.100.160.166,,80,TCP,3476606,1423105
ACDA,2001:db8:4c3a:9f21:a491:f0b2:ea1f:ca65,,2001:db8:2bda:f8d3:43cf:2fde:2493:3b83,,,TCP,2360634,1202018
ACDA,10.165.116.185,,10.164.116.112,,443,TCP,3269980,297620
ACDA,10.164.145.216,,10.100.246.32,,8080,HTTP,2599337,2063143
ACDA,10.100.246.58,,10.164.144.136,,8443,HTTPS,567883,1331028
ACDA,10.100.160.134,,10.100.160.91,,443,HTTPS,3751219,2722699
ACDA,10.165.116.78,,10.164.145.191,,389,TCP,3952440,102398
ACDA,10.164.144.157,,10.164.105.122,,443,TCP,459256,3169842
ACDA,2001:db8:1a2b:3c4d:2031:d750:c40d:b9b4,,2001:db8:4c3a:9f21:2a45:c2ab:8cbf:edb0,,8443,HTTPS,988346,3996145
ACDA,10.164.145.159,,10.100.160.204,,8443,HTTPS,1937524,3873254
ACDA,2001:db8:2bda:f8d3:1d7:4256:3860:2ab6,,2001:db8:ea19:a1e1:a18f:f6b6:b535:106e,,80,TCP,0,0
ACDA,10.100.160.109,,10.164.116.67,,8443,HTTPS,1119204,3390932
ACDA,10.164.144.220,,10.164.144.181,,8080,HTTP,2058843,3723193
ACDA,10.100.160.31,,10.164.144.206,,8443,HTTPS,3457928,3714116
ACDA,10.165.116.71,,10.164.116.216,,8443,TCP,0,0
ACDA,10.100.246.50,,10.165.116.25,,443,HTTPS,491172,3985464
ACDA,10.164.116.246,,10.164.116.109,,80,HTTP,0,0
ACDA,10.100.246.232,,10.100.246.146,,8081,HTTP,3163961,3385656
ACDA,10.164.145.151,,10.164.145.111,,389,TCP,355674,3237236
ACDA,2001:db8:2582:6d22:675d:d5af:3c36:5296,,2001:db8:4c3a:9f21:9e8f:c965:a2c:827e,,8081,HTTP,2548099,2470733
ACDA,10.164.145.160,,10.100.160.122,,8080,HTTP,648943,2917272
ACDA,10.100.246.4,,10.164.144.234,,443,HTTPS,407277,2355002
ACDA,10.164.105.125,,10.164.144.189,,80,HTTP,1937879,3596979
ACDA,10.100.246.4,,10.100.160.153,,443,HTTPS,3783131,663257
ACDA,10.100.160.79,,10.165.116.139,,8081,HTTP,983444,3109883
ACDA,10.100.246.250,,10.164.105.128,,5432,TCP,0,0
ACDA,10.164.145.134,,10.100.160.82,,8443,HTTPS,2413915,3059783
ACDA,2001:db8:ea19:a1e1:d5a8:4eb:939:23de,,2001:db8:2bda:f8d3:8d72:48e2:951f:58d0,,80,HTTP,275442,1392929
ACDA,10.100.246.183,,10.164.144.107,,443,HTTPS,2897321,531147
ACDA,10.100.246.79,,10.164.116.121,,,TCP,3500623,842611
ACDA,2001:db8:2bda:f8d3:ee49:f329:c84a:7b28,,2001:db8:548b:87b5:cf8d:446a:bc2c:bb0d,,80,HTTP,3402488,3041373
ACDA,10.100.246.113,,10.164.116.102,,8080,HTTP,1380063,3541579
ACDA,10.164.144.98,,10.100.160.204,,8080,HTTP,3725359,391171
ACDA,10.100.160.204,,10.165.116.169,,1521,TCP,848967,2535169
ACDA,10.164.144.222,,10.165.116.176,,8443,HTTPS,1930368,2642624
ACDA,2001:db8:4c3a:9f21:5d3d:9e56:3270:e4fa,,2001:db8:2bda:f8d3:81d2:c7de:4ce1:eb90,,8443,HTTPS,1468110,1787789
ACDA,10.164.145.194,,10.164.116.89,,8443,HTTPS,1803202,2398215
ACDA,10.164.145.164,,10.164.116.238,,8080,HTTP,2933786,996328
