App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
AODSVY,10.100.246.18,,10.164.116.35,,1521,TCP,0,0
AODSVY,10.100.246.51,,10.100.160.227,,80,TCP,292900,1460525
AODSVY,10.164.105.74,,10.164.116.125,,8443,HTTPS,2473674,2959678
AODSVY,10.164.144.195,,10.165.116.123,,8081,HTTP,700279,1073868
AODSVY,10.164.105.4,,10.100.160.238,,8081,HTTP,0,0
AODSVY,10.165.116.217,,10.164.105.128,,8080,HTTP,935576,1713520
AODSVY,2001:db8:2582:6d22:9326:dffd:5be4:bf51,,2001:db8:4c3a:9f21:b303:f438:fe21:10d0,,,TCP,2860815,1760129
AODSVY,10.100.160.25,,10.100.246.254,,80,HTTP,2646215,3463546
AODSVY,10.165.116.70,,10.164.105.49,,443,HTTPS,1395758,3407672
AODSVY,10.100.160.46,,10.164.145.151,,8081,HTTP,1842746,836687
AODSVY,10.164.105.139,,10.165.116.84,,8080,HTTP,3482657,1337912
AODSVY,10.164.144.38,,10.164.116.72,,,TCP,3137585,2928664
AODSVY,10.100.246.187,,10.165.116.46,,80,HTTP,1209219,2350547
AODSVY,10.100.160.134,,10.100.160.195,,8443,HTTPS,554436,2930469
AODSVY,2001:db8:4c3a:9f21:9c2e:58de:ea4e:3617,,2001:db8:548b:87b5:1dde:7969:6886:13db,,,TCP,1376597,2166217
AODSVY,10.165.116.198,,10.164.145.232,,8081,HTTP,3216955,3021265
AODSVY,10.100.160.79,,10.100.160.212,,443,HTTPS,3596762,2152470
AODSVY,10.164.105.189,,10.164.144.111,,8080,HTTP,1090328,3688018
AODSVY,10.164.105.183,,10.165.116.31,,8080,HTTP,896114,612374
AODSVY,10.164.144.108,,10.100.160.10,,,TCP,1121601,628163
AODSVY,10.100.246.106,,10.100.246.110,,8080,TCP,3407811,3877100
AODSVY,10.164.145.128,,10.164.145.89,,80,TCP,652822,162328
AODSVY,10.165.116.8,,10.164.105.89,,80,HTTP,631663,3210991
AODSVY,2001:db8:ea19:a1e1:c72c:1fe3:72c2:2a16,,2001:db8:2582:6d22:97fa:7f04:8363:9007,,8081,HTTP,0,0
AODSVY,10.100.246.154,,10.100.160.234,,443,HTTPS,355120,2108995
AODSVY,10.164.144.227,,10.164.116.37,,8080,TCP,375491,629285
AODSVY,10.165.116.166,,10.100.160.195,,8443,HTTPS,2003020,2220434
AODSVY,2001:db8:2bda:f8d3:dd90:e79e:b888:f6ed,,2001:db8:ea19:a1e1:69ef:afb1:3a7e:8e14,,8080,HTTP,0,0
AODSVY,10.100.160.191,,10.164.105.78,,8443,HTTPS,381577,482624
