App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
APSE,10.164.145.237,,10.100.246.245,,443,HTTPS,0,0
APSE,10.164.116.150,,10.164.144.103,,,TCP,3815274,275766
APSE,10.164.116.242,,10.100.246.129,,,TCP,901545,1300036
APSE,10.100.246.169,,10.100.160.139,,,TCP,1932706,3830776
APSE,10.164.116.95,,10.164.105.254,,8443,HTTPS,1640764,3976839
APSE,10.164.144.217,,10.100.160.40,,8081,HTTP,3549149,856889
APSE,10.164.144.151,,10.164.105.156,,8081,HTTP,3110096,1887260
APSE,10.164.116.180,,10.164.144.222,,8081,HTTP,0,0
APSE,10.164.105.81,,10.165.116.15,,,TCP,2944110,3377059
APSE,2001:db8:2bda:f8d3:5dc7:b3e6:a529:64ff,,2001:db8:1a2b:3c4d:9ae7:7eab:84a:6780,,8443,HTTPS,1655937,1660337
APSE,2001:db8:2bda:f8d3:65e5:8f34:5df0:6e8c,,2001:db8:4c3a:9f21:4758:367b:a649:9cdc,,8080,TCP,2193142,2271581
APSE,10.164.105.133,,10.100.246.228,,,TCP,1297796,3010765
APSE,10.164.144.37,,10.164.145.231,,,TCP,1966931,468221
APSE,10.164.105.177,,10.100.160.33,,8443,HTTPS,3838516,1358109
APSE,10.100.160.89,,10.100.160.185,,443,HTTPS,609031,942972
APSE,10.164.116.184,,10.164.144.188,,8081,HTTP,644299,2666697
APSE,2001:db8:2582:6d22:c4e7:f7dd:6929:de73,,2001:db8:2bda:f8d3:932c:ae01:d2c6:5ee4,,,TCP,2794163,411070
APSE,10.164.105.93,,10.164.145.66,,8081,HTTP,0,0
APSE,2001:db8:2bda:f8d3:2976:aab2:2a26:f770,,2001:db8:548b:87b5:b596:ca7c:ef4a:fa88,,8081,HTTP,3853591,1291384
APSE,10.100.160.140,,10.165.116.64,,8443,HTTPS,0,0
APSE,10.165.116.78,,10.165.116.87,,8443,HTTPS,3633826,3975242
APSE,10.164.144.23,,10.164.144.135,,443,HTTPS,3316859,2499717
APSE,10.164.116.148,,10.100.160.154,,80,HTTP,3475106,3486268
APSE,10.164.144.30,,10.100.160.80,,8080,HTTP,2131096,2048011
APSE,10.164.105.163,,10.100.246.176,,80,HTTP,3290460,1654158
APSE,2001:db8:2bda:f8d3:4479:612:1f5d:988f,,2001:db8:2582:6d22:2410:8e9a:3f77:9cae,,5432,TCP,3724565,2681080
APSE,10.164.145.167,,10.100.246.160,,,TCP,2189877,2258912
APSE,10.164.116.46,,10.164.144.201,,8443,HTTPS,1109689,1002381
APSE,2001:db8:548b:87b5:ac2a:4f71:a77d:95f1,,2001:db8:2582:6d22:8964:90ab:4926:ce5f,,1521,TCP,3151389,1634182
APSE,10.164.116.99,,10.164.144.185,,8443,HTTPS,408414,1720464
APSE,10.164.105.60,,10.100.246.65,,3306,TCP,2439716,1633464
APSE,10.165.116.20,,10.164.116.23,,3306,TCP,3472077,2087026
APSE,2001:db8:4c3a:9f21:2999:bbef:518b:2f21,,2001:db8:2bda:f8d3:8847:6c56:827c:9f8c,,8443,HTTPS,0,0
APSE,10.164.144.157,,10.164.116.13,,8443,HTTPS,1213715,2849747
APSE,10.165.116.26,,10.164.145.245,,5432,TCP,719816,3546297
APSE,2001:db8:2bda:f8d3:4d9:145e:30d7:3df7,,2001:db8:ea19:a1e1:6b35:2f85:504e:2687,,8081,HTTP,955183,1821247
APSE,10.164.116.31,,10.100.246.70,,443,HTTPS,2452529,1463356
APSE,10.164.116.88,,10.164.105.235,,8443,HTTPS,2391235,1585987
APSE,10.100.160.135,,10.100.160.247,,,TCP,1270237,2440785
APSE,10.164.105.147,,10.100.246.106,,8443,HTTPS,1429765,2112441
APSE,10.100.246.140,,10.100.160.147,,389,TCP,1692552,3857091
APSE,10.100.246.74,,10.100.246.148,,443,TCP,1552753,3975577
APSE,10.164.116.103,,10.164.145.138,,8443,HTTPS,675764,558129
APSE,10.164.145.115,,10.164.144.119,,3306,TCP,3108817,2081405
APSE,10.164.144.80,,10.165.116.208,,8443,HTTPS,2102564,2828557
APSE,10.164.105.30,,10.164.105.45,,443,HTTPS,2344591,3198275
APSE,10.164.145.90,,10.164.116.18,,8080,HTTP,881447,3241547
APSE,10.164.144.152,,10.164.144.54,,8080,HTTP,2005678,2789859
APSE,10.164.145.239,,10.100.246.139,,,TCP,1486989,781550
APSE,10.100.160.7,,10.164.145.172,,8081,HTTP,2928643,3276274
APSE,10.100.160.218,,10.164.116.167,,443,TCP,875028,689768
APSE,10.164.144.196,,10.164.105.120,,8080,HTTP,1482548,1366452
APSE,10.164.105.184,,10.100.160.120,,22,TCP,1386839,769900
APSE,10.100.160.159,,10.100.246.60,,8443,HTTPS,1641590,2677925
APSE,10.164.116.232,,10.164.145.191,,8081,HTTP,2403656,3928547
APSE,10.100.160.111,,10.100.246.126,,443,HTTPS,2304134,1973796
APSE,10.165.116.31,,10.164.144.103,,443,HTTPS,790118,1476225
APSE,10.100.160.250,,10.164.145.46,,8443,HTTPS,3491900,333353
APSE,10.164.116.29,,10.165.116.236,,8443,HTTPS,3133656,191311
APSE,10.100.160.37,,10.164.145.23,,8080,HTTP,3037627,367428
APSE,2001:db8:ea19:a1e1:497e:c6d1:81f:c6dc,,2001:db8:2582:6d22:c4db:5a62:2e13:418d,,8443,HTTPS,1670602,3838524
APSE,10.164.116.41,,10.164.116.68,,8443,HTTPS,597583,848572
APSE,10.164.145.114,,10.100.160.1,,,TCP,2041979,2924863
APSE,10.164.116.117,,10.100.246.126,,8080,HTTP,750626,1256158
APSE,10.100.246.16,,10.164.144.214,,443,HTTPS,0,0
APSE,10.164.116.24,,10.165.116.125,,443,HTTPS,1787223,1941143
APSE,10.100.246.28,,10.100.246.71,,8443,HTTPS,1082144,3521655
APSE,10.165.116.164,,10.165.116.121,,80,HTTP,2869131,2286285
APSE,10.164.144.89,,10.165.116.218,,8443,HTTPS,296646,1544580
APSE,10.100.246.163,,10.165.116.213,,80,HTTP,1357823,1678988
APSE,10.164.145.115,,10.100.246.153,,443,HTTPS,3479670,2042068
APSE,10.164.116.68,,10.165.116.198,,3306,TCP,2812480,431645
APSE,10.164.144.97,,10.165.116.26,,8080,HTTP,2925584,2637425
