App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ARA,10.100.246.111,,10.165.116.245,,,TCP,1496553,1371662
ARA,2001:db8:2bda:f8d3:345a:f934:b42a:2d93,,2001:db8:2bda:f8d3:c688:13fe:5255:5c75,,8080,HTTP,2338290,2820934
ARA,10.165.116.238,,10.164.116.50,,8443,HTTPS,3294503,3622087
ARA,10.164.105.23,,10.164.116.113,,443,HTTPS,168031,1193765
ARA,10.100.160.151,,10.164.116.78,,5432,TCP,2489870,3595376
ARA,10.100.160.131,,10.164.105.250,,8443,HTTPS,2032856,805623
ARA,10.164.145.250,,10.100.160.94,,443,HTTPS,2297582,241867
ARA,2001:db8:1a2b:3c4d:c3ab:b5f1:c6b:7074,,2001:db8:2bda:f8d3:3b3f:3800:a175:a9c3,,443,HTTPS,138342,1017376
ARA,10.165.116.247,,10.100.160.249,,389,TCP,0,0
ARA,10.165.116.8,,10.164.105.220,,443,TCP,2299431,724521
ARA,10.164.105.181,,10.100.246.136,,80,HTTP,1664691,1803002
ARA,10.100.160.153,,10.164.145.41,,443,HTTPS,492169,1799860
ARA,10.164.144.4,,10.100.160.87,,5432,TCP,2804937,3389912
ARA,10.164.144.21,,10.165.116.117,,,TCP,3003665,3822672
ARA,10.164.144.143,,10.100.160.16,,,TCP,1419044,165674
ARA,10.100.246.203,,10.100.246.39,,80,HTTP,2465412,1108613
ARA,10.100.160.169,,10.165.116.196,,443,HTTPS,3415589,2991177
ARA,10.164.105.50,,10.164.144.223,,,TCP,1528549,2638261
ARA,10.164.116.167,,10.100.246.15,,8443,HTTPS,3386439,1989744
ARA,10.164.116.95,,10.164.116.194,,,TCP,1338911,3447286
ARA,2001:db8:548b:87b5:5111:d31d:63be:441d,,2001:db8:2bda:f8d3:176d:e21f:1b46:ebdc,,8080,HTTP,1609603,3293318
ARA,2001:db8:2bda:f8d3:6875:9545:832f:52c4,,2001:db8:2582:6d22:16f1:42a2:6b9:19aa,,443,HTTPS,2603683,2608377
ARA,10.164.144.211,,10.164.105.198,,,TCP,2446866,3896715
ARA,10.165.116.194,,10.164.145.86,,1521,TCP,0,0
ARA,10.164.116.247,,10.164.105.39,,8080,HTTP,1134273,3123671
ARA,10.164.145.54,,10.164.116.69,,80,HTTP,1759652,1493419
ARA,10.100.246.225,,10.164.105.171,,8081,HTTP,2593064,670947
ARA,10.100.160.245,,10.164.145.160,,,TCP,1438560,1322422
ARA,10.165.116.124,,10.100.246.166,,8080,HTTP,3524626,3396163
ARA,2001:db8:4c3a:9f21:35ab:8466:b557:8b00,,2001:db8:2bda:f8d3:ac48:4366:68bd:80d7,,8443,TCP,1159823,2862632
ARA,10.164.116.229,,10.164.144.245,,8443,HTTPS,2341299,2224887
ARA,10.164.116.18,,10.165.116.184,,443,HTTPS,558728,3325227
ARA,10.164.145.22,,10.100.160.204,,8080,HTTP,0,0
ARA,10.100.160.113,,10.165.116.228,,8080,HTTP,2042227,3339438
ARA,10.164.145.12,,10.164.105.247,,443,TCP,586830,3586799
ARA,2001:db8:548b:87b5:c8c5:eb2a:7490:adeb,,2001:db8:548b:87b5:7ba1:9d0:8567:c805,,80,HTTP,1937801,3128262
ARA,10.164.105.58,,10.164.144.11,,8081,HTTP,558700,2940128
ARA,10.100.160.89,,10.164.145.81,,8081,HTTP,1888322,2037995
ARA,10.164.145.221,,10.164.145.202,,,TCP,3803978,927638
