App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BCA,10.164.105.234,,10.165.116.6,,8443,HTTPS,571938,1838297
BCA,10.165.116.51,,10.100.246.54,,443,HTTPS,3395656,1299960
BCA,10.164.116.196,,10.164.105.248,,8443,HTTPS,257142,822258
BCA,2001:db8:4c3a:9f21:66d7:1d97:b193:c8b8,,2001:db8:2bda:f8d3:b0c5:8278:54dc:cba5,,,TCP,3962261,1226524
BCA,2001:db8:1a2b:3c4d:4f9a:5f98:4d95:273,,2001:db8:1a2b:3c4d:af52:7666:b239:9f4,,22,TCP,3346520,3563754
BCA,10.165.116.45,,10.100.160.96,,80,HTTP,3931214,3555978
BCA,10.165.116.191,,10.100.246.28,,443,HTTPS,375217,1404944
BCA,10.100.246.14,,10.100.246.88,,,TCP,0,0
BCA,2001:db8:ea19:a1e1:32f8:dbab:b462:e3e8,,2001:db8:548b:87b5:d2d1:4ef5:5e4c:4fd1,,8443,HTTPS,2765101,3971651
BCA,2001:db8:548b:87b5:7233:d5af:9813:3da1,,2001:db8:2582:6d22:ded7:d3ef:f5e4:a9c1,,8443,HTTPS,1543884,785825
BCA,10.100.246.46,,10.100.160.145,,8080,TCP,3681186,2500224
BCA,10.164.145.115,,10.100.160.105,,8081,HTTP,0,0
BCA,10.100.246.4,,10.100.160.242,,80,TCP,1038559,1158602
BCA,10.100.160.140,,10.100.160.216,,8080,HTTP,2025177,1156959
BCA,10.165.116.203,,10.100.246.52,,3306,TCP,2454921,2815149
BCA,10.100.160.246,,10.164.144.32,,8080,HTTP,2786849,1463723
BCA,10.100.160.152,,10.100.160.96,,8443,TCP,3873560,338130
BCA,10.165.116.163,,10.164.116.71,,443,HTTPS,2848949,2186132
BCA,10.164.116.198,,10.164.116.18,,443,HTTPS,1539346,3147371
BCA,10.100.160.243,,10.100.246.183,,8443,HTTPS,3645945,812975
BCA,10.164.145.49,,10.164.105.241,,,TCP,3141653,3490439
BCA,10.100.160.45,,10.164.105.113,,80,HTTP,3221442,3755051
BCA,10.164.105.133,,10.164.105.150,,80,HTTP,2073573,325137
BCA,10.165.116.241,,10.164.144.99,,443,HTTPS,3738549,2955053
BCA,10.164.144.77,,10.100.246.70,,22,TCP,700725,1427008
BCA,10.164.144.170,,10.164.116.90,,8081,HTTP,343326,119769
BCA,10.100.246.81,,10.164.145.250,,5432,TCP,2757039,1901074
BCA,10.164.116.19,,10.164.144.102,,8443,HTTPS,159043,3841345
BCA,10.164.145.2,,10.164.144.127,,3306,TCP,1409009,640774
BCA,10.164.105.33,,10.164.145.23,,8080,HTTP,2012293,3152748
BCA,10.164.116.68,,10.100.160.175,,8080,HTTP,3246212,890316
BCA,10.100.246.9,,10.164.116.116,,,TCP,650316,985796
BCA,10.164.145.187,,10.164.144.19,,8081,HTTP,1172857,3334855
BCA,2001:db8:ea19:a1e1:6ab1:cdb6:1da4:66fe,,2001:db8:2bda:f8d3:a15c:159a:af8c:a888,,8080,HTTP,2875222,523540
BCA,10.165.116.70,,10.100.160.214,,443,TCP,1285758,578203
BCA,10.165.116.134,,10.164.145.103,,8081,HTTP,1818642,1338792
BCA,10.164.145.246,,10.100.160.169,,443,TCP,3903730,563180
BCA,10.164.145.38,,10.164.144.51,,8081,HTTP,1069556,2015753
BCA,10.164.116.51,,10.164.144.89,,,TCP,1610849,3462137
BCA,10.164.144.23,,10.164.144.4,,8080,TCP,1478503,1599578
BCA,10.164.105.47,,10.100.160.190,,80,HTTP,577446,1780982
BCA,10.100.246.244,,10.164.116.215,,443,HTTPS,574193,655793
BCA,2001:db8:1a2b:3c4d:adab:2c2f:91a6:46da,,2001:db8:2bda:f8d3:9c7f:aca6:2e67:1784,,8081,HTTP,220864,3717905
BCA,10.164.145.249,,10.164.116.57,,8080,HTTP,292821,365650
BCA,10.100.160.114,,10.100.246.173,,443,HTTPS,1915495,2875426
BCA,10.100.160.197,,10.100.160.76,,443,HTTPS,148842,2798609
BCA,10.164.116.253,,10.100.246.84,,,TCP,1444835,1110373
BCA,10.165.116.193,,10.164.145.206,,22,TCP,3460733,2503482
BCA,10.164.116.60,,10.164.105.254,,443,HTTPS,530517,1792148
BCA,10.164.144.46,,10.100.246.155,,443,HTTPS,2845574,2916367
BCA,10.100.246.114,,10.164.144.232,,8081,HTTP,3318777,2699453
BCA,10.164.105.231,,10.100.160.58,,,TCP,1030074,109214
BCA,10.100.246.191,,10.164.105.54,,,TCP,2165368,689086
BCA,10.164.116.130,,10.164.144.100,,5432,TCP,1004247,2016989
BCA,10.164.105.212,,10.164.144.23,,443,HTTPS,3338611,3840288
BCA,10.165.116.255,,10.164.145.2,,443,HTTPS,2420399,1915338
BCA,10.165.116.90,,10.100.246.88,,443,HTTPS,534336,1724896
BCA,10.164.105.196,,10.165.116.214,,443,HTTPS,1247544,1768787
BCA,10.164.116.68,,10.100.246.70,,8081,HTTP,3036072,3817985
BCA,10.100.160.160,,10.165.116.111,,1521,TCP,2979856,1548266
BCA,2001:db8:2bda:f8d3:f554:e1f8:f9a5:5cf2,,2001:db8:2bda:f8d3:c2c2:26ff:1d8b:32d9,,8443,HTTPS,2544466,2493430
BCA,10.100.160.146,,10.100.160.216,,80,TCP,0,0
BCA,2001:db8:548b:87b5:aef2:ab2f:495f:a2fc,,2001:db8:1a2b:3c4d:d6e1:ba00:257c:54bc,,8443,HTTPS,955641,3260802
BCA,10.164.116.114,,10.164.144.199,,1521,TCP,0,0
BCA,10.164.116.160,,10.100.246.27,,,TCP,951809,2702824
BCA,10.164.116.115,,10.100.246.188,,443,HTTPS,3355395,3140511
BCA,10.164.145.38,,10.100.160.95,,,TCP,0,0
BCA,10.164.105.82,,10.164.145.130,,8080,TCP,267522,744678
BCA,10.100.246.154,,10.100.160.251,,8443,HTTPS,405684,3388466
BCA,10.164.145.34,,10.165.116.81,,8081,HTTP,0,0
BCA,10.164.145.169,,10.100.160.169,,8080,HTTP,1016225,3256866
BCA,10.165.116.4,,10.100.246.58,,8443,HTTPS,1969263,1108092
BCA,10.165.116.20,,10.164.145.164,,80,HTTP,1718480,1176218
BCA,10.165.116.191,,10.100.246.228,,80,HTTP,1343334,3867666
BCA,10.164.144.85,,10.164.144.3,,443,HTTPS,984081,2911589
BCA,10.100.160.53,,10.164.116.105,,8443,HTTPS,2811874,3525716
BCA,10.164.145.235,,10.164.144.169,,80,TCP,846553,3431178
BCA,2001:db8:1a2b:3c4d:4236:c0bf:e936:6a85,,2001:db8:2bda:f8d3:6eda:ba8c:6789:e7d0,,443,TCP,2343257,124741
BCA,10.100.246.23,,10.100.160.37,,8081,HTTP,545164,1315662
BCA,10.164.144.224,,10.164.105.195,,8081,HTTP,229264,2088048
BCA,10.100.160.151,,10.164.116.73,,8081,HTTP,3820255,3934302
BCA,10.100.160.5,,10.164.105.72,,5432,TCP,2352978,2396488
BCA,10.100.160.176,,10.100.160.108,,8081,HTTP,3671277,2249801
BCA,10.165.116.129,,10.100.246.99,,80,TCP,3670978,3250097
BCA,10.164.116.37,,10.100.160.148,,443,HTTPS,1151460,511890
BCA,10.164.105.65,,10.164.105.120,,443,TCP,3875371,911591
BCA,10.165.116.156,,10.100.160.78,,8443,HTTPS,3487738,1426797
BCA,10.164.105.113,,10.164.145.223,,8080,HTTP,663319,2950365
BCA,10.164.116.183,,10.164.116.156,,8081,HTTP,556477,837233
BCA,2001:db8:548b:87b5:3249:5cff:89e2:df24,,2001:db8:1a2b:3c4d:ba38:8c8f:1393:9d1,,,TCP,2749233,230838
BCA,10.100.246.108,,10.165.116.18,,8443,HTTPS,2379475,3849648
BCA,10.100.246.187,,10.164.145.200,,,TCP,2572964,3175376
BCA,2001:db8:4c3a:9f21:6593:b659:172e:8c68,,2001:db8:4c3a:9f21:23ef:5561:839e:7623,,8080,TCP,3186671,3170249
BCA,10.164.145.249,,10.100.246.118,,8443,TCP,279551,2904251
BCA,10.164.105.240,,10.164.116.232,,3306,TCP,532957,3051683
BCA,10.164.105.134,,10.100.246.89,,8081,HTTP,1687621,1632165
BCA,10.164.144.128,,10.165.116.192,,3306,TCP,3527739,3739479
BCA,10.165.116.71,,10.164.144.225,,389,TCP,2798938,1277800
BCA,10.164.105.60,,10.165.116.117,,8080,HTTP,3120971,575376
BCA,10.164.145.82,,10.165.116.210,,8080,TCP,2505376,2584486
