App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BKO,2001:db8:4c3a:9f21:2a95:5908:e50:3fd8,,2001:db8:2bda:f8d3:f27f:3ad7:4890:7b6d,,22,TCP,3737729,2120263
BKO,10.165.116.93,,10.164.145.135,,,TCP,1537267,3968624
BKO,10.164.145.197,,10.164.116.67,,389,TCP,3705388,3914045
BKO,10.164.145.49,,10.165.116.90,,8081,HTTP,2615801,263731
BKO,10.100.246.47,,10.164.144.246,,443,HTTPS,3883198,2631156
BKO,2001:db8:1a2b:3c4d:6198:b718:c4c7:aab4,,2001:db8:2bda:f8d3:937c:a77c:b25b:6de7,,80,HTTP,1167525,2101275
BKO,10.164.144.209,,10.164.105.131,,80,TCP,2524253,2291694
BKO,2001:db8:2bda:f8d3:cde5:c35a:b011:7b0a,,2001:db8:2bda:f8d3:5cbd:b682:68aa:1236,,1521,TCP,1195983,3686033
BKO,10.165.116.203,,10.164.105.104,,8081,HTTP,3387446,2438587
BKO,10.165.116.129,,10.164.116.157,,8443,HTTPS,3347207,3059058
BKO,2001:db8:1a2b:3c4d:bf70:c042:1e7c:6795,,2001:db8:2bda:f8d3:296b:67bf:f301:bb6c,,3306,TCP,3459024,2409284
BKO,10.164.144.199,,10.164.145.2,,,TCP,2078321,3983345
BKO,2001:db8:548b:87b5:b978:7c4b:9aa:5570,,2001:db8:2bda:f8d3:fc04:ca7a:ee41:5f16,,8443,HTTPS,0,0
BKO,10.164.145.253,,10.100.160.224,,389,TCP,0,0
BKO,10.165.116.118,,10.100.160.86,,443,HTTPS,1608858,1103515
BKO,10.164.144.204,,10.164.105.180,,8443,HTTPS,1800584,2558198
BKO,2001:db8:2bda:f8d3:46c9:37e0:d0c5:9550,,2001:db8:ea19:a1e1:f68a:e9b7:9b3a:a1d1,,8080,HTTP,2511333,119509
BKO,10.164.144.37,,10.165.116.150,,80,HTTP,3467783,2252880
BKO,10.100.246.128,,10.100.246.226,,8081,HTTP,2128490,3329476
BKO,10.100.246.235,,10.164.116.14,,80,HTTP,1181374,383343
BKO,10.164.145.117,,10.100.160.161,,8080,HTTP,0,0
BKO,10.164.145.47,,10.164.105.204,,8443,HTTPS,418887,2425957
BKO,10.164.105.137,,10.164.145.93,,443,HTTPS,2192954,3191672
BKO,10.100.246.105,,10.164.105.117,,,TCP,3607842,2694583
BKO,10.164.144.252,,10.164.144.3,,443,HTTPS,3656814,2122879
BKO,10.165.116.140,,10.100.246.251,,,TCP,3942011,2243849
BKO,10.165.116.27,,10.164.145.216,,8081,HTTP,236577,2207533
BKO,10.100.246.234,,10.164.145.61,,8443,HTTPS,0,0
BKO,10.164.116.51,,10.165.116.166,,8081,HTTP,3714827,1189263
BKO,10.164.105.175,,10.164.116.187,,8443,TCP,1857803,3039001
BKO,10.164.116.230,,10.164.105.92,,443,HTTPS,2515469,2977342
BKO,2001:db8:548b:87b5:8e2a:c3ff:3c5d:ba42,,2001:db8:1a2b:3c4d:6181:92de:db37:ca7,,,TCP,3197669,727250
BKO,2001:db8:2582:6d22:b876:a455:88b3:152d,,2001:db8:2582:6d22:7c93:243e:c90b:9454,,8081,HTTP,0,0
BKO,2001:db8:2bda:f8d3:d056:6199:3728:ddc2,,2001:db8:ea19:a1e1:4280:3aa0:55ac:d06,,8081,HTTP,2438288,3497452
BKO,2001:db8:ea19:a1e1:48dc:1e26:c7c2:564a,,2001:db8:548b:87b5:e3be:f3d6:726a:30d,,8081,HTTP,1301766,2045117
BKO,2001:db8:2bda:f8d3:edb6:8b81:cec6:8cfe,,2001:db8:2bda:f8d3:1243:9b0f:e835:f080,,3306,TCP,1429083,2838935
BKO,10.100.160.138,,10.164.116.227,,8081,HTTP,2561719,2284962
BKO,10.164.145.11,,10.100.246.64,,443,HTTPS,2876723,1155484
BKO,10.164.144.85,,10.164.145.203,,22,TCP,0,0
BKO,10.100.246.53,,10.164.144.134,,443,HTTPS,453627,2846567
BKO,10.164.145.145,,10.164.145.226,,443,HTTPS,650616,2309317
BKO,2001:db8:2bda:f8d3:ea4f:4a80:dc41:2176,,2001:db8:548b:87b5:79e5:46e7:dd3e:e854,,8443,HTTPS,2400765,1965814
BKO,10.165.116.233,,10.164.145.222,,8443,HTTPS,3912300,1556129
BKO,10.164.144.157,,10.164.116.187,,8080,HTTP,0,0
BKO,10.100.246.69,,10.100.246.176,,8080,HTTP,2344367,134884
BKO,10.100.246.153,,10.164.116.4,,8080,HTTP,2604015,1069787
BKO,10.164.145.223,,10.164.116.202,,5432,TCP,3574674,1686948
BKO,2001:db8:2bda:f8d3:af44:9605:b1a5:a3d,,2001:db8:2bda:f8d3:cf0e:1567:882d:7fc1,,80,HTTP,3679763,387158
BKO,10.100.160.231,,10.164.116.139,,8443,HTTPS,0,0
BKO,2001:db8:4c3a:9f21:f8ea:ca36:2f99:9b2a,,2001:db8:ea19:a1e1:44e9:f8fb:4838:a888,,8443,HTTPS,3149708,134410
BKO,10.164.116.175,,10.164.145.215,,8080,HTTP,1657752,2044833
BKO,2001:db8:ea19:a1e1:f39e:f1be:c025:53ea,,2001:db8:1a2b:3c4d:2e7d:952b:785b:8a07,,8080,HTTP,3573940,152913
BKO,10.164.145.226,,10.164.116.126,,443,HTTPS,935420,2032880
BKO,2001:db8:2bda:f8d3:40d9:1a8e:1f44:aa88,,2001:db8:2bda:f8d3:4c7f:3bb:a376:c2d,,80,HTTP,3722442,2896320
BKO,2001:db8:2bda:f8d3:3db:7a2e:5313:50e0,,2001:db8:2582:6d22:27ad:8d51:98a1:5e4f,,22,TCP,483365,2977060
BKO,10.100.246.30,,10.100.160.30,,8081,HTTP,745580,3041583
BKO,2001:db8:2582:6d22:bbb2:4366:704f:e1a8,,2001:db8:2bda:f8d3:b072:afc8:577:6108,,8081,HTTP,665107,1151496
BKO,10.164.116.150,,10.165.116.250,,389,TCP,1558211,1457615
BKO,10.100.246.82,,10.165.116.35,,443,HTTPS,1984853,1340141
BKO,10.164.116.194,,10.164.144.94,,3306,TCP,3354849,2701296
BKO,10.100.160.198,,10.165.116.97,,8443,HTTPS,3311721,2413023
BKO,10.164.116.164,,10.100.160.56,,443,TCP,283615,3603054
BKO,10.164.144.54,,10.164.145.248,,5432,TCP,2859521,2154829
BKO,10.164.105.187,,10.164.144.113,,443,HTTPS,154887,3963101
BKO,10.100.246.239,,10.164.144.31,,8081,HTTP,3218370,3834736
BKO,10.100.160.136,,10.164.144.20,,443,HTTPS,0,0
BKO,10.165.116.51,,10.164.144.118,,8443,HTTPS,894654,910001
BKO,10.100.160.212,,10.164.145.54,,8443,HTTPS,2929026,2024013
BKO,10.164.144.92,,10.164.145.205,,8443,HTTPS,2857888,763440
BKO,10.164.105.166,,10.164.105.190,,8081,HTTP,1906017,3565145
BKO,10.165.116.109,,10.165.116.192,,8443,HTTPS,1609985,1997517
BKO,10.100.160.145,,10.164.144.8,,443,HTTPS,0,0
BKO,10.164.145.161,,10.100.246.11,,8443,HTTPS,3955035,2422231
BKO,10.165.116.48,,10.164.145.19,,8080,HTTP,754760,680526
BKO,10.164.145.131,,10.164.145.153,,8443,TCP,3179734,423806
BKO,10.164.145.48,,10.164.116.153,,,TCP,0,0
BKO,2001:db8:1a2b:3c4d:a1d7:70ea:c704:e80e,,2001:db8:548b:87b5:264a:e04f:909e:21ba,,443,HTTPS,742556,311895
BKO,10.164.116.46,,10.100.246.113,,8080,HTTP,3398267,1753908
BKO,10.164.116.25,,10.165.116.204,,80,HTTP,1771543,2204798
BKO,10.100.246.246,,10.164.145.101,,8080,HTTP,2835728,2496334
BKO,10.100.160.126,,10.165.116.124,,5432,TCP,1456486,2971999
