App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BLND,10.165.116.162,,10.164.145.34,,443,HTTPS,872319,1432100
BLND,2001:db8:ea19:a1e1:f610:f40d:69fe:890f,,2001:db8:1a2b:3c4d:1b55:5f6d:301c:6abf,,1521,TCP,2640089,2478351
BLND,10.164.145.13,,10.100.160.183,,22,TCP,662400,2206902
BLND,10.100.160.94,,10.164.105.198,,8080,HTTP,676770,786969
BLND,2001:db8:1a2b:3c4d:fcfd:8547:abdc:e0da,,2001:db8:ea19:a1e1:345e:2eaf:c1fd:a581,,,TCP,1942495,3737002
BLND,10.100.246.126,,10.164.116.218,,80,HTTP,2649843,3184205
BLND,10.164.116.19,,10.165.116.55,,8080,HTTP,0,0
BLND,10.165.116.202,,10.165.116.20,,8443,HTTPS,2264792,3309313
BLND,2001:db8:548b:87b5:e267:e12b:65e5:f13f,,2001:db8:2582:6d22:d3de:f87c:c60f:b252,,80,HTTP,1871934,1334885
BLND,2001:db8:4c3a:9f21:1cf8:d03f:802b:1bf4,,2001:db8:2bda:f8d3:64a0:53f:22a3:7556,,8080,HTTP,204488,850271
BLND,10.164.145.46,,10.164.116.128,,8081,HTTP,2820326,3904915
BLND,10.100.160.46,,10.164.144.58,,8443,HTTPS,0,0
BLND,10.100.160.81,,10.100.246.193,,8443,HTTPS,284155,3322317
BLND,10.100.246.76,,10.100.160.83,,80,TCP,1859853,1392106
BLND,10.164.116.92,,10.164.105.60,,,TCP,114818,2711207
BLND,2001:db8:2582:6d22:3ce5:988c:7e53:d702,,2001:db8:1a2b:3c4d:a8d3:110e:96bf:ae6e,,8080,HTTP,1953359,433048
BLND,2001:db8:4c3a:9f21:d343:bf88:d1f3:79b1,,2001:db8:548b:87b5:2f51:ac6e:c85:f154,,80,TCP,0,0
BLND,10.165.116.169,,10.164.105.44,,8080,TCP,776688,2918951
BLND,10.100.160.90,,10.165.116.233,,8443,HTTPS,250324,490599
BLND,10.164.116.34,,10.100.246.218,,443,HTTPS,1328229,2074748
BLND,10.164.105.211,,10.164.105.107,,443,HTTPS,2667139,344043
BLND,10.100.160.44,,10.165.116.247,,8443,HTTPS,1891192,2653679
BLND,10.165.116.181,,10.165.116.66,,8443,HTTPS,2279804,3158422
BLND,10.164.145.119,,10.165.116.148,,80,TCP,2049871,2723372
BLND,10.164.145.212,,10.100.246.211,,389,TCP,3480791,2773883
BLND,10.100.160.130,,10.164.105.34,,8080,HTTP,2225210,2406840
BLND,2001:db8:2bda:f8d3:d500:c147:774:3c94,,2001:db8:548b:87b5:ea89:a979:7aa6:d6ea,,22,TCP,751737,2730669
BLND,10.164.105.211,,10.164.116.28,,8443,HTTPS,2469541,3140720
BLND,10.164.144.169,,10.164.145.181,,,TCP,0,0
BLND,10.100.160.84,,10.165.116.199,,1521,TCP,3058100,3697955
BLND,2001:db8:2582:6d22:e086:4418:7f3e:f59b,,2001:db8:ea19:a1e1:4d79:132c:f362:d408,,8443,HTTPS,834056,570732
BLND,2001:db8:2bda:f8d3:8188:de48:719b:2dd6,,2001:db8:ea19:a1e1:2771:a422:8003:8f26,,8080,HTTP,3172080,3765314
BLND,10.164.145.50,,10.100.246.67,,,TCP,2026730,1725662
BLND,10.164.144.22,,10.164.105.44,,8080,HTTP,3829515,293524
BLND,10.100.160.11,,10.164.105.159,,443,HTTPS,1445869,941190
BLND,10.164.105.225,,10.100.246.60,,80,HTTP,760586,1247716
BLND,10.165.116.52,,10.165.116.105,,8443,HTTPS,2404206,1435822
BLND,10.100.246.125,,10.164.105.87,,3306,TCP,0,0
BLND,2001:db8:2bda:f8d3:6233:960a:1b1e:6c3,,2001:db8:ea19:a1e1:6d2c:dbf9:160b:eed4,,,TCP,3838282,2586199
BLND,10.164.116.182,,10.165.116.159,,80,HTTP,3090113,3280970
BLND,10.100.246.238,,10.100.246.67,,,TCP,3957455,3030138
BLND,10.100.160.238,,10.100.160.240,,,TCP,702812,3711699
BLND,10.164.105.93,,10.164.116.169,,8080,HTTP,0,0
BLND,2001:db8:2582:6d22:2bb9:a661:d884:2354,,2001:db8:2582:6d22:cbf8:5149:b6da:99cd,,8081,HTTP,2823996,397476
BLND,10.164.116.211,,10.165.116.122,,443,HTTPS,2398264,766979
BLND,10.164.105.220,,10.164.145.222,,8443,HTTPS,2383911,3011405
BLND,10.164.144.249,,10.100.160.58,,8443,HTTPS,0,0
BLND,10.164.105.35,,10.164.116.55,,8443,HTTPS,1473249,2173224
