App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BLZD,2001:db8:1a2b:3c4d:c1cf:d878:c:14a5,,2001:db8:2bda:f8d3:2633:c43:a92f:85fe,,8443,HTTPS,1735705,2681896
BLZD,10.100.160.153,,10.164.105.155,,8081,HTTP,3938282,1543950
BLZD,10.165.116.206,,10.165.116.65,,80,HTTP,1648633,3879385
BLZD,2001:db8:2bda:f8d3:fa8b:d601:d21c:e315,,2001:db8:4c3a:9f21:dc7a:bd16:1c15:3057,,5432,TCP,2722338,1434322
BLZD,10.164.116.108,,10.165.116.88,,80,HTTP,889480,2429606
BLZD,10.100.246.78,,10.164.116.147,,443,HTTPS,0,0
BLZD,2001:db8:2bda:f8d3:22c2:3308:fd7e:e75c,,2001:db8:2582:6d22:dc32:f8a0:6a75:80e2,,8443,HTTPS,2714093,854124
BLZD,10.100.246.196,,10.164.116.181,,80,TCP,2524049,2189421
BLZD,10.165.116.210,,10.164.105.187,,,TCP,2482992,2126973
BLZD,2001:db8:2582:6d22:4788:17ec:c764:32e,,2001:db8:2bda:f8d3:9c2d:9672:e3d1:803c,,443,TCP,2969214,2757878
BLZD,10.165.116.175,,10.164.144.5,,8080,HTTP,2250264,3900270
BLZD,10.164.116.150,,10.164.105.148,,1521,TCP,3149140,3392619
BLZD,2001:db8:2582:6d22:92a6:f3e6:2b48:c6e6,,2001:db8:4c3a:9f21:fd88:8cbd:a804:9463,,443,HTTPS,0,0
BLZD,10.100.246.142,,10.100.246.129,,1521,TCP,0,0
BLZD,2001:db8:2bda:f8d3:3c77:5558:b365:fb7c,,2001:db8:4c3a:9f21:878:9ef0:dcac:fa54,,,TCP,2597892,3546559
BLZD,10.164.116.196,,10.100.246.121,,8443,HTTPS,3145060,2774181
BLZD,10.100.246.27,,10.164.105.135,,22,TCP,1772456,2097461
BLZD,10.100.246.119,,10.165.116.194,,8443,HTTPS,2090572,1201529
BLZD,10.164.144.229,,10.164.105.195,,8443,HTTPS,2324044,2964190
BLZD,2001:db8:4c3a:9f21:dbbd:3290:a6ed:cadd,,2001:db8:2bda:f8d3:4534:17b5:55c0:6c8e,,5432,TCP,2034029,3342830
BLZD,10.100.160.99,,10.165.116.172,,443,HTTPS,0,0
BLZD,2001:db8:ea19:a1e1:af7c:e609:1a99:aae0,,2001:db8:ea19:a1e1:407c:4370:4886:274c,,443,TCP,338580,2591997
BLZD,10.165.116.62,,10.100.160.61,,,TCP,644870,1676883
BLZD,10.165.116.94,,10.100.246.56,,443,HTTPS,1162567,1335510
BLZD,10.100.160.141,,10.164.116.218,,8443,HTTPS,1179347,779334
BLZD,10.164.144.198,,10.164.116.170,,1521,TCP,0,0
BLZD,10.164.145.201,,10.165.116.91,,8443,HTTPS,554790,703445
BLZD,10.165.116.54,,10.100.160.226,,8443,HTTPS,0,0
BLZD,10.164.105.228,,10.100.246.9,,80,HTTP,0,0
BLZD,2001:db8:2582:6d22:b336:d143:26cf:bf51,,2001:db8:548b:87b5:c55f:a445:f09e:302,,8080,HTTP,1794132,3640198
BLZD,10.164.144.115,,10.165.116.1,,8081,HTTP,3530842,3370843
BLZD,10.164.105.155,,10.164.105.205,,443,TCP,1632411,2342385
BLZD,10.100.246.148,,10.164.116.103,,5432,TCP,2871319,901125
BLZD,10.164.144.183,,10.100.160.249,,,TCP,1937036,3184173
BLZD,2001:db8:ea19:a1e1:97cb:4585:ff12:fe28,,2001:db8:2bda:f8d3:6386:44e0:7d3e:5830,,8443,HTTPS,2195827,2339506
BLZD,10.164.144.173,,10.164.144.28,,8081,HTTP,279577,1800823
BLZD,10.100.160.234,,10.165.116.76,,443,HTTPS,0,0
