App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BLZE,10.164.144.23,,10.164.116.124,,443,HTTPS,160252,822464
BLZE,10.100.246.49,,10.100.246.233,,443,HTTPS,0,0
BLZE,10.164.144.112,,10.164.116.32,,5432,TCP,1459939,606682
BLZE,10.164.145.109,,10.164.105.23,,443,HTTPS,1507204,365171
BLZE,2001:db8:2582:6d22:704c:19e2:2a3d:d769,,2001:db8:2bda:f8d3:94fd:594:ecf9:1245,,5432,TCP,0,0
BLZE,10.164.144.91,,10.164.144.45,,8443,HTTPS,1845762,3008764
BLZE,10.100.160.105,,10.164.145.73,,8443,HTTPS,2293985,1989194
BLZE,10.165.116.19,,10.100.160.92,,8443,HTTPS,2667122,469187
BLZE,10.164.105.2,,10.164.116.120,,389,TCP,501327,2695942
BLZE,10.165.116.112,,10.165.116.237,,443,HTTPS,1259417,322587
BLZE,10.100.160.242,,10.100.246.254,,80,TCP,326608,2804742
BLZE,10.164.105.232,,10.164.105.22,,,TCP,3979149,2353853
BLZE,10.164.116.59,,10.165.116.36,,,TCP,2585991,2531697
BLZE,10.100.160.117,,10.164.105.56,,80,HTTP,511310,1094546
BLZE,10.164.116.37,,10.164.145.241,,8443,HTTPS,327915,3834980
BLZE,10.165.116.91,,10.164.116.198,,80,HTTP,2019901,3119149
BLZE,10.164.105.171,,10.164.145.65,,80,TCP,1276939,672528
BLZE,10.164.116.175,,10.164.145.112,,8081,HTTP,757617,3411599
BLZE,10.164.145.117,,10.165.116.44,,8081,HTTP,2151909,3716324
BLZE,10.100.246.142,,10.164.116.7,,8443,HTTPS,3187757,3759943
BLZE,10.165.116.76,,10.164.145.2,,80,HTTP,268018,2074060
BLZE,10.164.116.201,,10.165.116.245,,443,HTTPS,1997676,2177376
BLZE,10.164.144.208,,10.100.160.111,,8443,TCP,0,0
BLZE,10.164.145.235,,10.100.160.12,,8080,HTTP,3337310,681430
BLZE,10.100.246.189,,10.100.246.237,,443,HTTPS,0,0
BLZE,10.164.105.16,,10.165.116.151,,8080,HTTP,3027854,2669016
BLZE,10.100.246.41,,10.100.160.171,,443,HTTPS,2258961,3916833
BLZE,10.164.144.187,,10.164.116.238,,443,HTTPS,1633316,1636931
BLZE,10.164.144.104,,10.165.116.70,,80,HTTP,2363388,576295
BLZE,10.100.246.107,,10.165.116.115,,8080,HTTP,3866204,1221380
BLZE,10.164.144.190,,10.164.144.176,,8080,HTTP,2203234,2309066
BLZE,10.165.116.149,,10.100.160.231,,8443,HTTPS,3455039,2924052
BLZE,10.164.144.234,,10.164.145.44,,8080,TCP,1309522,422740
BLZE,10.100.160.254,,10.164.145.77,,80,TCP,1329641,1847081
BLZE,10.164.145.177,,10.164.116.215,,8081,HTTP,2804002,190103
BLZE,2001:db8:1a2b:3c4d:a509:39f1:8505:d91d,,2001:db8:1a2b:3c4d:9425:fc3a:6964:a112,,8443,HTTPS,2139054,2588720
BLZE,10.165.116.234,,10.164.116.155,,443,HTTPS,3867667,3410766
BLZE,10.164.145.190,,10.164.116.147,,1521,TCP,2012294,797777
BLZE,10.165.116.93,,10.164.105.89,,443,HTTPS,776351,1097847
BLZE,10.165.116.225,,10.164.145.133,,80,HTTP,960483,2459242
BLZE,10.164.105.190,,10.164.145.229,,443,HTTPS,2338260,1364833
BLZE,2001:db8:2582:6d22:f2a2:4da4:2537:e0d6,,2001:db8:1a2b:3c4d:51f9:cd77:ed85:a6d,,,TCP,2390700,2228227
BLZE,10.164.116.75,,10.164.105.226,,8081,HTTP,571085,3168722
BLZE,2001:db8:2bda:f8d3:4ede:79b6:1deb:979d,,2001:db8:4c3a:9f21:722b:4439:3869:d3c9,,8443,TCP,2547088,2308023
BLZE,10.164.105.11,,10.164.145.42,,8443,HTTPS,2939809,2916717
BLZE,10.164.116.251,,10.164.145.162,,443,HTTPS,3910302,2896620
BLZE,2001:db8:1a2b:3c4d:62d8:46d0:5ea0:11cd,,2001:db8:2582:6d22:48de:d8be:31e:ef96,,8080,HTTP,1968881,3767087
BLZE,10.164.116.212,,10.100.160.226,,80,HTTP,3479236,3153456
