App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BM,10.164.116.44,,10.164.145.73,,389,TCP,1506839,377309
BM,10.164.116.3,,10.164.144.209,,8443,HTTPS,1838597,833554
BM,10.100.246.102,,10.164.145.95,,8080,HTTP,0,0
BM,10.100.246.155,,10.165.116.252,,8443,HTTPS,1041706,212575
BM,10.164.105.241,,10.100.160.63,,8443,HTTPS,1849682,852341
BM,10.164.145.61,,10.164.144.141,,80,HTTP,2611932,3227128
BM,10.164.116.132,,10.100.246.243,,443,HTTPS,1665323,2249689
BM,2001:db8:548b:87b5:efa:8993:94e7:4f26,,2001:db8:2bda:f8d3:22af:f503:b17a:ff6d,,3306,TCP,1859569,2768613
BM,10.164.105.39,,10.164.105.99,,443,HTTPS,3307339,496398
BM,10.164.105.161,,10.100.246.154,,8081,HTTP,3027487,2987135
BM,10.164.105.73,,10.100.246.6,,3306,TCP,3366556,2133813
BM,10.164.145.111,,10.164.144.79,,443,HTTPS,3587872,890277
BM,10.100.160.58,,10.100.246.213,,80,HTTP,588911,3534483
BM,2001:db8:548b:87b5:5cd1:4b22:b0e8:b2fa,,2001:db8:548b:87b5:f859:396d:c37a:9ab0,,,TCP,220626,3222492
BM,10.100.246.72,,10.100.160.116,,80,HTTP,980136,646174
BM,10.100.246.57,,10.100.246.39,,,TCP,0,0
BM,2001:db8:1a2b:3c4d:97da:64cb:8373:5f49,,2001:db8:2bda:f8d3:b14:7f1f:40c5:6cf6,,8081,HTTP,0,0
BM,2001:db8:4c3a:9f21:e6b3:6561:966d:2735,,2001:db8:2bda:f8d3:abac:7bf8:2f4d:dc9b,,1521,TCP,2531653,1558932
BM,10.100.246.123,,10.100.160.34,,,TCP,3301277,158654
BM,10.164.105.2,,10.164.145.50,,,TCP,3670597,3068544
BM,10.164.145.54,,10.164.116.92,,8080,HTTP,1878770,998730
BM,10.100.246.63,,10.164.105.238,,22,TCP,3297207,1615194
BM,10.164.144.167,,10.164.144.252,,22,TCP,2618216,3187739
BM,10.164.116.208,,10.164.145.148,,80,HTTP,3693569,391961
BM,10.100.160.91,,10.164.105.6,,8443,HTTPS,2918972,541122
BM,10.100.160.61,,10.164.144.73,,8080,HTTP,3015196,2576976
BM,10.164.145.186,,10.164.144.101,,80,HTTP,2595446,3640116
BM,2001:db8:1a2b:3c4d:7fc5:ae23:b9a6:bd75,,2001:db8:2582:6d22:97f9:71d5:94f8:9e6c,,8443,HTTPS,1593580,2095760
BM,10.164.116.142,,10.165.116.75,,80,HTTP,612502,1151469
BM,10.164.145.50,,10.164.144.27,,80,TCP,851181,1704879
BM,10.164.105.49,,10.165.116.39,,8443,HTTPS,3424956,2054637
BM,10.164.116.133,,10.165.116.175,,443,HTTPS,3304301,232533
BM,10.164.144.230,,10.164.116.161,,8080,HTTP,0,0
BM,10.100.246.155,,10.100.246.84,,8080,HTTP,664084,1410550
BM,10.164.144.251,,10.165.116.240,,8081,HTTP,3683409,755615
BM,10.164.116.193,,10.165.116.180,,8080,HTTP,357630,218057
BM,2001:db8:548b:87b5:575c:9669:a00a:6e6,,2001:db8:548b:87b5:6d9b:1eb1:18eb:eed7,,8080,HTTP,1573330,336765
BM,10.100.160.43,,10.164.105.33,,80,HTTP,0,0
BM,10.164.116.216,,10.100.160.215,,80,HTTP,3019061,2070064
BM,10.164.116.199,,10.165.116.165,,443,HTTPS,3490367,2148324
BM,10.164.105.173,,10.164.116.85,,8443,HTTPS,1623934,1928679
BM,10.100.246.109,,10.164.144.147,,80,HTTP,1347051,2505520
