App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BO,10.100.246.145,,10.164.116.78,,5432,TCP,3186543,3482090
BO,10.165.116.183,,10.164.145.49,,8081,HTTP,938320,2153627
BO,10.164.105.216,,10.165.116.46,,8080,HTTP,2674748,881633
BO,10.164.144.174,,10.165.116.237,,443,HTTPS,2816275,2978284
BO,10.165.116.42,,10.100.160.148,,8080,HTTP,432118,3905104
BO,10.164.145.153,,10.100.160.127,,8443,HTTPS,0,0
BO,2001:db8:ea19:a1e1:82ba:fed:1b8d:c821,,2001:db8:4c3a:9f21:1830:2082:69bb:a3c4,,8443,HTTPS,1590897,1168961
BO,10.164.144.236,,10.164.144.91,,,TCP,289828,449345
BO,10.164.105.232,,10.165.116.230,,8443,HTTPS,1531660,3950840
BO,10.164.145.132,,10.164.144.54,,8081,HTTP,175141,124524
BO,2001:db8:2bda:f8d3:b11a:3696:75cd:3e5c,,2001:db8:2582:6d22:cdfc:ef75:651e:89f1,,80,TCP,900281,569395
BO,10.164.145.13,,10.100.246.107,,8081,HTTP,708820,2825206
BO,10.100.246.97,,10.100.246.44,,8080,HTTP,721451,2088054
BO,2001:db8:2bda:f8d3:78b3:842a:7c2c:791,,2001:db8:2bda:f8d3:338a:ea2d:3e1c:fa14,,8443,HTTPS,0,0
BO,10.100.160.212,,10.164.116.253,,8443,HTTPS,255261,2144708
BO,10.100.160.249,,10.165.116.118,,443,HTTPS,2315887,179774
BO,10.164.144.213,,10.164.105.242,,3306,TCP,1980412,3025587
BO,10.100.160.240,,10.164.145.176,,80,HTTP,2229179,1021498
BO,10.165.116.239,,10.100.246.67,,8081,HTTP,3083765,1737335
BO,10.100.160.184,,10.100.160.241,,1521,TCP,0,0
BO,10.164.145.80,,10.164.145.251,,,TCP,2170833,1373608
BO,10.164.144.133,,10.164.105.182,,443,HTTPS,832806,3572668
BO,10.100.246.172,,10.164.144.220,,443,TCP,2457121,1039925
BO,10.100.246.23,,10.164.105.136,,,TCP,3764545,2261691
BO,2001:db8:ea19:a1e1:c179:c596:d772:e63e,,2001:db8:2582:6d22:f287:b989:dbbf:46ed,,443,HTTPS,2227794,542126
BO,2001:db8:2bda:f8d3:ba75:1921:2833:48ea,,2001:db8:548b:87b5:196b:58f1:ded8:9c47,,8443,HTTPS,1503445,3535809
BO,10.164.116.3,,10.164.116.125,,8080,HTTP,1302751,2218218
BO,10.100.160.212,,10.100.246.184,,443,HTTPS,735903,3259176
BO,10.164.145.219,,10.164.145.211,,8080,HTTP,3675184,2264912
BO,10.164.144.74,,10.164.116.5,,443,HTTPS,455585,1518948
BO,10.164.145.31,,10.164.116.201,,8080,TCP,0,0
BO,10.100.160.151,,10.100.246.214,,8081,HTTP,3039327,2422010
BO,10.164.105.4,,10.164.105.143,,443,HTTPS,3037250,1794239
BO,10.165.116.226,,10.165.116.176,,8443,HTTPS,3352264,927518
BO,2001:db8:4c3a:9f21:e13f:8740:bd74:fe0,,2001:db8:548b:87b5:36b7:4e27:48af:7f10,,8443,HTTPS,2286641,1529036
BO,10.164.144.132,,10.100.246.123,,8081,HTTP,1873124,2219275
BO,2001:db8:548b:87b5:81eb:7abb:a082:62df,,2001:db8:548b:87b5:f0fb:db65:a6a5:790a,,8080,HTTP,0,0
BO,10.164.145.119,,10.100.246.179,,8080,HTTP,2897275,3391644
BO,10.164.145.193,,10.100.160.126,,8443,TCP,3551252,3365473
BO,2001:db8:2bda:f8d3:697c:4d7d:d414:7d03,,2001:db8:2582:6d22:feb:ecad:179d:9ae3,,22,TCP,427460,1648932
BO,10.165.116.202,,10.165.116.135,,8443,HTTPS,2769511,1875961
BO,10.164.116.213,,10.100.160.83,,22,TCP,3082781,2019786
BO,10.100.246.60,,10.165.116.108,,8080,HTTP,236765,3231032
BO,10.164.144.209,,10.165.116.56,,1521,TCP,268955,2292687
BO,10.164.105.150,,10.164.105.248,,,TCP,696177,3387464
BO,2001:db8:548b:87b5:7d21:94cb:bd5a:6112,,2001:db8:548b:87b5:8c2b:678e:1f50:e1aa,,,TCP,1851437,2118200
BO,10.164.105.193,,10.100.246.243,,443,HTTPS,3295855,681004
BO,10.164.116.229,,10.100.160.76,,8443,HTTPS,474614,3454653
BO,10.164.116.202,,10.164.145.173,,443,HTTPS,2912045,3833111
BO,10.164.144.84,,10.100.246.12,,8443,HTTPS,2453190,2805995
BO,10.164.145.27,,10.165.116.96,,8081,HTTP,3861721,178282
BO,10.164.145.140,,10.164.144.105,,,TCP,3618674,3823098
BO,2001:db8:4c3a:9f21:5f4:949b:ef10:b6cc,,2001:db8:4c3a:9f21:2e35:c5c8:6fe0:5fa2,,,TCP,1431198,1702270
BO,2001:db8:ea19:a1e1:490c:cf97:2b0c:456b,,2001:db8:4c3a:9f21:277b:71ea:16f1:e5cb,,8081,HTTP,809638,347102
BO,10.164.144.29,,10.100.160.152,,80,HTTP,1442351,697522
BO,10.164.116.61,,10.100.246.26,,8443,TCP,2167705,2233312
