App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BOD,10.100.246.162,,10.164.144.237,,80,HTTP-TUNNEL/HTTPS,2209152,3457264
BOD,10.100.246.126,,10.164.144.64,,22,HTTP2-SSL,851937,3466734
BOD,10.100.246.86,,10.164.145.125,,,HTTP-TUNNEL/HTTPS,0,0
BOD,10.164.144.85,,10.164.145.0,,8080,HTTP,1646315,3307639
BOD,10.100.246.144,,10.164.144.23,,443,HTTPS,1760968,1176292
BOD,2001:db8:1a2b:3c4d:6e95:1719:e0d6:e969,,2001:db8:2bda:f8d3:f206:4a1c:ae9e:2bbf,,,HTTP2-SSL,2398837,1945100
BOD,10.100.246.235,,10.164.144.168,,8081,HTTP,1060886,3511379
BOD,10.100.246.88,,10.164.144.211,,,HTTP-TUNNEL/HTTPS,2757086,1140362
BOD,10.100.246.227,,10.164.144.63,,,HTTP2-SSL,2078637,3322080
BOD,10.164.144.63,,10.164.144.236,,,HTTP2-SSL,2364693,839272
BOD,2001:db8:1a2b:3c4d:a00f:80d4:9d0a:94df,,2001:db8:2bda:f8d3:b7c2:5d94:cef4:4098,,8443,HTTPS,2022528,954333
BOD,10.164.144.3,,10.164.144.100,,1521,HTTP-TUNNEL/HTTPS,2886987,2898517
BOD,10.164.144.33,,10.164.144.65,,80,HTTP,1588943,3190347
BOD,10.164.144.98,,10.164.145.11,,22,HTTP2-SSL,508199,2591447
BOD,10.100.246.221,,10.164.145.208,,389,HTTP2-SSL,2457006,2878591
BOD,10.164.144.24,,10.164.144.142,,3306,HTTP-TUNNEL/HTTPS,521639,2443575
BOD,2001:db8:ea19:a1e1:bcc9:245c:fd81:fbc0,,2001:db8:ea19:a1e1:b086:47e1:fa64:7958,,80,HTTP,1325761,1489885
BOD,2001:db8:ea19:a1e1:7adf:1458:722:ab3c,,2001:db8:ea19:a1e1:d72b:8154:5594:d9c6,,443,HTTPS,2486323,1799750
BOD,10.100.246.37,,10.164.144.224,,8081,HTTP,2372572,3228227
BOD,10.100.246.160,,10.164.145.33,,443,HTTPS,2353540,1029801
BOD,10.100.246.28,,10.164.144.26,,,HTTP2-SSL,2184780,1201941
BOD,10.164.144.232,,10.164.144.196,,,HTTP-TUNNEL/HTTPS,924790,2224454
BOD,10.100.246.168,,10.164.145.98,,80,HTTP,551542,3296345
BOD,10.100.246.131,,10.164.144.181,,22,HTTP-TUNNEL/HTTPS,1279819,1819855
BOD,2001:db8:1a2b:3c4d:25bc:99ae:2547:a8dc,,2001:db8:2bda:f8d3:9a73:cd2f:4f05:495e,,80,HTTP2-SSL,2671309,3259707
BOD,2001:db8:1a2b:3c4d:5804:550b:6c0c:32f9,,2001:db8:ea19:a1e1:576f:f264:1182:e8e7,,22,HTTP-TUNNEL/HTTPS,1888924,3226030
BOD,10.100.246.168,,10.164.145.83,,8080,HTTP,676966,2880084
BOD,2001:db8:1a2b:3c4d:9fb9:38e0:776e:f3e6,,2001:db8:ea19:a1e1:348f:9ce0:603b:c183,,443,HTTPS,0,0
BOD,2001:db8:1a2b:3c4d:70be:9630:4a63:33e3,,2001:db8:ea19:a1e1:5c23:306:c3f9:f409,,80,HTTP,1329738,1991605
BOD,10.164.144.173,,10.164.144.125,,443,HTTPS,590144,1538522
BOD,10.100.246.194,,10.164.144.56,,,HTTP2-SSL,1779566,2713456
BOD,10.164.144.222,,10.164.144.33,,80,HTTP,1048592,1595412
BOD,10.100.246.219,,10.164.145.125,,8081,HTTP,2963423,1593151
BOD,10.100.246.126,,10.164.145.27,,,HTTP2-SSL,2631836,3249818
BOD,10.100.246.33,,10.164.145.85,,,HTTP-TUNNEL/HTTPS,2635565,2369785
BOD,10.100.246.247,,10.164.145.253,,5432,HTTP-TUNNEL/HTTPS,0,0
BOD,10.100.246.120,,10.164.145.202,,8443,HTTPS,2282675,2381600
BOD,10.100.246.43,,10.164.145.68,,8080,HTTP,2364390,2976091
BOD,10.100.246.218,,10.164.145.230,,3306,HTTP-TUNNEL/HTTPS,2586846,2129680
BOD,2001:db8:1a2b:3c4d:a535:f9d7:43ff:fdea,,2001:db8:ea19:a1e1:e6c7:1f15:5bed:83be,,,HTTP2-SSL,2650801,3092824
BOD,10.100.246.60,,10.164.144.36,,8443,HTTP2-SSL,1899881,1624794
BOD,10.164.144.97,,10.164.145.70,,1521,HTTP2-SSL,1682144,2253881
BOD,10.100.246.241,,10.164.144.76,,8443,HTTP-TUNNEL/HTTPS,2489938,1780306
BOD,10.100.246.174,,10.164.145.43,,,HTTP2-SSL,2298488,3727377
BOD,10.164.144.191,,10.164.144.71,,8443,HTTPS,540605,2896314
BOD,10.100.246.214,,10.164.144.217,,,HTTP-TUNNEL/HTTPS,2754874,2056769
BOD,2001:db8:1a2b:3c4d:3036:f6b9:62ed:5403,,2001:db8:ea19:a1e1:4dfd:3ecd:e50d:ede5,,443,HTTPS,0,0
BOD,10.100.246.95,,10.164.144.101,,8080,HTTP,1690417,1663574
BOD,10.100.246.29,,10.164.145.188,,80,HTTP,1870581,2523276
BOD,10.100.246.244,,10.164.145.35,,,HTTP-TUNNEL/HTTPS,1366038,1344975
BOD,10.164.144.81,,10.164.145.158,,8443,HTTPS,0,0
BOD,2001:db8:1a2b:3c4d:cebc:a264:9ad7:5b94,,2001:db8:2bda:f8d3:e115:d52b:91b8:ff07,,80,HTTP-TUNNEL/HTTPS,882112,2007589
BOD,10.100.246.200,,10.164.145.89,,5432,HTTP-TUNNEL/HTTPS,2420270,2413401
BOD,10.164.144.201,,10.164.144.22,,443,HTTPS,1648300,3434371
BOD,10.100.246.252,,10.164.144.210,,8080,HTTP,821005,3968364
BOD,10.100.246.230,,10.164.145.84,,80,HTTP2-SSL,0,0
BOD,10.164.144.195,,10.164.145.175,,,HTTP-TUNNEL/HTTPS,0,0
BOD,2001:db8:1a2b:3c4d:bfa9:3b6e:ab98:7d93,,2001:db8:2bda:f8d3:761b:7e11:7c19:2e61,,8081,HTTP,1516253,3792977
BOD,2001:db8:1a2b:3c4d:d6a7:aa06:2bab:ba12,,2001:db8:ea19:a1e1:19bb:5bf0:9b63:9a38,,5432,HTTP2-SSL,1206544,1125416
BOD,2001:db8:1a2b:3c4d:5bab:96cc:70ce:f646,,2001:db8:ea19:a1e1:b6e3:b91b:3777:d823,,8443,HTTPS,700303,3462503
BOD,10.164.144.199,,10.164.144.157,,80,HTTP-TUNNEL/HTTPS,704114,2382911
BOD,10.100.246.102,,10.164.144.46,,8080,HTTP,617206,861068
BOD,10.164.144.112,,10.164.144.49,,443,HTTPS,684601,2543488
BOD,10.100.246.106,,10.164.144.202,,8443,HTTP-TUNNEL/HTTPS,944115,2295589
BOD,2001:db8:ea19:a1e1:63a1:bcaa:311:3626,,2001:db8:2bda:f8d3:3858:3966:7572:56f6,,3306,HTTP2-SSL,684293,1082407
BOD,10.164.144.52,,10.164.145.87,,,HTTP2-SSL,1860440,3446077
BOD,10.164.144.170,,10.164.144.89,,,HTTP2-SSL,2522201,1083172
BOD,10.164.144.195,,10.164.145.119,,80,HTTP,588975,3385153
BOD,2001:db8:1a2b:3c4d:f57:1d6b:1452:e130,,2001:db8:2bda:f8d3:7fac:89fe:5fe0:c7c3,,443,HTTPS,2076001,1657254
BOD,10.164.144.168,,10.164.145.68,,80,HTTP2-SSL,2684699,2540189
BOD,10.100.246.169,,10.164.144.175,,443,HTTPS,2762037,1026802
BOD,10.100.246.195,,10.164.144.164,,8443,HTTPS,525344,1071022
BOD,2001:db8:1a2b:3c4d:fdf4:8930:a265:df65,,2001:db8:ea19:a1e1:3447:c34a:f032:c262,,80,HTTP,2985673,3102031
BOD,10.100.246.218,,10.164.144.239,,8443,HTTP2-SSL,1527289,2578455
BOD,10.100.246.103,,10.164.145.139,,3306,HTTP-TUNNEL/HTTPS,2170358,2384261
BOD,10.164.144.79,,10.164.145.246,,8080,HTTP,2292634,1149103
BOD,10.164.144.89,,10.164.144.131,,22,HTTP-TUNNEL/HTTPS,1687934,2373480
BOD,10.100.246.240,,10.164.144.100,,443,HTTPS,517534,853830
BOD,10.100.246.207,,10.164.145.212,,,HTTP-TUNNEL/HTTPS,2065083,2410769
BOD,10.164.144.209,,10.164.144.19,,8080,HTTP,2872334,1480997
BOD,10.100.246.250,,10.164.145.188,,8081,HTTP,2116204,2578554
BOD,10.100.246.14,,10.164.145.75,,8080,HTTP2-SSL,1566561,1837732
BOD,10.100.246.59,,10.164.144.47,,443,HTTP-TUNNEL/HTTPS,2674901,1591982
BOD,10.100.246.154,,10.164.145.195,,,HTTP2-SSL,872762,1258328
BOD,10.100.246.137,,10.164.144.107,,80,HTTP-TUNNEL/HTTPS,0,0
BOD,2001:db8:ea19:a1e1:bba8:a7e5:49d0:aac1,,2001:db8:2bda:f8d3:2d28:a2a8:2bae:afc7,,443,HTTPS,1330558,2840408
BOD,10.100.246.95,,10.164.144.102,,8081,HTTP,1266422,3984167
BOD,10.100.246.55,,10.164.145.85,,8080,HTTP,859481,2384308
BOD,2001:db8:1a2b:3c4d:19ce:a0c3:c2b2:547d,,2001:db8:ea19:a1e1:18ca:a0a9:ab7:4b5d,,8080,HTTP,2681348,3993391
BOD,10.100.246.172,,10.164.145.189,,,HTTP2-SSL,1504942,2315027
BOD,10.100.246.169,,10.164.145.51,,8080,HTTP,2185306,3841793
BOD,10.100.246.143,,10.164.144.127,,22,HTTP2-SSL,2659705,2532778
BOD,2001:db8:ea19:a1e1:a23f:3abf:441:e22c,,2001:db8:2bda:f8d3:bc5e:3e2f:cebc:1bd7,,22,HTTP-TUNNEL/HTTPS,2178414,3900448
BOD,2001:db8:1a2b:3c4d:e7bb:5e42:b312:6a11,,2001:db8:2bda:f8d3:6286:16f4:bbf9:a04b,,443,HTTPS,2681266,3198691
BOD,10.100.246.254,,10.164.144.44,,,HTTP2-SSL,2801610,2757913
BOD,10.100.246.123,,10.164.145.124,,443,HTTPS,875104,1242371
BOD,10.100.246.196,,10.164.145.143,,8443,HTTPS,2497756,3612705
BOD,2001:db8:ea19:a1e1:df37:7ff8:5532:7432,,2001:db8:2bda:f8d3:99c6:207f:ec81:4510,,5432,HTTP2-SSL,2856779,2632752
BOD,10.100.246.44,,10.164.145.57,,8080,HTTP,2983868,1589185
