App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BP,10.164.145.160,,10.100.246.194,,443,HTTPS,1403585,359564
BP,10.164.116.163,,10.164.116.186,,443,HTTPS,2279995,2883938
BP,10.164.116.235,,10.164.144.161,,,TCP,1344968,3611541
BP,10.164.145.145,,10.165.116.74,,443,HTTPS,2611886,1442761
BP,10.164.144.244,,10.164.105.110,,8080,HTTP,0,0
BP,10.164.145.107,,10.100.246.115,,443,HTTPS,3972004,3729884
BP,10.100.160.153,,10.164.116.81,,3306,TCP,1871831,2943313
BP,10.164.116.36,,10.164.116.144,,8081,HTTP,3971610,918275
BP,10.164.144.165,,10.164.145.27,,8443,HTTPS,2019030,2845733
BP,2001:db8:2bda:f8d3:e5b0:15b4:4a84:525f,,2001:db8:2582:6d22:256:8225:a6b7:8891,,443,HTTPS,2945071,3394622
BP,2001:db8:2582:6d22:1896:9587:e6b:bde0,,2001:db8:2bda:f8d3:794f:ebef:f962:77e5,,389,TCP,2826707,1519712
BP,10.100.160.206,,10.100.160.125,,5432,TCP,2149445,1369572
BP,10.100.160.192,,10.100.160.45,,8081,HTTP,1702647,1254339
BP,10.164.144.59,,10.164.144.42,,389,TCP,1043445,196581
BP,10.164.116.48,,10.164.105.92,,8080,HTTP,2803634,3047492
BP,10.164.144.32,,10.164.105.94,,8081,HTTP,182822,1751702
BP,10.100.246.250,,10.165.116.32,,443,HTTPS,3260442,3258261
BP,10.164.144.92,,10.164.145.2,,8443,HTTPS,3457594,1418253
BP,2001:db8:2bda:f8d3:8192:ef8f:1fed:7603,,2001:db8:2bda:f8d3:a87d:21ff:f1fa:7e6a,,389,TCP,3894249,3383308
BP,10.164.145.251,,10.165.116.160,,8443,HTTPS,2642470,2357414
BP,10.100.160.22,,10.100.246.121,,1521,TCP,3690681,3592294
BP,2001:db8:4c3a:9f21:5beb:b1c7:977f:199a,,2001:db8:2bda:f8d3:42bb:8f63:4145:8abc,,443,HTTPS,0,0
BP,10.164.116.73,,10.100.160.104,,1521,TCP,2755497,3022603
BP,10.165.116.83,,10.100.160.214,,5432,TCP,1689397,208673
BP,10.164.105.56,,10.164.144.208,,443,TCP,1621775,3913651
BP,10.100.246.115,,10.100.246.140,,8443,TCP,1688099,540413
BP,2001:db8:4c3a:9f21:ce8a:5306:d243:8d1b,,2001:db8:2bda:f8d3:8769:ee24:1875:589a,,8443,HTTPS,2413335,1236882
BP,10.164.145.199,,10.164.105.92,,8081,HTTP,2942949,3408246
BP,10.100.246.244,,10.164.116.65,,80,HTTP,2980053,2254049
BP,10.164.145.136,,10.164.116.27,,8443,HTTPS,3067480,3361189
BP,10.100.160.93,,10.164.116.224,,8080,HTTP,2206502,1303008
BP,10.100.160.117,,10.100.246.156,,443,HTTPS,1382037,1805046
BP,10.100.160.39,,10.164.144.122,,80,TCP,454775,3218085
BP,10.100.246.5,,10.100.246.217,,443,HTTPS,2111822,2187946
BP,10.165.116.63,,10.100.160.207,,80,TCP,3095404,1882490
BP,10.164.145.21,,10.100.160.229,,389,TCP,3890806,1044006
BP,10.164.145.180,,10.165.116.26,,8080,HTTP,1690038,815061
BP,2001:db8:2bda:f8d3:db99:2f51:c433:b3bd,,2001:db8:2bda:f8d3:4c96:edc2:4a41:aed8,,8080,HTTP,993663,109371
BP,10.164.145.18,,10.164.105.237,,8443,HTTPS,0,0
BP,10.164.105.54,,10.164.105.2,,8081,HTTP,880802,1786395
BP,2001:db8:2582:6d22:2759:9511:e604:bfbe,,2001:db8:2bda:f8d3:e9c1:84ce:1fb4:26c0,,1521,TCP,1048312,2074253
BP,10.164.116.137,,10.164.145.55,,8081,HTTP,3620520,1942795
BP,10.164.116.183,,10.164.144.101,,80,TCP,660695,1754845
BP,10.164.144.101,,10.164.145.245,,8443,HTTPS,598251,1866201
