App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BTIF,10.100.160.166,,10.164.145.204,,8443,HTTPS,651205,560252
BTIF,10.164.145.176,,10.164.145.6,,443,HTTPS,318270,2945039
BTIF,10.165.116.4,,10.100.160.222,,8080,HTTP,0,0
BTIF,10.165.116.95,,10.164.145.127,,80,HTTP,3724578,1205327
BTIF,10.100.246.101,,10.164.116.242,,443,HTTPS,3040815,3163757
BTIF,10.100.246.76,,10.165.116.117,,80,TCP,1248658,906050
BTIF,10.165.116.46,,10.164.145.26,,8080,HTTP,2301888,1385327
BTIF,10.164.145.218,,10.164.105.245,,80,TCP,1376284,561603
BTIF,10.164.105.214,,10.100.160.126,,80,HTTP,0,0
BTIF,10.164.105.146,,10.164.145.241,,8081,HTTP,522625,1907357
BTIF,10.164.105.155,,10.164.105.57,,389,TCP,3331558,3715382
BTIF,10.100.246.190,,10.164.105.121,,8443,HTTPS,980943,2550845
BTIF,10.164.145.61,,10.100.160.21,,443,HTTPS,909196,3055558
BTIF,2001:db8:4c3a:9f21:b37:3468:2757:1245,,2001:db8:4c3a:9f21:1155:581f:6fa5:f03f,,8081,HTTP,0,0
BTIF,10.100.160.148,,10.164.145.23,,443,HTTPS,3431914,3010022
BTIF,10.164.116.38,,10.100.160.84,,8081,HTTP,1711243,2459290
BTIF,10.164.105.94,,10.164.145.1,,80,TCP,3787443,3994945
BTIF,10.100.160.132,,10.100.160.155,,1521,TCP,2415888,599555
BTIF,2001:db8:2bda:f8d3:a3bd:d4d6:a01:d8b6,,2001:db8:548b:87b5:e233:c597:f129:ed2f,,80,TCP,2794475,1144415
BTIF,10.164.144.177,,10.164.144.188,,80,HTTP,3058920,3807707
BTIF,10.164.116.150,,10.165.116.166,,80,TCP,3555820,1591004
BTIF,10.164.145.8,,10.164.105.54,,8443,HTTPS,2842339,1179383
BTIF,10.165.116.226,,10.164.145.112,,8080,HTTP,955296,2539674
BTIF,10.164.116.228,,10.164.145.118,,8443,HTTPS,1646188,722158
BTIF,2001:db8:2bda:f8d3:a5c6:c5ae:2e2f:2127,,2001:db8:2582:6d22:4f66:a914:563:5b30,,,TCP,2983025,2649390
