App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BW,10.100.160.62,,10.164.105.98,,443,HTTPS,2347954,196629
BW,10.164.145.186,,10.100.246.58,,8080,TCP,1021744,449984
BW,10.164.105.246,,10.164.105.102,,389,TCP,2834369,1334471
BW,10.164.116.204,,10.165.116.98,,80,HTTP,929953,2981727
BW,10.164.116.159,,10.164.144.84,,,TCP,2146114,1918111
BW,10.100.160.163,,10.164.105.55,,8443,HTTPS,1900669,937689
BW,10.100.160.32,,10.100.246.230,,,TCP,2244785,1161425
BW,10.100.246.180,,10.100.160.203,,3306,TCP,1900978,3417259
BW,10.164.145.190,,10.100.160.190,,,TCP,612978,140403
BW,2001:db8:548b:87b5:e614:15dd:5251:d645,,2001:db8:2bda:f8d3:10f4:c941:8fc7:ad79,,8081,HTTP,989927,2311498
BW,10.100.160.38,,10.165.116.215,,8443,HTTPS,1432879,3511623
BW,10.100.246.255,,10.164.116.23,,8080,HTTP,600208,620482
BW,10.165.116.121,,10.164.116.10,,80,HTTP,2799733,3385421
BW,10.164.116.67,,10.164.105.206,,,TCP,0,0
BW,10.164.144.48,,10.164.116.212,,8443,HTTPS,1252064,1430389
BW,10.165.116.160,,10.100.246.252,,443,HTTPS,1749735,1351764
BW,10.100.246.62,,10.100.160.191,,443,HTTPS,0,0
BW,2001:db8:ea19:a1e1:39f1:8027:6f88:e2c0,,2001:db8:548b:87b5:cff1:b675:e6fb:976b,,443,HTTPS,0,0
BW,10.164.144.24,,10.164.144.155,,5432,TCP,1232093,3030412
BW,2001:db8:2582:6d22:ab11:7736:7260:282f,,2001:db8:ea19:a1e1:8710:1172:8592:4e5f,,8443,HTTPS,2873563,2155644
BW,10.100.160.115,,10.164.116.47,,8080,HTTP,3083749,447264
BW,10.164.145.105,,10.100.160.39,,,TCP,0,0
BW,10.100.246.96,,10.164.116.249,,389,TCP,2255567,3700637
BW,10.100.160.78,,10.164.116.54,,3306,TCP,1717221,1997636
BW,10.100.246.96,,10.164.116.35,,8080,HTTP,788689,2978408
BW,10.100.160.75,,10.164.144.236,,,TCP,1108992,169574
BW,10.164.144.231,,10.164.116.180,,80,HTTP,0,0
BW,10.164.145.220,,10.164.116.170,,3306,TCP,510256,306084
BW,10.164.116.150,,10.164.145.96,,80,HTTP,2591622,1257316
BW,10.164.116.25,,10.164.144.127,,80,TCP,3854147,249686
