App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
BX,2001:db8:2bda:f8d3:6454:16be:6791:346c,,2001:db8:548b:87b5:7ec3:91ef:44ad:2484,,443,HTTPS,1558078,2771348
BX,10.164.145.1,,10.164.145.48,,8443,HTTPS,3199971,1380622
BX,10.164.145.161,,10.164.105.35,,443,HTTPS,1493160,3874325
BX,10.164.145.242,,10.164.145.219,,1521,TLS,3796261,422865
BX,10.164.145.180,,10.164.105.242,,8443,HTTP2-SSL,0,0
BX,2001:db8:2bda:f8d3:c147:2ff2:2ad4:7bba,,2001:db8:2bda:f8d3:180a:7e01:c677:36bc,,,TLS,1507932,1998410
BX,10.164.145.131,,10.164.145.249,,80,TLS,3571832,1579022
BX,10.164.145.247,,10.164.145.57,,80,TLS,720339,1821002
BX,10.164.145.182,,10.164.105.254,,443,HTTPS,2522563,3208031
BX,10.164.145.45,,10.164.105.99,,1521,TLS,3779008,2729374
BX,10.164.145.89,,10.100.246.135,,3306,HTTP2-SSL,1740082,2571065
BX,10.164.145.97,,10.100.246.21,,3306,HTTP2-SSL,3598769,2668455
BX,10.164.145.177,,10.164.145.147,,443,HTTPS,2192651,3989097
BX,10.164.145.148,,10.164.105.83,,443,TLS,0,0
BX,2001:db8:2bda:f8d3:97d3:8ab9:d352:a91,,2001:db8:1a2b:3c4d:7d05:955b:d9e:1328,,8443,HTTPS,1577466,2869303
BX,2001:db8:2bda:f8d3:e0f3:ee66:59a7:e6e4,,2001:db8:548b:87b5:b694:15c7:1604:52b7,,443,HTTPS,1912152,2554610
BX,10.164.145.242,,10.164.105.181,,8443,HTTPS,1872358,1774003
BX,2001:db8:2bda:f8d3:4001:570a:3312:de73,,2001:db8:1a2b:3c4d:8de5:8a88:6a93:716a,,1521,TLS,2476765,3988617
BX,10.164.145.223,,10.100.246.49,,8443,HTTPS,3011406,1413909
BX,10.164.145.239,,10.100.246.181,,5432,TLS,2034765,216068
BX,2001:db8:2bda:f8d3:c17f:cf19:16a3:4833,,2001:db8:1a2b:3c4d:e827:3dee:9d7e:4eb7,,8443,HTTPS,633829,2704200
BX,10.164.145.27,,10.100.246.201,,8443,HTTPS,2910516,124968
BX,10.164.145.235,,10.164.145.27,,443,HTTPS,1233195,3580828
BX,2001:db8:2bda:f8d3:d26a:ab27:18ef:2501,,2001:db8:2bda:f8d3:dd43:b0cf:54d0:9314,,443,HTTPS,3042609,960102
BX,10.164.145.69,,10.100.246.114,,8080,HTTP2-SSL,1362033,2735027
BX,10.164.145.248,,10.164.105.102,,443,HTTPS,100149,741821
BX,2001:db8:2bda:f8d3:344c:96cc:3f48:e5f0,,2001:db8:548b:87b5:719d:eadd:817c:6779,,443,HTTPS,1357971,1796836
BX,10.164.145.133,,10.164.105.224,,5432,HTTP2-SSL,0,0
BX,2001:db8:2bda:f8d3:3d9d:542a:a84f:a67f,,2001:db8:2bda:f8d3:334a:34a8:8bf3:49a3,,443,TLS,2569454,2167641
BX,10.164.145.54,,10.100.246.237,,,TLS,721455,217317
BX,2001:db8:2bda:f8d3:949e:24ad:2d2:2ee7,,2001:db8:1a2b:3c4d:7556:6ff1:b91a:ce28,,443,HTTPS,1600502,2199829
BX,10.164.145.199,,10.100.246.32,,443,HTTPS,1575837,2851184
BX,10.164.145.71,,10.164.145.142,,5432,HTTP2-SSL,386093,3942653
BX,10.164.145.92,,10.100.246.132,,8443,HTTPS,2569824,2535736
BX,10.164.145.34,,10.100.246.23,,443,HTTPS,1071838,504919
BX,10.164.145.243,,10.164.145.165,,443,HTTPS,542213,3874010
BX,10.164.145.215,,10.100.246.32,,8443,HTTPS,580137,256943
BX,2001:db8:2bda:f8d3:ec6d:d411:78a:a79e,,2001:db8:1a2b:3c4d:60ac:4a64:7313:1038,,8443,HTTP2-SSL,920900,1159040
BX,10.164.145.103,,10.164.105.82,,,TLS,3491817,3413517
BX,10.164.145.49,,10.164.145.104,,443,HTTPS,3846734,121962
BX,10.164.145.36,,10.164.145.174,,8443,HTTPS,897491,3591350
BX,10.164.145.180,,10.164.145.182,,,HTTP2-SSL,3679509,678283
BX,10.164.145.192,,10.164.145.36,,389,HTTP2-SSL,1350854,523259
BX,10.164.145.169,,10.164.145.11,,8443,HTTPS,3968294,3573506
BX,10.164.145.80,,10.164.105.147,,443,HTTPS,3678560,2271641
BX,10.164.145.29,,10.100.246.56,,1521,HTTP2-SSL,0,0
BX,10.164.145.171,,10.164.105.30,,443,HTTPS,2394650,3525749
BX,10.164.145.31,,10.164.145.120,,80,TLS,1550581,396801
BX,10.164.145.41,,10.164.145.245,,8443,HTTPS,3133864,275074
BX,10.164.145.179,,10.164.105.220,,8443,TLS,0,0
BX,10.164.145.194,,10.164.105.9,,5432,HTTP2-SSL,3311501,1682208
BX,10.164.145.70,,10.100.246.59,,3306,TLS,1575510,912208
BX,10.164.145.118,,10.164.105.47,,5432,HTTP2-SSL,3235140,3256503
BX,10.164.145.23,,10.164.145.7,,80,HTTP2-SSL,421332,337626
BX,10.164.145.160,,10.164.105.179,,8443,HTTP2-SSL,1326467,644069
