App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CACS,10.100.160.39,,10.164.144.128,,443,HTTPS,2175883,3058054
CACS,10.100.246.227,,10.164.145.154,,8081,HTTP,1327603,3744728
CACS,10.164.105.53,,10.164.105.27,,8080,HTTP,3059088,2708319
CACS,2001:db8:2bda:f8d3:855f:ecc6:f9d7:1979,,2001:db8:1a2b:3c4d:1f6c:6a86:35f4:ffba,,443,HTTPS,250439,1086102
CACS,10.164.116.10,,10.164.144.255,,5432,TCP,1360022,3569439
CACS,2001:db8:1a2b:3c4d:7ecf:bfc6:6249:a586,,2001:db8:4c3a:9f21:61f1:4c98:dcde:adc8,,80,HTTP,1041405,962894
CACS,10.165.116.156,,10.164.144.16,,8443,HTTPS,209018,3917043
CACS,10.100.246.110,,10.164.105.14,,8081,HTTP,3578082,2706887
CACS,10.100.160.29,,10.100.160.55,,8443,HTTPS,3125338,2943610
CACS,10.165.116.217,,10.164.116.133,,,TCP,2060134,3227415
CACS,10.164.144.140,,10.164.105.43,,,TCP,1340779,1515713
CACS,2001:db8:548b:87b5:a8c3:4b25:44cc:a057,,2001:db8:548b:87b5:9ba5:d58b:c585:36b7,,3306,TCP,3606437,1209466
CACS,10.164.144.4,,10.164.116.238,,,TCP,2114137,2774888
CACS,10.164.144.40,,10.165.116.141,,8443,HTTPS,368617,1947337
CACS,10.164.105.253,,10.164.105.65,,8080,TCP,3754241,2691867
CACS,10.100.160.94,,10.164.144.225,,8443,HTTPS,275974,2421160
CACS,2001:db8:2bda:f8d3:41e7:ebba:f9ac:1a4f,,2001:db8:548b:87b5:5987:e1e6:3c15:17fc,,443,TCP,2243438,424849
CACS,10.164.105.212,,10.100.246.36,,8443,HTTPS,3773594,1287342
CACS,10.100.246.171,,10.164.105.208,,8443,HTTPS,2074196,1333389
CACS,10.164.144.76,,10.164.105.13,,3306,TCP,2242434,3102148
CACS,10.165.116.176,,10.100.160.110,,8081,HTTP,236732,2855906
CACS,10.100.160.39,,10.164.144.114,,8443,HTTPS,2360593,3174616
CACS,10.100.246.241,,10.164.144.225,,8080,HTTP,917988,3606475
CACS,10.164.105.185,,10.164.145.118,,8080,HTTP,3238129,584093
CACS,10.164.116.40,,10.164.105.180,,443,HTTPS,3936259,1619583
CACS,10.164.116.214,,10.100.246.117,,443,HTTPS,3982738,2354924
CACS,10.100.160.70,,10.165.116.133,,8080,HTTP,0,0
CACS,10.164.145.253,,10.165.116.101,,,TCP,165063,799488
CACS,10.165.116.240,,10.100.160.51,,,TCP,0,0
CACS,10.164.144.198,,10.164.145.216,,80,HTTP,1787441,3023130
CACS,10.164.144.172,,10.164.105.55,,443,HTTPS,409340,3198535
CACS,10.164.116.230,,10.100.160.223,,8080,HTTP,3036489,664576
CACS,10.165.116.42,,10.100.246.77,,3306,TCP,2926571,2823800
CACS,10.164.145.143,,10.165.116.49,,3306,TCP,302534,2466138
CACS,10.165.116.218,,10.100.246.146,,8080,HTTP,1436214,3276347
CACS,2001:db8:1a2b:3c4d:507a:61a9:9d8f:eee1,,2001:db8:2bda:f8d3:48e8:f79:58eb:a462,,22,TCP,1940950,1037986
CACS,10.164.105.54,,10.165.116.118,,8443,HTTPS,691409,502552
CACS,10.100.246.14,,10.164.145.20,,443,HTTPS,127955,2148355
CACS,2001:db8:2bda:f8d3:bb6a:3647:6d2f:458d,,2001:db8:548b:87b5:d841:26ac:eb4f:9efb,,8080,HTTP,0,0
CACS,2001:db8:548b:87b5:cdbb:6c1f:5a8d:785e,,2001:db8:2bda:f8d3:cb17:945:be88:f8e4,,443,HTTPS,1472022,757361
CACS,10.100.160.37,,10.100.160.161,,389,TCP,1431805,898589
CACS,10.100.160.4,,10.164.144.125,,8443,TCP,2924224,920734
CACS,10.100.246.254,,10.164.145.144,,443,TCP,2265545,3695176
CACS,10.164.116.251,,10.164.144.106,,443,HTTPS,262792,1853887
CACS,10.100.160.120,,10.165.116.178,,8081,HTTP,2855410,855244
CACS,10.164.105.248,,10.100.160.250,,8443,HTTPS,2607531,1597902
CACS,10.164.145.147,,10.164.144.214,,8080,HTTP,1137655,2878383
CACS,10.164.105.58,,10.100.160.177,,8443,HTTPS,3056224,637113
CACS,10.100.246.250,,10.100.246.210,,443,HTTPS,221477,1320249
CACS,10.100.246.209,,10.100.246.31,,8443,HTTPS,1197251,2931109
CACS,10.164.116.204,,10.164.116.133,,8443,TCP,1525398,2768693
CACS,10.164.116.85,,10.164.145.105,,443,HTTPS,2672383,2661677
CACS,10.164.144.10,,10.100.160.194,,,TCP,1497911,3926163
CACS,10.164.144.25,,10.100.160.107,,8081,HTTP,932316,758475
CACS,10.100.160.148,,10.164.145.82,,8080,HTTP,1833905,1004355
CACS,10.164.144.10,,10.164.144.52,,8443,HTTPS,0,0
CACS,10.164.144.126,,10.164.145.17,,8081,HTTP,618595,3509951
CACS,10.164.145.138,,10.100.246.43,,5432,TCP,184532,161831
CACS,10.164.145.200,,10.164.144.99,,8443,HTTPS,3391571,1457808
CACS,10.164.105.234,,10.164.105.103,,22,TCP,1679494,1321543
CACS,10.164.116.142,,10.165.116.247,,8081,HTTP,2336419,2224807
CACS,2001:db8:2582:6d22:f392:b60b:64c5:ee2d,,2001:db8:2bda:f8d3:73c7:fd75:1bb9:d499,,443,HTTPS,1766600,3334671
CACS,10.165.116.159,,10.164.144.170,,,TCP,450788,500090
CACS,10.164.116.127,,10.165.116.42,,22,TCP,2295322,3132617
CACS,10.164.144.252,,10.100.246.129,,8080,HTTP,3205928,1517123
CACS,2001:db8:2bda:f8d3:3c59:69c6:a6ea:997,,2001:db8:4c3a:9f21:b578:6277:761c:7a2b,,443,HTTPS,3963920,540585
CACS,2001:db8:2bda:f8d3:1f19:297e:bf86:ad63,,2001:db8:1a2b:3c4d:1d19:1f64:f8cf:814a,,8080,HTTP,816060,2726325
CACS,10.100.160.214,,10.100.246.204,,5432,TCP,1334063,3119659
CACS,10.165.116.190,,10.164.105.84,,8443,TCP,3467244,2675301
CACS,10.165.116.241,,10.164.105.236,,,TCP,3988453,3232156
CACS,10.164.145.242,,10.164.145.5,,8080,HTTP,851727,730609
CACS,10.164.144.96,,10.164.105.102,,443,HTTPS,2355409,2023480
CACS,2001:db8:2582:6d22:1117:f840:280d:4e22,,2001:db8:4c3a:9f21:ed89:82c2:39d:fd70,,8080,HTTP,3542493,3923153
CACS,10.164.105.206,,10.164.105.130,,443,HTTPS,424958,2585708
CACS,10.164.105.134,,10.164.145.52,,,TCP,2563386,2804613
CACS,10.100.246.141,,10.100.246.242,,8443,TCP,1007829,483100
CACS,10.164.145.243,,10.164.145.0,,80,HTTP,3857900,318897
CACS,10.164.116.241,,10.100.160.167,,8081,HTTP,3287702,591977
CACS,10.100.246.242,,10.164.116.181,,8081,HTTP,0,0
CACS,10.164.145.142,,10.164.145.73,,8081,HTTP,1952401,2155601
CACS,10.164.144.222,,10.165.116.178,,3306,TCP,3687691,2054863
CACS,10.164.116.97,,10.164.145.195,,80,HTTP,3235781,144763
CACS,10.164.145.158,,10.164.144.168,,,TCP,3941173,1164347
