App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CAP,10.164.144.86,,10.100.246.5,,22,TCP,440891,3779236
CAP,10.100.246.97,,10.100.160.67,,80,HTTP,1690943,3060817
CAP,10.165.116.211,,10.164.105.115,,8443,TCP,842861,1337035
CAP,10.164.144.181,,10.164.116.186,,8081,HTTP,2293800,1986065
CAP,10.164.145.197,,10.164.144.79,,443,HTTPS,3045187,1919713
CAP,10.100.246.106,,10.164.105.175,,8443,HTTPS,480664,2252820
CAP,10.164.116.16,,10.164.105.59,,443,HTTPS,2093174,686427
CAP,10.165.116.17,,10.164.116.165,,443,HTTPS,2740197,1605269
CAP,2001:db8:2582:6d22:19a7:361b:e729:b06f,,2001:db8:2582:6d22:5ba6:2f73:e9c4:1f0d,,8080,TCP,3254306,191225
CAP,10.165.116.222,,10.165.116.204,,80,HTTP,1159375,3134043
CAP,10.100.160.153,,10.164.116.20,,,TCP,3878503,3987643
CAP,10.100.246.205,,10.164.105.14,,1521,TCP,3818649,2603375
CAP,10.164.145.71,,10.165.116.66,,8443,HTTPS,3407499,325653
CAP,10.100.246.177,,10.164.145.234,,80,HTTP,2031844,103536
CAP,10.164.145.157,,10.164.105.41,,8443,TCP,1931018,478187
CAP,10.165.116.191,,10.100.246.2,,80,HTTP,1545826,519067
CAP,10.100.160.241,,10.164.145.192,,8081,HTTP,1118133,3300489
CAP,10.164.105.68,,10.100.246.204,,8080,HTTP,3538452,2930104
CAP,10.164.116.36,,10.165.116.177,,8081,HTTP,0,0
CAP,10.164.145.120,,10.100.246.188,,8080,HTTP,0,0
CAP,10.164.116.117,,10.164.144.70,,80,HTTP,285589,985972
CAP,2001:db8:2582:6d22:6cfb:6acc:2e0c:5488,,2001:db8:2bda:f8d3:4fa3:baf6:48f3:68ba,,8443,HTTPS,246073,1194795
CAP,10.164.145.54,,10.164.116.238,,443,TCP,2850912,3717446
CAP,10.164.145.65,,10.164.105.196,,8443,HTTPS,148606,2139016
CAP,10.164.116.27,,10.100.246.155,,8080,HTTP,3212446,2759680
CAP,10.164.116.190,,10.165.116.242,,8443,HTTPS,3640698,2344053
CAP,2001:db8:2bda:f8d3:c275:da34:881e:40c6,,2001:db8:2582:6d22:acba:60e2:decc:eaea,,1521,TCP,928849,2259631
CAP,10.164.116.24,,10.164.116.237,,80,HTTP,609823,3740222
CAP,10.165.116.189,,10.100.160.129,,8080,HTTP,2931139,1342119
CAP,2001:db8:548b:87b5:5b5c:d6c5:4b11:c181,,2001:db8:2bda:f8d3:725f:875a:47c:1fe5,,8081,HTTP,249380,2598877
CAP,10.165.116.202,,10.100.160.127,,443,TCP,628711,3148367
CAP,10.164.105.234,,10.164.105.124,,8443,HTTPS,270460,421015
CAP,2001:db8:4c3a:9f21:b9b3:c0ee:faf2:be80,,2001:db8:2bda:f8d3:4d4e:f3fa:bfcf:f645,,80,HTTP,871459,3232167
CAP,10.164.144.221,,10.100.246.59,,1521,TCP,2681935,2256038
CAP,10.100.160.25,,10.100.246.191,,8443,HTTPS,1002653,3290686
