App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CCA,10.164.145.97,,10.164.105.32,,8443,HTTPS,355286,971291
CCA,10.164.145.244,,10.164.145.237,,443,HTTPS,1437388,3413567
CCA,10.164.145.226,,10.164.105.42,,389,TLS,2572021,1001749
CCA,10.164.145.220,,10.164.105.57,,,HTTP2-SSL,3360634,2795374
CCA,10.164.145.233,,10.164.145.0,,,TLS,2622262,1235579
CCA,10.164.145.247,,10.164.145.145,,389,HTTP2-SSL,1144473,1530854
CCA,10.164.145.225,,10.100.246.57,,8443,HTTPS,127335,1438853
CCA,10.164.145.83,,10.100.246.91,,8443,HTTPS,0,0
CCA,10.164.145.93,,10.100.246.99,,443,HTTPS,994294,1388491
CCA,10.164.145.241,,10.164.145.52,,8443,HTTP2-SSL,2494982,2918099
CCA,10.164.145.87,,10.100.246.80,,3306,HTTP2-SSL,2266216,2087157
CCA,10.164.145.137,,10.164.145.117,,1521,TLS,1655210,708117
CCA,10.164.145.161,,10.164.145.230,,5432,TLS,0,0
CCA,10.164.145.209,,10.164.105.181,,,HTTP2-SSL,2016334,3317235
CCA,10.164.145.106,,10.164.105.131,,,TLS,199316,1449919
CCA,10.164.145.102,,10.164.145.110,,1521,HTTP2-SSL,548096,412169
CCA,10.164.145.240,,10.100.246.23,,22,HTTP2-SSL,1147930,1275003
CCA,10.164.145.51,,10.164.105.28,,389,HTTP2-SSL,1649580,1937626
CCA,2001:db8:2bda:f8d3:bff4:9c48:e17f:5e53,,2001:db8:548b:87b5:dfbb:3a43:26da:916c,,8443,HTTP2-SSL,2456512,469120
CCA,10.164.145.133,,10.164.145.149,,443,HTTP2-SSL,3752086,3396306
CCA,10.164.145.228,,10.100.246.109,,8443,HTTPS,2064303,1054968
CCA,10.164.145.132,,10.164.145.130,,,HTTP2-SSL,197049,688334
CCA,10.164.145.249,,10.100.246.24,,389,HTTP2-SSL,1666465,167953
CCA,10.164.145.167,,10.164.145.251,,443,TLS,3180438,416890
CCA,10.164.145.81,,10.164.105.44,,,HTTP2-SSL,2658657,2827027
CCA,10.164.145.220,,10.164.145.141,,8080,TLS,0,0
CCA,10.164.145.232,,10.100.246.221,,8443,HTTPS,0,0
CCA,10.164.145.4,,10.164.105.115,,1521,TLS,3688540,1034868
CCA,10.164.145.234,,10.164.145.102,,,HTTP2-SSL,3846534,3792295
CCA,10.164.145.75,,10.164.105.105,,80,TLS,2337334,2624641
CCA,2001:db8:2bda:f8d3:edaf:ea54:50b9:e04a,,2001:db8:548b:87b5:3574:6477:a87d:a2af,,1521,TLS,1077184,3958249
CCA,10.164.145.225,,10.164.105.63,,8443,TLS,1695582,306419
CCA,10.164.145.194,,10.164.105.63,,443,HTTPS,2225267,3930587
CCA,10.164.145.107,,10.164.105.61,,,TLS,1603198,3244396
CCA,10.164.145.46,,10.164.105.184,,443,TLS,0,0
CCA,10.164.145.51,,10.100.246.181,,,TLS,3608680,373911
CCA,10.164.145.117,,10.100.246.43,,5432,HTTP2-SSL,0,0
CCA,10.164.145.165,,10.164.145.23,,443,HTTPS,0,0
CCA,10.164.145.240,,10.164.105.19,,443,HTTPS,3733714,3203152
CCA,10.164.145.80,,10.100.246.214,,443,HTTPS,2275164,734935
CCA,10.164.145.186,,10.164.105.56,,443,HTTPS,2186898,955960
CCA,10.164.145.164,,10.100.246.14,,8443,HTTPS,219524,3827983
CCA,10.164.145.208,,10.164.105.23,,389,HTTP2-SSL,811942,763423
CCA,10.164.145.47,,10.164.105.214,,443,HTTPS,2095185,2047974
CCA,10.164.145.225,,10.164.145.68,,,HTTP2-SSL,103026,1406235
CCA,10.164.145.65,,10.100.246.165,,443,HTTP2-SSL,2103995,2166960
CCA,10.164.145.64,,10.164.105.112,,8080,HTTP2-SSL,0,0
CCA,2001:db8:2bda:f8d3:3ff1:80d2:1af0:3c73,,2001:db8:1a2b:3c4d:4d15:6c62:a8cc:6e3b,,,HTTP2-SSL,2903289,2577930
CCA,10.164.145.67,,10.100.246.167,,8080,TLS,2530047,3188728
CCA,2001:db8:2bda:f8d3:fac2:84dd:32a9:5261,,2001:db8:1a2b:3c4d:2971:4f1f:3ce2:6218,,22,TLS,2129392,3697372
CCA,10.164.145.207,,10.164.145.231,,8443,HTTPS,2705973,1202282
CCA,2001:db8:2bda:f8d3:565c:978a:ec83:c4d7,,2001:db8:1a2b:3c4d:e47c:a3af:ff26:cb58,,22,TLS,3338035,2402256
CCA,2001:db8:2bda:f8d3:84e1:f69e:c365:9e51,,2001:db8:1a2b:3c4d:c82e:27a3:1028:7c78,,389,TLS,629439,496712
CCA,10.164.145.61,,10.164.105.151,,8443,HTTPS,1387778,1998194
CCA,10.164.145.93,,10.164.105.203,,8443,HTTP2-SSL,3354408,170125
CCA,10.164.145.77,,10.164.145.24,,8443,HTTP2-SSL,3009566,2326630
CCA,10.164.145.84,,10.164.145.115,,5432,HTTP2-SSL,3699950,948072
