App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CCLTR,10.165.116.243,,10.164.116.239,,80,HTTP,0,0
CCLTR,10.165.116.159,,10.100.160.106,,443,HTTPS,348396,3267410
CCLTR,2001:db8:1a2b:3c4d:a565:cd41:28d1:41db,,2001:db8:2bda:f8d3:9767:10d7:6418:8dde,,,TCP,395831,1049192
CCLTR,10.164.116.77,,10.164.144.105,,80,HTTP,2919570,1255406
CCLTR,2001:db8:ea19:a1e1:8634:a7cd:4fa8:3870,,2001:db8:4c3a:9f21:7451:6c96:9c2b:4ca9,,,TCP,3263554,3918939
CCLTR,10.164.144.130,,10.164.116.57,,8443,HTTPS,1886398,2553577
CCLTR,10.100.246.249,,10.100.246.149,,443,TCP,3169220,2630490
CCLTR,10.164.145.253,,10.100.246.221,,80,HTTP,2776217,541199
CCLTR,10.100.160.141,,10.100.160.128,,8443,HTTPS,1860120,2897510
CCLTR,10.164.144.51,,10.164.144.248,,8443,TCP,2579187,1919350
CCLTR,2001:db8:1a2b:3c4d:935c:31d1:193c:5319,,2001:db8:1a2b:3c4d:5436:deb3:f229:c37b,,8080,HTTP,3463392,219011
CCLTR,10.164.105.176,,10.164.105.180,,80,TCP,1461103,2021849
CCLTR,10.100.246.82,,10.100.246.107,,8443,HTTPS,3206740,1783261
CCLTR,10.164.145.255,,10.100.246.45,,8080,HTTP,2685380,2357520
CCLTR,10.164.145.156,,10.164.105.51,,443,HTTPS,2782054,1803161
CCLTR,10.164.145.195,,10.100.246.103,,8081,HTTP,2136085,1570497
CCLTR,10.164.105.81,,10.100.246.86,,80,HTTP,567583,896035
CCLTR,10.100.160.151,,10.100.160.91,,8081,HTTP,3017709,418495
CCLTR,2001:db8:4c3a:9f21:da2a:5b5f:6796:4bd9,,2001:db8:2bda:f8d3:b744:7158:2550:e249,,8443,HTTPS,1764118,657977
CCLTR,2001:db8:2bda:f8d3:150b:d1d8:f882:c326,,2001:db8:1a2b:3c4d:398e:1f36:ffdb:3a38,,8080,TCP,0,0
CCLTR,10.100.160.125,,10.164.145.115,,8081,HTTP,3503783,1005835
CCLTR,10.164.144.247,,10.100.246.224,,8081,HTTP,2412010,2482724
CCLTR,10.165.116.204,,10.165.116.198,,8443,HTTPS,3064307,3442010
CCLTR,10.164.105.189,,10.164.116.186,,3306,TCP,423131,3007487
CCLTR,10.100.160.65,,10.164.145.49,,8443,HTTPS,2345462,1414850
CCLTR,10.164.145.178,,10.100.160.114,,8080,HTTP,0,0
CCLTR,10.164.116.223,,10.165.116.33,,22,TCP,0,0
CCLTR,10.100.246.75,,10.100.160.32,,8443,HTTPS,374360,3115154
CCLTR,10.100.160.251,,10.164.144.220,,443,HTTPS,1761976,1002631
CCLTR,10.100.160.155,,10.100.160.169,,389,TCP,1807677,704957
CCLTR,10.165.116.3,,10.164.105.27,,8443,HTTPS,2563934,601988
CCLTR,2001:db8:ea19:a1e1:bafa:34da:69e8:fe2a,,2001:db8:4c3a:9f21:31d2:8c69:bb88:cfe7,,443,HTTPS,0,0
CCLTR,10.100.160.169,,10.164.144.45,,,TCP,2507542,3039907
CCLTR,10.164.116.242,,10.164.116.70,,80,HTTP,502079,1405248
CCLTR,10.164.105.46,,10.164.116.94,,8080,HTTP,941407,1050597
CCLTR,10.164.144.231,,10.164.105.48,,8443,HTTPS,185566,3788056
CCLTR,10.164.144.191,,10.100.160.48,,389,TCP,152757,119549
CCLTR,10.100.246.191,,10.165.116.35,,22,TCP,862468,2344850
CCLTR,10.100.246.79,,10.100.160.191,,443,HTTPS,3838956,1948419
CCLTR,10.164.145.76,,10.165.116.227,,389,TCP,3825521,3428798
