App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CCPA,10.100.246.8,,10.164.116.213,,1521,TCP,905403,2253451
CCPA,10.164.144.163,,10.164.116.85,,1521,TCP,1203577,1982953
CCPA,10.164.105.234,,10.100.160.41,,8081,HTTP,231591,647985
CCPA,10.164.144.9,,10.100.160.154,,80,HTTP,3893894,2071830
CCPA,2001:db8:2bda:f8d3:6009:4db3:b265:293e,,2001:db8:548b:87b5:b818:f1c:58a3:2011,,443,HTTPS,2150303,1281288
CCPA,10.100.160.163,,10.164.144.58,,,TCP,3481559,3296325
CCPA,2001:db8:548b:87b5:c764:7651:3ca8:72f2,,2001:db8:ea19:a1e1:134e:2bd9:dd1a:d072,,443,HTTPS,3189119,3484745
CCPA,10.164.144.235,,10.164.145.169,,443,HTTPS,0,0
CCPA,2001:db8:2bda:f8d3:1772:2cf0:f38e:6bc3,,2001:db8:ea19:a1e1:35d0:ea43:3baa:da26,,443,HTTPS,1722780,1443875
CCPA,10.100.246.253,,10.164.145.95,,8080,HTTP,3168404,2936017
CCPA,10.164.116.3,,10.164.145.40,,,TCP,1204199,703530
CCPA,10.164.145.63,,10.100.160.38,,3306,TCP,3272094,1055108
CCPA,10.165.116.211,,10.164.105.146,,3306,TCP,3184672,1109865
CCPA,10.100.160.144,,10.164.105.82,,22,TCP,1543776,3886170
CCPA,10.100.246.40,,10.164.116.228,,,TCP,2929062,470070
CCPA,10.164.105.33,,10.100.160.134,,8443,HTTPS,1990737,1602032
CCPA,10.164.116.250,,10.164.105.160,,443,HTTPS,1056769,2563017
CCPA,10.164.116.236,,10.164.116.166,,8080,HTTP,3743517,3871054
CCPA,10.100.160.197,,10.100.246.214,,,TCP,3406224,1428434
CCPA,10.164.145.187,,10.164.116.7,,8081,HTTP,3897364,824691
CCPA,10.164.145.8,,10.164.144.200,,80,HTTP,1236195,1514802
CCPA,10.164.145.142,,10.164.105.116,,22,TCP,1915530,1924973
CCPA,10.100.160.180,,10.164.144.54,,,TCP,3061279,2099425
CCPA,2001:db8:4c3a:9f21:3766:3e35:cdba:2cac,,2001:db8:2582:6d22:a1aa:8c49:4ed9:974f,,8081,HTTP,1402800,2969145
CCPA,10.165.116.144,,10.164.145.174,,8443,HTTPS,3485324,2987839
CCPA,10.164.116.9,,10.164.144.228,,8080,HTTP,1132259,978522
CCPA,10.100.246.243,,10.164.105.143,,8443,HTTPS,2521035,3429514
CCPA,10.164.145.117,,10.164.105.121,,22,TCP,3835267,181358
CCPA,10.164.116.75,,10.100.246.164,,22,TCP,2627486,3876679
CCPA,10.164.105.230,,10.164.144.199,,,TCP,1258510,3085956
CCPA,10.164.144.126,,10.164.116.114,,443,HTTPS,1472436,1593880
CCPA,10.164.145.139,,10.100.246.163,,8080,HTTP,2636593,3804465
CCPA,10.100.160.61,,10.164.145.151,,443,HTTPS,3184889,3811001
CCPA,10.164.105.192,,10.164.145.216,,443,HTTPS,1350645,1194662
CCPA,10.164.144.215,,10.100.160.40,,8080,HTTP,3353928,3916005
CCPA,10.164.116.80,,10.165.116.227,,80,HTTP,1247360,2012364
CCPA,10.164.116.83,,10.164.105.65,,80,HTTP,619736,319880
CCPA,10.164.105.161,,10.164.145.192,,443,HTTPS,2737757,1921416
CCPA,10.164.105.17,,10.165.116.144,,8081,HTTP,0,0
CCPA,10.100.160.67,,10.100.160.254,,,TCP,686831,735730
