App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CCS,10.164.144.184,,10.164.145.182,,3306,TLS,3249296,391825
CCS,10.100.246.202,,10.164.105.79,,,SOAP,3515690,969288
CCS,2001:db8:2bda:f8d3:8ec4:6aab:aefb:4b37,,2001:db8:2bda:f8d3:39bb:ab8a:b281:738e,,443,HTTPS,1018556,3281495
CCS,10.164.144.163,,10.164.116.165,,,REST,0,0
CCS,10.164.145.212,,10.164.145.34,,443,HTTPS,2573249,251018
CCS,10.164.144.41,,10.164.105.188,,,SOAP,788617,1765899
CCS,10.100.246.144,,10.164.116.136,,5432,SOAP,770515,3601498
CCS,10.164.145.167,,10.164.145.133,,1521,REST,1994356,220869
CCS,10.100.246.207,,10.164.116.104,,5432,HTTP2-SSL,3474887,547656
CCS,10.164.144.152,,10.164.116.109,,,SOAP,0,0
CCS,10.100.246.111,,10.164.105.12,,8080,TLS,3708603,1500612
CCS,10.164.145.167,,10.164.116.234,,8080,REST,3962194,2162264
CCS,10.100.246.39,,10.164.145.54,,443,HTTPS,2697434,309832
CCS,10.164.144.227,,10.164.105.195,,,SOAP,507823,324553
CCS,10.164.145.190,,10.164.116.38,,80,TLS,0,0
CCS,2001:db8:ea19:a1e1:3464:fd00:ea21:67,,2001:db8:548b:87b5:79fc:3831:ee9a:61b5,,443,HTTPS,461109,3140069
CCS,10.100.246.139,,10.164.116.138,,8443,HTTPS,365431,3167856
CCS,10.164.145.193,,10.164.116.15,,8443,HTTPS,1913984,3583164
CCS,10.164.144.22,,10.164.116.32,,,TLS,3115162,2109789
CCS,10.100.246.96,,10.164.105.120,,,REST,2827061,285065
CCS,10.164.145.250,,10.164.116.118,,8443,HTTPS,1626872,470843
CCS,10.164.145.83,,10.164.116.191,,,TLS,2368141,711092
CCS,10.164.145.205,,10.164.145.190,,,REST,3318345,1326622
CCS,10.164.145.208,,10.164.116.184,,1521,REST,3811004,677310
CCS,10.164.145.84,,10.164.105.21,,8080,TLS,2611517,1532983
CCS,10.164.144.71,,10.164.116.105,,5432,REST,3794020,569258
CCS,10.100.246.2,,10.164.145.130,,8080,SOAP,3202573,1051194
CCS,10.164.145.166,,10.164.145.191,,,SOAP,2294128,2855204
CCS,10.164.145.208,,10.164.116.54,,22,HTTP2-SSL,753058,3599514
CCS,10.100.246.55,,10.164.145.253,,,HTTP2-SSL,3014778,1385788
CCS,10.164.144.49,,10.164.116.97,,443,HTTPS,230432,1340608
CCS,10.100.246.34,,10.164.145.129,,,REST,1869650,1599523
CCS,2001:db8:1a2b:3c4d:6343:6870:57d9:f647,,2001:db8:548b:87b5:4dc4:f59c:355c:dfff,,22,SOAP,2764304,2678671
CCS,10.164.144.163,,10.164.105.179,,8443,HTTPS,3038661,2086411
CCS,10.100.246.216,,10.164.145.179,,,REST,1693698,262200
CCS,10.164.144.129,,10.164.105.47,,443,HTTPS,3137844,3583914
CCS,10.164.145.172,,10.164.105.123,,,SOAP,244041,1454225
CCS,10.164.145.210,,10.164.145.48,,443,HTTPS,2589021,3718496
CCS,2001:db8:1a2b:3c4d:8087:d4bc:11b0:830f,,2001:db8:548b:87b5:c78:9409:b96d:c079,,389,SOAP,2159818,829467
CCS,10.164.144.148,,10.164.145.169,,8080,REST,3612202,422209
CCS,10.164.144.90,,10.164.105.192,,8443,HTTPS,866206,1037102
CCS,10.164.145.227,,10.164.145.59,,443,HTTPS,683869,653643
CCS,10.100.246.224,,10.164.145.254,,,TLS,1903439,186140
CCS,10.164.145.54,,10.164.116.214,,5432,REST,2437408,3044601
CCS,2001:db8:2bda:f8d3:7981:edf:5b8e:76fd,,2001:db8:2582:6d22:eb55:920d:81d2:31cb,,8080,HTTP2-SSL,462293,2492517
CCS,10.100.246.191,,10.164.116.134,,8080,REST,2541590,1833320
CCS,2001:db8:ea19:a1e1:6405:8e04:b393:cb2d,,2001:db8:2bda:f8d3:31d:45fc:c9c0:1379,,389,SOAP,137151,1372317
CCS,2001:db8:ea19:a1e1:36ab:eff0:cd1d:19da,,2001:db8:548b:87b5:7989:d78e:a9fe:494e,,8080,REST,1726792,2419586
CCS,10.164.144.65,,10.164.145.74,,8443,HTTPS,2253291,404464
CCS,10.164.145.185,,10.164.116.115,,5432,TLS,279972,3751849
CCS,10.164.144.191,,10.164.116.200,,8443,REST,3239891,3906364
CCS,10.100.246.80,,10.164.105.123,,22,SOAP,3342612,414805
CCS,2001:db8:ea19:a1e1:a3a:1171:a432:cc60,,2001:db8:2582:6d22:64ad:2b39:4702:fe75,,3306,REST,1372958,3607799
CCS,10.164.145.249,,10.164.105.197,,8080,SOAP,0,0
CCS,10.164.145.32,,10.164.116.128,,,TLS,3768973,1311931
CCS,10.164.145.97,,10.164.145.178,,3306,TLS,2271272,2935769
CCS,10.164.145.96,,10.164.116.71,,3306,TLS,3088949,2376567
CCS,10.164.145.88,,10.164.116.60,,8443,TLS,2608744,3413269
CCS,10.100.246.191,,10.164.105.125,,1521,REST,2483159,2025517
CCS,2001:db8:1a2b:3c4d:64a0:f44b:fbde:beb5,,2001:db8:2bda:f8d3:6ba5:7136:9144:a442,,5432,TLS,2734495,2153361
CCS,10.164.145.61,,10.164.105.71,,80,HTTP2-SSL,0,0
CCS,2001:db8:1a2b:3c4d:c8ab:bf0d:209e:bc46,,2001:db8:548b:87b5:3473:d9d3:6c5b:59a,,443,SOAP,1516021,2718755
CCS,10.164.144.112,,10.164.145.136,,8443,SOAP,736288,196276
CCS,10.164.144.196,,10.164.145.104,,8080,SOAP,482427,2495955
CCS,10.164.145.63,,10.164.105.48,,,HTTP2-SSL,1026829,1115124
CCS,10.164.144.143,,10.164.145.54,,443,HTTPS,2915055,1393918
CCS,10.164.145.109,,10.164.105.118,,443,HTTPS,1813518,3088127
CCS,10.164.145.194,,10.164.116.11,,,SOAP,960372,3798563
CCS,10.100.246.164,,10.164.105.10,,5432,REST,3615745,1954677
CCS,10.100.246.193,,10.164.145.86,,3306,REST,1581702,1799122
CCS,10.164.144.240,,10.164.105.12,,443,SOAP,1996856,3090830
CCS,10.164.145.195,,10.164.105.10,,22,REST,0,0
CCS,10.164.144.187,,10.164.105.133,,8443,REST,3680454,2555742
CCS,10.164.144.195,,10.164.145.186,,443,HTTPS,477372,3065811
CCS,2001:db8:1a2b:3c4d:4019:a1f6:cd1:1081,,2001:db8:2582:6d22:ee98:36b7:8677:98c,,8080,REST,3700811,1928270
CCS,10.164.144.159,,10.164.105.85,,443,SOAP,2704430,318718
CCS,10.100.246.147,,10.164.145.240,,,REST,1090884,172065
CCS,10.100.246.34,,10.164.145.51,,,TLS,849650,2339562
CCS,10.164.145.91,,10.164.116.78,,,SOAP,0,0
CCS,10.164.145.10,,10.164.116.29,,80,REST,2067409,753931
