App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CDSA,10.100.246.142,,10.164.105.236,,443,TCP,3092341,1141088
CDSA,10.164.144.193,,10.164.144.69,,389,TCP,3450569,2155026
CDSA,10.165.116.206,,10.100.160.238,,8443,HTTPS,3398336,2639723
CDSA,10.164.116.128,,10.100.246.208,,22,TCP,0,0
CDSA,2001:db8:548b:87b5:6993:e611:e777:5ef5,,2001:db8:1a2b:3c4d:4cad:3598:603d:e161,,8443,TCP,3247034,167283
CDSA,10.100.246.230,,10.164.145.71,,8443,HTTPS,1762457,1125472
CDSA,10.164.116.249,,10.164.105.204,,8081,HTTP,2051209,1658465
CDSA,10.164.116.125,,10.164.144.74,,443,HTTPS,0,0
CDSA,10.164.116.221,,10.100.160.39,,8443,HTTPS,1588031,3543918
CDSA,10.100.246.245,,10.100.246.34,,8080,HTTP,911511,1401667
CDSA,10.164.144.138,,10.164.145.30,,389,TCP,1657204,201249
CDSA,10.165.116.177,,10.164.116.167,,8080,HTTP,313558,3460576
CDSA,2001:db8:2582:6d22:a29c:c64f:b8f8:9cba,,2001:db8:1a2b:3c4d:3242:f61c:ea3d:19b2,,8443,HTTPS,1256620,1754231
CDSA,2001:db8:ea19:a1e1:e217:34c6:d36f:a1c9,,2001:db8:2bda:f8d3:c979:a0e1:7b8f:e7cf,,8080,TCP,3978983,2921138
CDSA,2001:db8:2582:6d22:fabd:c4aa:ba59:16c5,,2001:db8:1a2b:3c4d:86d6:6946:5397:abdf,,8443,HTTPS,3481401,2590788
CDSA,10.100.246.222,,10.164.144.247,,8080,HTTP,2234208,1360677
CDSA,10.164.116.153,,10.164.144.131,,,TCP,2427897,1037952
CDSA,10.164.145.78,,10.164.116.50,,8443,HTTPS,1830758,3214369
CDSA,10.164.105.124,,10.164.144.83,,8443,HTTPS,0,0
CDSA,10.164.144.207,,10.164.116.221,,80,TCP,1499999,1653486
CDSA,10.164.116.109,,10.164.116.207,,80,HTTP,1301532,1120205
CDSA,10.164.145.167,,10.165.116.192,,443,TCP,0,0
CDSA,10.164.116.77,,10.164.144.26,,80,TCP,659869,1322316
CDSA,10.100.160.182,,10.100.246.44,,1521,TCP,0,0
CDSA,10.164.144.0,,10.165.116.98,,,TCP,3556907,2156719
CDSA,10.165.116.36,,10.100.246.145,,1521,TCP,760158,2798883
CDSA,10.164.116.114,,10.165.116.145,,3306,TCP,2889248,782860
CDSA,10.164.105.156,,10.165.116.150,,8443,HTTPS,1853091,3484660
CDSA,10.100.246.167,,10.164.105.107,,8080,TCP,0,0
CDSA,10.164.145.229,,10.164.144.64,,,TCP,1284787,3331152
CDSA,10.164.145.246,,10.100.160.222,,80,HTTP,2802436,2902924
CDSA,10.165.116.107,,10.164.105.242,,443,HTTPS,1627604,756538
CDSA,10.164.144.129,,10.164.144.199,,,TCP,2044076,2861233
CDSA,10.100.246.230,,10.164.105.68,,8081,HTTP,3066985,1871457
CDSA,10.100.246.94,,10.165.116.3,,,TCP,1843995,490977
CDSA,10.164.145.71,,10.164.144.122,,8443,HTTPS,1265438,3905520
CDSA,10.164.144.4,,10.100.246.184,,8443,HTTPS,3456318,2678980
CDSA,2001:db8:2582:6d22:3608:24da:33a3:7a74,,2001:db8:1a2b:3c4d:9cba:beda:ed34:3b0f,,8081,HTTP,3456615,265361
CDSA,10.165.116.233,,10.164.105.22,,8080,HTTP,175140,1808492
CDSA,10.164.144.213,,10.164.116.237,,443,HTTPS,3971718,1421958
CDSA,10.164.105.19,,10.164.105.117,,8443,HTTPS,0,0
CDSA,10.164.145.230,,10.100.246.122,,80,HTTP,1903595,300335
CDSA,10.164.105.213,,10.165.116.8,,8443,HTTPS,3325003,2617609
CDSA,10.165.116.147,,10.164.145.59,,,TCP,1731695,2451975
CDSA,10.100.160.7,,10.164.145.219,,8443,TCP,0,0
CDSA,10.100.160.86,,10.164.105.149,,8443,HTTPS,1843050,778896
CDSA,10.164.145.49,,10.164.105.147,,8081,HTTP,3000602,2401333
CDSA,2001:db8:2bda:f8d3:f41e:2e7c:da:1e3f,,2001:db8:1a2b:3c4d:f713:a7f8:4522:11a8,,,TCP,1515702,609352
CDSA,10.165.116.62,,10.164.116.246,,8443,HTTPS,3394613,449251
CDSA,2001:db8:2bda:f8d3:c438:4a7e:cb16:5a76,,2001:db8:2582:6d22:103d:24cf:fdfb:c585,,389,TCP,3519271,2992097
CDSA,10.100.246.179,,10.100.160.15,,8080,HTTP,3424679,3274066
CDSA,10.100.246.206,,10.100.246.108,,22,TCP,3344140,2559348
CDSA,2001:db8:2bda:f8d3:c7e0:3fad:e9b2:af2e,,2001:db8:2bda:f8d3:c555:b4b5:8eb5:8d5c,,8080,HTTP,2794955,1647156
CDSA,2001:db8:2582:6d22:9229:13f1:f3:e866,,2001:db8:2bda:f8d3:dcac:7b04:50ae:fe0d,,443,TCP,2594136,2283194
CDSA,2001:db8:2bda:f8d3:a359:3aec:d5d1:6ae2,,2001:db8:2582:6d22:6cf6:c879:d279:60a4,,,TCP,330321,1359151
CDSA,10.100.160.194,,10.164.105.78,,8080,HTTP,3664055,1828178
CDSA,10.164.105.255,,10.164.144.157,,8443,HTTPS,0,0
CDSA,10.164.145.47,,10.100.160.70,,443,HTTPS,0,0
CDSA,10.164.105.63,,10.164.105.93,,443,HTTPS,0,0
CDSA,2001:db8:548b:87b5:4c2b:fa96:a86c:1d88,,2001:db8:1a2b:3c4d:a6d:c4ac:ee48:1499,,80,HTTP,2859422,1497821
