App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CIRA,2001:db8:ea19:a1e1:ae2:e88e:7a1b:2bb4,,2001:db8:4c3a:9f21:5c72:e5ca:cf3b:6e13,,443,HTTPS,1208480,766084
CIRA,10.100.246.41,,10.164.145.171,,443,TCP,0,0
CIRA,10.100.160.86,,10.164.145.122,,80,HTTP,2958045,2293516
CIRA,10.100.160.96,,10.100.246.252,,443,HTTPS,349022,1902389
CIRA,10.164.145.149,,10.100.246.176,,5432,TCP,3919946,2525698
CIRA,10.100.246.215,,10.164.144.130,,8443,HTTPS,106092,580712
CIRA,10.164.105.65,,10.100.160.94,,443,HTTPS,2914477,1143459
CIRA,2001:db8:2bda:f8d3:bb33:5cf7:beb:a1de,,2001:db8:2bda:f8d3:650c:4a03:af1f:1779,,443,TCP,2509941,111818
CIRA,10.100.246.7,,10.100.160.211,,22,TCP,705589,716510
CIRA,10.100.246.166,,10.164.105.210,,8081,HTTP,2276281,2953445
CIRA,10.100.246.74,,10.100.160.105,,8080,HTTP,888532,3748839
CIRA,10.164.145.250,,10.164.116.140,,80,HTTP,1157431,112823
CIRA,10.100.246.30,,10.100.246.234,,8443,HTTPS,954966,1833943
CIRA,10.164.105.90,,10.164.105.218,,389,TCP,373867,2559894
CIRA,10.164.145.102,,10.164.116.141,,8080,HTTP,1230950,773010
CIRA,10.164.145.120,,10.164.144.248,,80,HTTP,2414192,2237827
CIRA,2001:db8:548b:87b5:85a3:a473:5eee:fb7f,,2001:db8:2bda:f8d3:194d:397d:b09d:cd19,,8443,HTTPS,0,0
CIRA,10.164.144.144,,10.164.145.129,,,TCP,2903669,2431857
CIRA,10.165.116.254,,10.164.145.1,,,TCP,1473117,3323293
CIRA,10.165.116.0,,10.164.105.246,,1521,TCP,3123593,3305128
CIRA,10.164.105.102,,10.165.116.205,,8443,HTTPS,503030,1693506
CIRA,10.164.145.23,,10.164.105.172,,8080,HTTP,3283168,1111528
CIRA,10.164.116.8,,10.165.116.39,,8080,TCP,1070161,1822748
CIRA,10.164.116.37,,10.165.116.52,,8443,HTTPS,3113317,669256
CIRA,10.164.105.18,,10.164.144.131,,,TCP,1816049,604480
CIRA,10.164.116.47,,10.164.145.174,,443,TCP,3478158,1149904
CIRA,10.100.160.123,,10.100.246.22,,8081,HTTP,1262164,2369433
CIRA,10.100.160.250,,10.164.144.110,,8080,HTTP,519822,472077
CIRA,10.165.116.0,,10.164.105.218,,8443,HTTPS,1596945,3259684
CIRA,10.164.144.49,,10.100.160.10,,8443,HTTPS,907590,821706
CIRA,10.164.144.91,,10.100.160.100,,1521,TCP,2032966,357006
CIRA,10.164.145.60,,10.164.144.104,,8081,HTTP,3273365,3791685
CIRA,10.164.116.32,,10.164.145.81,,8080,HTTP,131972,818799
CIRA,10.100.160.215,,10.100.246.55,,,TCP,988291,407077
CIRA,2001:db8:2bda:f8d3:2a8b:5fc8:d006:862a,,2001:db8:2bda:f8d3:913a:27af:a917:9e02,,8080,HTTP,821986,2662504
CIRA,10.164.105.109,,10.164.105.10,,5432,TCP,3340343,2345830
