App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CLSP,10.100.246.27,,10.164.144.117,,8081,HTTP,2510420,2455101
CLSP,10.164.144.27,,10.164.144.92,,443,HTTPS,1508658,1012895
CLSP,10.100.246.42,,10.164.144.173,,8080,HTTP,1595301,2192827
CLSP,10.100.246.251,,10.164.145.105,,443,HTTPS,874899,2972461
CLSP,10.100.246.164,,10.164.144.235,,8443,HTTPS,0,0
CLSP,2001:db8:1a2b:3c4d:1569:641:7c4:d918,,2001:db8:ea19:a1e1:1927:9b44:ce2c:f16b,,80,HTTP2-SSL,1128202,2282002
CLSP,10.164.144.149,,10.164.145.133,,443,HTTPS,2789147,1420520
CLSP,10.100.246.251,,10.164.145.39,,443,HTTPS,1712058,2903088
CLSP,2001:db8:1a2b:3c4d:81d4:2b2f:a56:8d1c,,2001:db8:2bda:f8d3:6b8:68bd:77a1:cf7d,,80,HTTP,1595909,1830174
CLSP,10.100.246.140,,10.164.145.76,,443,HTTP-TUNNEL/HTTPS,1489024,2532131
CLSP,10.100.246.189,,10.164.145.25,,8080,HTTP2-SSL,2919380,2374229
CLSP,10.100.246.27,,10.164.145.208,,443,HTTPS,2220434,3325400
CLSP,10.164.144.8,,10.164.145.94,,443,HTTPS,754643,1923279
CLSP,10.100.246.63,,10.164.145.2,,1521,HTTP2-SSL,1244258,3096287
CLSP,10.100.246.193,,10.164.144.96,,8080,HTTP,1623232,1815974
CLSP,2001:db8:ea19:a1e1:ad8b:dd9:9e7b:adb8,,2001:db8:2bda:f8d3:bb05:70e4:aabf:222f,,80,HTTP-TUNNEL/HTTPS,1518025,2560767
CLSP,2001:db8:ea19:a1e1:1aa5:d4e2:36c0:77aa,,2001:db8:2bda:f8d3:c73e:54ab:f5f5:431f,,8080,HTTP,671038,2436550
CLSP,10.100.246.181,,10.164.144.191,,,HTTP2-SSL,677499,1582611
CLSP,10.164.144.174,,10.164.145.95,,80,HTTP2-SSL,854866,2770618
CLSP,10.100.246.11,,10.164.145.115,,8080,HTTP,1512686,3132411
CLSP,10.100.246.68,,10.164.145.238,,8081,HTTP,1925765,957458
CLSP,10.100.246.104,,10.164.144.110,,8443,HTTPS,1315074,3007095
CLSP,10.164.144.202,,10.164.144.113,,443,HTTPS,877729,1196675
CLSP,10.100.246.24,,10.164.144.101,,443,HTTPS,1330430,2866034
CLSP,10.100.246.20,,10.164.144.208,,8081,HTTP,822292,1151756
CLSP,10.164.144.167,,10.164.145.199,,8080,HTTP,2600018,2507910
CLSP,10.164.144.5,,10.164.144.94,,443,HTTPS,623305,3258240
CLSP,10.100.246.6,,10.164.144.125,,22,HTTP-TUNNEL/HTTPS,1606822,3858742
CLSP,10.100.246.1,,10.164.145.109,,3306,HTTP-TUNNEL/HTTPS,0,0
CLSP,10.100.246.55,,10.164.145.149,,443,HTTPS,2165147,3022513
CLSP,10.164.144.208,,10.164.144.99,,443,HTTPS,1404231,3344131
CLSP,2001:db8:1a2b:3c4d:55cf:185a:4667:b057,,2001:db8:2bda:f8d3:13a5:893a:6b13:ad0a,,,HTTP2-SSL,1732908,1345479
CLSP,10.164.144.187,,10.164.144.10,,5432,HTTP2-SSL,2297970,2626079
CLSP,10.164.144.59,,10.164.144.65,,,HTTP-TUNNEL/HTTPS,575366,976825
CLSP,10.100.246.184,,10.164.144.199,,,HTTP-TUNNEL/HTTPS,0,0
CLSP,10.100.246.164,,10.164.144.108,,80,HTTP,1416891,1865466
CLSP,10.100.246.223,,10.164.144.55,,22,HTTP-TUNNEL/HTTPS,2280371,3154560
CLSP,2001:db8:1a2b:3c4d:1da6:f0f0:a53:d7c4,,2001:db8:2bda:f8d3:57b5:3de2:31ae:84be,,8443,HTTPS,2808076,3889768
CLSP,2001:db8:1a2b:3c4d:a527:9af5:3bd6:df9b,,2001:db8:ea19:a1e1:b94e:b6f8:9d50:6e83,,80,HTTP,2054253,2693870
CLSP,2001:db8:1a2b:3c4d:ef59:a4b5:2e89:15e,,2001:db8:2bda:f8d3:fed0:24cb:b6f3:7bd4,,8080,HTTP2-SSL,2189696,3971811
CLSP,10.164.144.192,,10.164.145.151,,389,HTTP-TUNNEL/HTTPS,1739616,1408933
CLSP,10.100.246.75,,10.164.144.169,,8080,HTTP,589226,2898990
CLSP,10.100.246.97,,10.164.144.55,,443,HTTPS,1734935,1392622
CLSP,10.164.144.208,,10.164.144.11,,443,HTTP-TUNNEL/HTTPS,2417558,2551976
CLSP,2001:db8:1a2b:3c4d:3745:abe5:bfd0:96b4,,2001:db8:ea19:a1e1:386b:f5fc:9b52:ba4d,,389,HTTP2-SSL,1081007,3556744
CLSP,10.100.246.176,,10.164.144.208,,80,HTTP,2875099,3358554
CLSP,2001:db8:1a2b:3c4d:c35a:dde3:972b:cd8d,,2001:db8:2bda:f8d3:ad32:a7c6:8b64:612c,,443,HTTP-TUNNEL/HTTPS,2809442,2404043
CLSP,10.164.144.110,,10.164.144.7,,,HTTP-TUNNEL/HTTPS,912102,3618621
CLSP,10.100.246.172,,10.164.145.61,,,HTTP2-SSL,1620076,2472145
CLSP,10.100.246.20,,10.164.145.15,,8443,HTTPS,0,0
CLSP,10.100.246.199,,10.164.145.32,,80,HTTP,2123981,2913506
CLSP,2001:db8:1a2b:3c4d:686:34e7:dabd:385c,,2001:db8:2bda:f8d3:10f3:f41f:f202:876,,8081,HTTP,1671247,1135982
CLSP,10.164.144.27,,10.164.145.232,,,HTTP-TUNNEL/HTTPS,2688620,1621662
CLSP,10.164.144.73,,10.164.145.25,,1521,HTTP2-SSL,1632971,870539
CLSP,10.164.144.200,,10.164.145.83,,8081,HTTP,2383347,1386072
CLSP,10.100.246.70,,10.164.144.176,,8081,HTTP,886167,3928376
CLSP,10.100.246.24,,10.164.145.82,,8080,HTTP,595357,2466308
CLSP,10.100.246.99,,10.164.144.101,,8443,HTTPS,1473552,1174076
CLSP,10.100.246.87,,10.164.145.103,,,HTTP2-SSL,2183225,1255976
CLSP,10.100.246.104,,10.164.144.84,,80,HTTP,1185277,801948
CLSP,10.100.246.162,,10.164.144.67,,3306,HTTP-TUNNEL/HTTPS,2076979,1308618
