App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CMAR,2001:db8:1a2b:3c4d:4e9d:fdb6:4bf6:6063,,2001:db8:2582:6d22:52b1:9d01:942c:aa0c,,,HTTP2-SSL,0,0
CMAR,10.164.145.145,,10.164.105.27,,1521,HTTP2-SSL,3589662,526206
CMAR,10.164.144.255,,10.164.105.87,,8080,HTTP2-SSL,2780422,487002
CMAR,10.100.246.93,,10.164.116.52,,5432,HTTP2-SSL,819824,2501322
CMAR,10.164.145.224,,10.164.116.119,,,REST,1071521,3768897
CMAR,10.164.144.90,,10.164.116.163,,8443,REST,2500925,3246865
CMAR,10.164.145.219,,10.164.116.206,,8443,HTTPS,0,0
CMAR,10.164.145.207,,10.164.145.75,,8443,HTTPS,3306696,109443
CMAR,2001:db8:1a2b:3c4d:5db4:d496:a8d8:9b3d,,2001:db8:2bda:f8d3:afce:af1a:1ada:c950,,443,REST,2292939,2831757
CMAR,10.100.246.167,,10.164.145.203,,,REST,265401,2438435
CMAR,10.164.145.220,,10.164.145.147,,,SOAP,764113,632148
CMAR,2001:db8:2bda:f8d3:8ad3:3b1:d77d:d689,,2001:db8:2bda:f8d3:b100:314:b77c:ff4c,,,SOAP,2819463,645209
CMAR,10.100.246.33,,10.164.116.43,,389,TLS,2228755,2020510
CMAR,10.164.144.225,,10.164.116.46,,,TLS,1086839,3854724
CMAR,10.164.145.95,,10.164.145.13,,5432,SOAP,3372597,427121
CMAR,2001:db8:1a2b:3c4d:761e:b3ac:f92d:f31d,,2001:db8:2582:6d22:883e:153f:9c45:4443,,5432,REST,2221502,2185517
CMAR,10.164.144.100,,10.164.105.252,,8443,HTTPS,0,0
CMAR,10.100.246.121,,10.164.116.188,,8443,HTTPS,3803656,225400
CMAR,10.164.145.169,,10.164.105.233,,443,SOAP,804306,1272715
CMAR,10.100.246.191,,10.164.105.137,,389,TLS,1749088,2032256
CMAR,10.164.145.150,,10.164.116.95,,8080,HTTP2-SSL,2966914,2334318
CMAR,10.164.145.99,,10.164.145.52,,1521,TLS,433895,2970872
CMAR,10.100.246.247,,10.164.105.91,,8080,TLS,1793036,2570966
CMAR,10.164.145.189,,10.164.116.52,,,HTTP2-SSL,2215947,545479
CMAR,10.164.145.250,,10.164.145.134,,,REST,0,0
CMAR,10.164.145.147,,10.164.116.133,,1521,HTTP2-SSL,2734558,2713807
CMAR,10.100.246.38,,10.164.116.57,,8080,REST,296670,935286
CMAR,10.100.246.137,,10.164.145.19,,8443,HTTPS,981583,1754781
CMAR,10.164.145.167,,10.164.145.167,,8080,HTTP2-SSL,1635577,2697866
CMAR,10.164.145.49,,10.164.116.121,,3306,REST,292066,167346
CMAR,10.164.144.55,,10.164.116.145,,443,HTTPS,3356179,1584194
CMAR,10.100.246.242,,10.164.145.30,,,SOAP,652114,3278295
CMAR,10.164.144.178,,10.164.145.205,,,HTTP2-SSL,1487866,2437932
CMAR,10.164.145.29,,10.164.105.166,,22,SOAP,2360372,1954727
CMAR,10.164.144.172,,10.164.105.172,,3306,TLS,3173954,2567598
CMAR,10.164.145.147,,10.164.116.91,,443,SOAP,448034,3507527
CMAR,10.164.144.3,,10.164.145.20,,443,HTTPS,3462244,1386985
CMAR,10.100.246.37,,10.164.145.121,,443,HTTP2-SSL,3452557,1467253
CMAR,2001:db8:ea19:a1e1:7b03:f61b:5705:a33e,,2001:db8:548b:87b5:48ae:4aba:19b1:cec8,,,TLS,2301136,2687502
CMAR,10.100.246.73,,10.164.105.255,,22,HTTP2-SSL,3117217,1327539
CMAR,2001:db8:ea19:a1e1:eb53:6282:2aee:f929,,2001:db8:2bda:f8d3:d0fc:b577:cec7:5674,,443,HTTP2-SSL,629721,939620
CMAR,10.100.246.156,,10.164.145.47,,8443,HTTPS,3196639,134036
CMAR,10.164.145.250,,10.164.105.81,,,HTTP2-SSL,0,0
CMAR,10.164.145.44,,10.164.105.233,,,HTTP2-SSL,3874251,1568374
CMAR,10.100.246.136,,10.164.105.247,,80,HTTP2-SSL,1464970,697460
CMAR,10.100.246.232,,10.164.116.195,,443,SOAP,1746245,322702
CMAR,10.164.145.240,,10.164.145.89,,8443,HTTPS,2983512,1002062
CMAR,10.100.246.95,,10.164.145.14,,8080,TLS,2518637,2477644
CMAR,10.164.145.51,,10.164.145.218,,443,TLS,2785854,1371706
CMAR,10.164.144.166,,10.164.145.186,,,HTTP2-SSL,3689061,3851895
CMAR,10.164.145.213,,10.164.105.62,,,REST,2042077,3191684
CMAR,10.164.144.148,,10.164.105.126,,8443,HTTPS,1194872,3729889
CMAR,10.164.145.59,,10.164.116.92,,22,REST,111274,883473
CMAR,10.164.144.169,,10.164.145.126,,389,SOAP,3919599,2187508
CMAR,10.100.246.70,,10.164.105.124,,443,HTTP2-SSL,665041,3427062
CMAR,10.100.246.96,,10.164.145.88,,443,HTTPS,1212797,3291851
CMAR,10.100.246.224,,10.164.105.178,,3306,HTTP2-SSL,2899059,2257275
CMAR,10.100.246.31,,10.164.105.20,,1521,HTTP2-SSL,1091060,3969432
CMAR,2001:db8:1a2b:3c4d:1c06:efa6:521b:a1e4,,2001:db8:2582:6d22:17f4:2764:de1a:8a8e,,8080,HTTP2-SSL,3368287,3987540
