App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CNET,10.100.160.29,,10.164.145.244,,80,HTTP,3023391,3995452
CNET,10.164.105.36,,10.164.144.242,,80,TCP,1052397,3591858
CNET,10.165.116.202,,10.100.246.106,,8080,HTTP,1142506,1822976
CNET,10.164.144.133,,10.165.116.167,,8081,HTTP,334089,1689569
CNET,2001:db8:4c3a:9f21:9288:cbf5:a6bd:63a4,,2001:db8:2bda:f8d3:22c9:7943:ce97:2144,,8443,HTTPS,850476,296957
CNET,10.164.116.140,,10.100.160.222,,8080,HTTP,1821595,309725
CNET,10.164.145.159,,10.164.144.161,,8080,HTTP,2155331,3272010
CNET,10.164.144.230,,10.165.116.157,,80,HTTP,906512,3376839
CNET,10.164.116.124,,10.164.145.189,,8080,HTTP,3773730,1699122
CNET,10.164.145.214,,10.100.246.172,,8443,HTTPS,327299,554657
CNET,10.165.116.117,,10.164.105.27,,5432,TCP,772196,3688543
CNET,10.164.105.231,,10.164.145.219,,8081,HTTP,2854165,2087883
CNET,2001:db8:548b:87b5:63e0:7207:113c:b009,,2001:db8:4c3a:9f21:143d:9bff:1a89:383c,,8081,HTTP,519072,487134
CNET,10.165.116.128,,10.100.246.198,,389,TCP,162973,554443
CNET,10.164.116.253,,10.164.116.65,,,TCP,825149,2523634
CNET,10.164.116.6,,10.100.246.139,,80,HTTP,3112677,1813577
CNET,10.100.160.217,,10.100.246.38,,,TCP,0,0
CNET,10.164.145.245,,10.100.160.175,,5432,TCP,3733938,3256461
CNET,10.164.105.86,,10.100.246.188,,8081,HTTP,833283,1399239
CNET,10.100.160.119,,10.100.246.166,,8080,HTTP,3442507,3255884
CNET,10.164.144.219,,10.100.160.130,,8081,HTTP,1641101,1296244
CNET,10.164.145.100,,10.100.246.39,,8443,TCP,746609,3090225
CNET,10.165.116.251,,10.165.116.43,,8080,HTTP,3879782,3344519
CNET,10.100.160.85,,10.164.105.250,,389,TCP,2360293,1691767
CNET,10.164.116.6,,10.164.105.31,,5432,TCP,0,0
CNET,10.100.160.16,,10.164.145.197,,443,HTTPS,1463147,3116487
CNET,10.164.105.117,,10.165.116.169,,,TCP,149556,250004
CNET,10.100.246.53,,10.100.160.35,,8443,HTTPS,1947765,2088815
CNET,10.164.144.217,,10.100.246.176,,1521,TCP,3945294,2910292
CNET,10.164.116.107,,10.164.144.185,,443,HTTPS,2092761,2628189
CNET,10.100.246.54,,10.165.116.7,,8443,HTTPS,1110506,2799661
CNET,2001:db8:2582:6d22:a93b:ea35:8332:b29b,,2001:db8:4c3a:9f21:944b:ad04:9161:cc6c,,443,HTTPS,3811116,3819193
CNET,10.164.105.246,,10.164.105.68,,80,HTTP,1250249,3622148
CNET,2001:db8:2582:6d22:cf6a:d43f:953:6c4a,,2001:db8:2bda:f8d3:2cce:bc86:40ac:9243,,,TCP,3588157,2435166
CNET,10.164.145.120,,10.165.116.121,,443,HTTPS,733121,572822
CNET,10.164.116.200,,10.164.144.80,,443,HTTPS,823108,2268795
CNET,10.100.160.108,,10.165.116.85,,443,TCP,162507,876425
CNET,10.164.144.197,,10.164.144.236,,8080,HTTP,580727,290042
CNET,10.100.160.246,,10.165.116.197,,443,TCP,3530227,1339298
CNET,10.164.144.31,,10.164.105.120,,8443,HTTPS,3994646,1439344
CNET,10.164.144.24,,10.165.116.247,,8080,HTTP,3384300,3250237
CNET,10.164.145.161,,10.164.145.158,,8081,HTTP,1427045,3589902
CNET,2001:db8:ea19:a1e1:e5:ebaf:2eb0:6b1e,,2001:db8:2bda:f8d3:d0c9:dfc1:d13f:2495,,8081,HTTP,2567619,1690435
CNET,2001:db8:ea19:a1e1:6f97:e80c:bcb:b729,,2001:db8:2bda:f8d3:6c0d:8d97:63d2:b7c6,,5432,TCP,3942569,1655954
CNET,2001:db8:ea19:a1e1:8aa9:d39a:726f:f6fd,,2001:db8:2bda:f8d3:782c:cfec:9e5d:78a1,,443,HTTPS,1640501,3342220
CNET,10.164.116.103,,10.165.116.150,,443,HTTPS,1685114,2340999
CNET,10.164.116.198,,10.164.145.235,,389,TCP,1918017,2440547
