App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CP,10.164.145.241,,10.164.105.248,,80,HTTP2-SSL,1656068,3467400
CP,10.164.145.39,,10.100.246.232,,8443,TLS,630597,193436
CP,2001:db8:2bda:f8d3:fcfe:6e3:c395:899e,,2001:db8:2bda:f8d3:6150:e216:2fd0:49b1,,,TLS,0,0
CP,10.164.145.188,,10.164.145.71,,8443,HTTPS,1615011,1507668
CP,10.164.145.235,,10.164.105.249,,443,TLS,2914227,3237143
CP,10.164.145.94,,10.164.145.38,,443,HTTPS,1275792,485465
CP,10.164.145.223,,10.164.105.136,,443,HTTPS,691033,2629830
CP,10.164.145.38,,10.164.145.230,,8443,HTTPS,3124118,3167761
CP,10.164.145.177,,10.164.105.150,,80,TLS,1437817,1925015
CP,2001:db8:2bda:f8d3:5dfe:c77c:dea0:f4f1,,2001:db8:2bda:f8d3:cbe:735d:bbfc:3897,,3306,HTTP2-SSL,1819701,1253890
CP,10.164.145.69,,10.164.105.142,,,TLS,2210148,783482
CP,10.164.145.143,,10.164.145.2,,443,HTTPS,2136228,2281753
CP,10.164.145.93,,10.164.145.82,,22,HTTP2-SSL,1108186,477862
CP,10.164.145.191,,10.100.246.3,,3306,TLS,2459120,2790563
CP,10.164.145.59,,10.164.105.190,,443,HTTPS,3639323,2045409
CP,2001:db8:2bda:f8d3:50a2:c011:160f:79f3,,2001:db8:2bda:f8d3:22db:a981:91cb:87c7,,443,HTTPS,2039343,397292
CP,10.164.145.7,,10.164.145.2,,443,TLS,3779480,2214684
CP,10.164.145.167,,10.164.145.150,,443,HTTPS,3444742,2480212
CP,10.164.145.109,,10.164.145.211,,1521,TLS,1270330,2080623
CP,10.164.145.45,,10.164.145.72,,1521,TLS,0,0
CP,10.164.145.36,,10.164.145.18,,8080,TLS,1575535,3349256
CP,10.164.145.93,,10.164.105.35,,,TLS,994794,3797902
CP,10.164.145.131,,10.100.246.123,,,TLS,734950,1864446
CP,10.164.145.222,,10.100.246.19,,8443,HTTP2-SSL,2567450,2398284
