App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CRECL,10.164.144.23,,10.100.160.182,,,TCP,0,0
CRECL,10.164.105.23,,10.100.160.18,,,TCP,2129392,3691728
CRECL,10.164.144.95,,10.164.105.163,,8081,HTTP,3651241,917333
CRECL,2001:db8:548b:87b5:b1b2:5b70:a0a6:e38e,,2001:db8:2bda:f8d3:fe53:a7e:7e8f:7fe9,,8443,TCP,1685796,2710678
CRECL,10.165.116.200,,10.100.246.90,,443,HTTPS,2620495,2804803
CRECL,10.100.246.126,,10.164.116.176,,,TCP,2681049,1577438
CRECL,10.100.160.120,,10.164.145.75,,22,TCP,1051433,3033120
CRECL,10.165.116.89,,10.165.116.0,,8080,HTTP,3677171,2086763
CRECL,10.100.246.113,,10.100.246.181,,5432,TCP,1890219,465355
CRECL,10.164.116.46,,10.164.116.25,,8443,HTTPS,291099,2245179
CRECL,10.100.246.81,,10.164.144.102,,80,HTTP,513853,159389
CRECL,10.164.144.113,,10.164.105.93,,443,HTTPS,3703033,2167771
CRECL,10.164.116.134,,10.100.160.132,,8080,HTTP,940136,1460262
CRECL,10.164.145.110,,10.164.145.78,,,TCP,3957260,3086641
CRECL,10.100.246.149,,10.165.116.129,,8080,TCP,3108804,3521238
CRECL,10.100.246.91,,10.164.145.181,,80,HTTP,1681365,867727
CRECL,10.164.105.190,,10.164.145.25,,80,HTTP,3594342,3862663
CRECL,10.100.246.125,,10.100.246.34,,443,HTTPS,2329577,332456
CRECL,10.164.116.53,,10.164.105.120,,3306,TCP,1060978,3693561
CRECL,10.164.144.165,,10.100.160.76,,,TCP,400887,1021704
CRECL,10.100.160.146,,10.164.144.204,,22,TCP,2855032,1632493
CRECL,10.164.105.243,,10.100.246.23,,8080,HTTP,0,0
CRECL,10.100.160.34,,10.100.160.188,,1521,TCP,402077,425029
CRECL,10.164.105.219,,10.164.105.139,,443,TCP,2516892,3123659
CRECL,10.165.116.230,,10.164.105.254,,80,HTTP,352489,2101355
CRECL,10.164.144.86,,10.164.105.222,,443,TCP,2712000,3735946
CRECL,2001:db8:2bda:f8d3:2650:d902:16fd:7c70,,2001:db8:2bda:f8d3:f0d8:51ad:12c3:3d13,,443,HTTPS,3253687,3105019
CRECL,10.164.116.232,,10.164.116.207,,389,TCP,0,0
CRECL,10.164.116.40,,10.164.145.94,,5432,TCP,0,0
CRECL,10.100.160.243,,10.165.116.215,,80,HTTP,3625983,2773459
CRECL,10.100.160.158,,10.165.116.103,,5432,TCP,1479152,1395061
CRECL,10.100.160.171,,10.100.160.93,,80,TCP,764963,607726
CRECL,10.164.144.178,,10.100.246.248,,8080,HTTP,1286100,2461562
CRECL,10.164.105.3,,10.164.116.25,,389,TCP,2047277,1759447
CRECL,10.100.246.254,,10.164.116.205,,8081,HTTP,1978318,2587582
CRECL,10.164.144.103,,10.164.116.197,,8080,HTTP,2996696,241661
CRECL,10.164.144.125,,10.164.116.180,,8081,HTTP,1025224,2072412
CRECL,10.164.116.218,,10.164.105.95,,8080,HTTP,431677,560995
CRECL,10.164.105.194,,10.164.145.114,,80,HTTP,307808,3013873
CRECL,10.164.144.188,,10.164.145.179,,8080,TCP,2040589,1834451
CRECL,10.164.145.160,,10.164.144.148,,8443,HTTPS,2665756,1750336
CRECL,10.100.160.126,,10.164.116.152,,8080,HTTP,3768585,3879598
CRECL,10.164.145.131,,10.164.105.37,,8081,HTTP,608820,1758939
CRECL,10.164.145.124,,10.100.246.132,,8081,HTTP,1991171,1295749
