App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CSAA,10.164.105.87,,10.164.144.74,,3306,TCP,2199267,1862145
CSAA,10.100.160.138,,10.164.145.51,,80,TCP,3850614,3288714
CSAA,2001:db8:2bda:f8d3:dc44:9179:1d7a:bd0,,2001:db8:2bda:f8d3:b19:1955:c2fd:b44a,,8080,HTTP,3871676,3671976
CSAA,10.100.160.211,,10.100.160.189,,8080,HTTP,3456923,2556205
CSAA,10.164.144.5,,10.164.145.21,,8080,HTTP,2476849,1915451
CSAA,10.164.144.114,,10.164.145.27,,3306,TCP,547264,671937
CSAA,10.100.246.170,,10.164.116.201,,8081,HTTP,3065283,2595214
CSAA,10.164.105.241,,10.100.160.1,,8443,HTTPS,3481298,430852
CSAA,10.164.144.184,,10.164.105.152,,3306,TCP,1763246,1726913
CSAA,2001:db8:4c3a:9f21:bda9:1c8a:abb6:2c94,,2001:db8:4c3a:9f21:dba4:444b:892:80fd,,1521,TCP,868025,1212007
CSAA,10.164.144.118,,10.164.105.230,,8443,HTTPS,2215752,3209873
CSAA,10.164.116.14,,10.100.246.16,,8443,HTTPS,3081125,3068922
CSAA,10.164.105.25,,10.164.116.78,,443,HTTPS,2812176,2879414
CSAA,10.164.105.238,,10.164.144.134,,,TCP,1367091,971741
CSAA,2001:db8:2bda:f8d3:f27e:ec3b:5dda:5439,,2001:db8:4c3a:9f21:6c10:56b3:47c3:c463,,80,HTTP,1980959,3252465
CSAA,10.100.246.101,,10.164.145.102,,8080,TCP,2715603,3426954
CSAA,2001:db8:2bda:f8d3:372c:ba50:1b99:3f82,,2001:db8:548b:87b5:28c:cae1:e0b8:7731,,1521,TCP,1812498,2064805
CSAA,10.164.144.219,,10.100.160.233,,80,HTTP,1935174,3689916
CSAA,10.165.116.177,,10.165.116.161,,,TCP,337672,827966
CSAA,10.164.144.88,,10.164.144.118,,8443,HTTPS,3522823,2145294
CSAA,2001:db8:548b:87b5:bf2:598c:21be:4ca5,,2001:db8:2bda:f8d3:4bc6:fdb9:8a49:7bbd,,,TCP,3453576,2539103
CSAA,10.100.246.46,,10.164.144.232,,443,HTTPS,785376,2876282
CSAA,10.164.105.224,,10.164.144.211,,8081,HTTP,3803980,2392038
CSAA,10.164.144.243,,10.100.246.253,,8080,HTTP,1836106,544054
CSAA,10.100.246.135,,10.164.145.25,,8080,HTTP,2783594,2371735
CSAA,10.164.116.240,,10.164.145.75,,8081,HTTP,3758313,368808
CSAA,10.164.144.175,,10.100.246.197,,8081,HTTP,1281734,3088909
CSAA,10.100.160.126,,10.164.145.248,,22,TCP,2505028,3327185
CSAA,10.164.144.43,,10.164.145.44,,22,TCP,2253828,276008
CSAA,10.100.160.212,,10.165.116.25,,443,HTTPS,0,0
CSAA,10.164.105.18,,10.100.160.115,,443,HTTPS,1578583,534399
CSAA,10.164.105.181,,10.100.160.91,,8443,HTTPS,3183730,3815102
CSAA,2001:db8:ea19:a1e1:f202:3981:7e02:c8c1,,2001:db8:2bda:f8d3:4128:b138:bf99:a6e3,,8080,TCP,785977,190026
CSAA,10.164.145.192,,10.164.144.90,,8081,HTTP,1444285,2973514
CSAA,10.100.160.98,,10.164.116.99,,443,HTTPS,3003951,2363156
CSAA,10.164.105.154,,10.164.105.226,,389,TCP,2193359,2233116
CSAA,10.164.144.237,,10.164.105.10,,3306,TCP,2674672,2965198
CSAA,10.164.105.160,,10.164.144.97,,8443,HTTPS,2183877,1179524
CSAA,10.164.116.107,,10.164.116.81,,8443,HTTPS,1836923,1077991
CSAA,10.164.116.163,,10.164.116.87,,,TCP,0,0
CSAA,2001:db8:2582:6d22:156e:57f8:8af0:cf0c,,2001:db8:548b:87b5:9ac6:2e25:cf3c:c829,,8080,TCP,732959,2585247
CSAA,2001:db8:1a2b:3c4d:37e6:daaf:6917:5c82,,2001:db8:1a2b:3c4d:9766:cd43:26d1:8922,,8081,HTTP,3040758,2539263
CSAA,10.164.116.78,,10.100.160.209,,,TCP,3131306,1344277
CSAA,10.164.144.193,,10.164.116.38,,8081,HTTP,1187201,2715158
CSAA,10.165.116.49,,10.164.105.99,,,TCP,1035477,2846016
CSAA,10.164.144.114,,10.164.105.80,,,TCP,451096,841469
CSAA,2001:db8:1a2b:3c4d:1386:64e3:c838:6cbc,,2001:db8:2bda:f8d3:b613:1739:1cd6:cf0d,,443,HTTPS,3747912,1926368
CSAA,10.164.116.4,,10.164.105.53,,443,HTTPS,2326497,1470348
CSAA,10.164.116.156,,10.164.105.68,,443,HTTPS,278594,3432846
CSAA,10.165.116.226,,10.164.116.245,,,TCP,2284313,1472763
CSAA,10.100.160.144,,10.164.116.204,,8443,HTTPS,3350882,3226248
CSAA,10.164.145.151,,10.164.145.92,,5432,TCP,3491779,707463
CSAA,10.164.144.32,,10.164.105.23,,80,HTTP,2665799,1160888
CSAA,10.164.144.248,,10.164.105.57,,22,TCP,743507,3561904
CSAA,10.165.116.142,,10.165.116.49,,443,HTTPS,2254560,3028920
CSAA,10.164.144.112,,10.164.144.221,,8080,HTTP,187815,3193301
CSAA,10.164.144.2,,10.164.144.178,,,TCP,2361742,1512056
CSAA,10.100.246.1,,10.164.144.164,,443,HTTPS,1470016,3495763
CSAA,10.165.116.0,,10.164.145.181,,443,HTTPS,3979332,1852924
CSAA,10.100.160.31,,10.100.246.30,,8080,HTTP,2339682,3025554
CSAA,10.100.246.124,,10.164.116.116,,,TCP,3830981,967420
CSAA,10.164.116.104,,10.100.160.109,,8080,HTTP,0,0
CSAA,10.164.144.206,,10.100.160.90,,8080,HTTP,539373,1139483
CSAA,10.100.246.0,,10.164.144.38,,389,TCP,3418122,757881
