App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CSAS,10.164.145.114,,10.164.144.178,,443,TCP,2316081,2100140
CSAS,10.100.160.10,,10.100.160.207,,8080,HTTP,1717502,498341
CSAS,10.100.160.189,,10.100.160.85,,389,TCP,2292139,521322
CSAS,10.164.145.38,,10.100.246.65,,8081,HTTP,1964765,1818622
CSAS,10.100.160.180,,10.164.144.214,,443,HTTPS,2369193,3005726
CSAS,10.164.145.8,,10.100.160.77,,8443,HTTPS,1680708,1646185
CSAS,10.165.116.87,,10.164.116.181,,443,HTTPS,680348,1457582
CSAS,10.165.116.83,,10.165.116.175,,80,HTTP,2626413,1244326
CSAS,10.164.144.227,,10.100.246.152,,80,TCP,1966682,1224564
CSAS,2001:db8:4c3a:9f21:4df4:8d1f:ff3c:6eb0,,2001:db8:2582:6d22:6577:aba9:9e65:79a5,,389,TCP,3379303,2596823
CSAS,10.164.116.180,,10.164.105.145,,8080,HTTP,415696,2235147
CSAS,10.165.116.154,,10.100.246.57,,8080,HTTP,1117252,1312050
CSAS,10.100.160.105,,10.164.105.204,,443,HTTPS,1697277,1328793
CSAS,10.164.105.161,,10.164.105.5,,443,HTTPS,2880325,2784395
CSAS,10.164.144.87,,10.164.105.60,,8080,TCP,2023847,263932
CSAS,10.165.116.9,,10.164.144.91,,8081,HTTP,3596220,1159744
CSAS,2001:db8:2bda:f8d3:8e38:2a3d:92b8:ef90,,2001:db8:ea19:a1e1:5473:446:a88:bdd7,,8081,HTTP,3517533,2368519
CSAS,10.100.160.134,,10.164.116.54,,8443,HTTPS,1844805,3730143
CSAS,2001:db8:2582:6d22:ea4a:742b:5edc:e3b7,,2001:db8:1a2b:3c4d:29:691e:c18:2305,,5432,TCP,3286715,2947199
CSAS,10.100.246.182,,10.100.246.104,,,TCP,1599196,1724884
CSAS,10.100.246.98,,10.165.116.224,,8443,HTTPS,1911910,1982510
CSAS,10.164.116.9,,10.100.160.60,,8443,HTTPS,779458,1838309
CSAS,10.164.144.104,,10.164.144.218,,8081,HTTP,615376,299671
CSAS,10.164.105.67,,10.164.105.22,,8080,HTTP,1250324,2890324
CSAS,10.164.116.191,,10.100.246.84,,80,HTTP,1684733,694598
CSAS,2001:db8:548b:87b5:98ec:5b6a:9c7c:f745,,2001:db8:548b:87b5:7a49:ae9c:df4b:4c19,,8080,HTTP,3321722,847678
CSAS,10.164.144.4,,10.165.116.169,,1521,TCP,0,0
CSAS,10.164.116.155,,10.164.116.147,,8443,HTTPS,1661813,2605206
CSAS,10.164.145.118,,10.164.144.115,,80,HTTP,0,0
CSAS,2001:db8:548b:87b5:37d9:6c58:5902:bf0b,,2001:db8:2bda:f8d3:64f6:82b5:3fc7:6ec5,,443,HTTPS,0,0
CSAS,10.164.116.73,,10.164.145.237,,80,HTTP,1885090,3339684
CSAS,10.100.160.177,,10.164.145.164,,8443,HTTPS,2424247,1461991
CSAS,10.164.105.177,,10.164.145.71,,8443,HTTPS,525315,1803223
CSAS,10.164.116.43,,10.164.105.229,,80,TCP,2319176,3672202
CSAS,10.165.116.132,,10.164.144.229,,8080,HTTP,1229295,2078100
CSAS,10.164.145.72,,10.164.105.152,,8081,HTTP,3169392,3217835
CSAS,10.100.246.236,,10.100.246.60,,8081,HTTP,1359466,3045776
CSAS,10.164.145.148,,10.164.105.104,,22,TCP,0,0
CSAS,10.165.116.215,,10.164.145.42,,8443,TCP,3562390,2802430
CSAS,10.164.145.19,,10.164.116.242,,443,HTTPS,3506131,3931952
CSAS,10.164.145.243,,10.164.116.100,,389,TCP,1923662,871561
CSAS,2001:db8:2bda:f8d3:b106:c45a:71f6:aee9,,2001:db8:ea19:a1e1:ba9b:b777:53d2:f38a,,8081,HTTP,309725,525835
CSAS,10.164.105.244,,10.164.116.96,,8080,HTTP,3746345,1700193
CSAS,10.164.116.193,,10.100.160.83,,8443,HTTPS,2569817,373906
CSAS,10.100.246.69,,10.164.116.131,,8081,HTTP,3429718,1903599
CSAS,10.164.144.14,,10.165.116.18,,389,TCP,1527255,2111968
CSAS,2001:db8:2bda:f8d3:29e9:efa2:5723:2faa,,2001:db8:1a2b:3c4d:63ce:666:4b78:9b1f,,8443,HTTPS,2697336,3250268
CSAS,10.165.116.234,,10.100.160.189,,80,HTTP,2453172,3920334
CSAS,10.164.116.178,,10.164.105.64,,443,HTTPS,0,0
CSAS,2001:db8:2582:6d22:d6ad:f137:a196:5413,,2001:db8:2bda:f8d3:233d:9eb3:d1eb:a173,,443,HTTPS,2781409,2651965
CSAS,10.164.144.7,,10.164.116.168,,8443,HTTPS,3941580,1201810
CSAS,10.100.246.105,,10.164.105.217,,80,HTTP,2293924,1740889
CSAS,2001:db8:2bda:f8d3:a360:c4cb:37b7:1c72,,2001:db8:2bda:f8d3:c082:1f39:577a:e5a1,,443,HTTPS,3352098,443580
CSAS,10.164.116.40,,10.100.246.140,,8081,HTTP,147632,3822478
CSAS,10.165.116.85,,10.100.160.53,,8080,HTTP,2520500,297107
CSAS,2001:db8:1a2b:3c4d:5fa8:c28a:ca10:c941,,2001:db8:2582:6d22:c038:3a81:89d8:953b,,8443,HTTPS,3241543,149864
CSAS,10.164.145.202,,10.164.145.10,,443,HTTPS,611120,2514548
CSAS,10.164.144.64,,10.164.145.242,,80,HTTP,2810855,3732852
