App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CT,10.164.116.30,,10.164.144.167,,443,HTTPS,3688584,2206750
CT,2001:db8:548b:87b5:22b8:952e:e11b:1719,,2001:db8:ea19:a1e1:b6f2:3b07:3651:4258,,3306,TCP,3024100,3434785
CT,10.164.116.205,,10.100.246.71,,80,HTTP,1010302,2994938
CT,10.164.116.125,,10.165.116.107,,80,HTTP,0,0
CT,2001:db8:548b:87b5:6e21:b4a2:f893:a13,,2001:db8:4c3a:9f21:dc5b:b24f:5595:7cd1,,80,HTTP,2552758,2144066
CT,10.100.246.51,,10.164.144.194,,80,HTTP,1747889,2947272
CT,10.100.246.122,,10.165.116.241,,80,HTTP,2016527,218166
CT,10.164.116.193,,10.100.246.209,,8443,TCP,1337257,842765
CT,10.164.105.35,,10.164.105.211,,443,TCP,2714946,3021617
CT,10.100.160.171,,10.164.145.153,,8080,HTTP,279741,1665754
CT,2001:db8:2bda:f8d3:50:1cd8:8bff:35b3,,2001:db8:4c3a:9f21:fae9:bf9d:7d8b:d58a,,22,TCP,1860342,974640
CT,10.165.116.52,,10.100.246.134,,8443,HTTPS,2937162,1234929
CT,10.165.116.162,,10.164.145.108,,80,TCP,1854851,2177426
CT,10.100.246.1,,10.100.160.88,,1521,TCP,2673902,2235519
CT,10.164.105.179,,10.100.246.57,,443,HTTPS,3586129,3587281
CT,10.164.116.251,,10.164.145.63,,8080,HTTP,0,0
CT,10.100.246.61,,10.165.116.54,,8080,HTTP,3353352,3123435
CT,2001:db8:548b:87b5:e6b1:7ece:85d0:cf83,,2001:db8:2bda:f8d3:7e50:9ec4:81db:9a62,,8443,HTTPS,1958862,2834264
CT,10.164.145.119,,10.100.160.109,,8080,HTTP,3291785,2091859
CT,10.164.144.4,,10.164.145.6,,443,HTTPS,1564259,909506
CT,10.164.116.95,,10.164.144.65,,80,HTTP,1562473,1209424
CT,10.164.105.87,,10.164.144.119,,3306,TCP,1988318,2037035
CT,10.164.105.10,,10.164.144.28,,8443,HTTPS,2991834,2581204
CT,10.165.116.81,,10.164.145.138,,80,HTTP,3624006,2410383
CT,2001:db8:2582:6d22:4f3f:be07:9dba:68ea,,2001:db8:2bda:f8d3:fba3:8051:63c8:4474,,8443,HTTPS,958515,868951
CT,2001:db8:2582:6d22:cb1f:999b:4c6d:98a8,,2001:db8:1a2b:3c4d:4a24:d4b:2f7e:6184,,8081,HTTP,2808204,2924649
CT,10.164.144.26,,10.165.116.18,,389,TCP,1910350,516145
CT,10.164.116.76,,10.164.144.204,,8081,HTTP,0,0
CT,10.100.246.16,,10.164.144.171,,5432,TCP,0,0
CT,10.164.116.15,,10.165.116.5,,8080,HTTP,2095633,2637198
CT,2001:db8:2582:6d22:16e7:d97b:7623:7f14,,2001:db8:2bda:f8d3:c758:61c1:c0ac:b3e0,,8443,HTTPS,0,0
CT,10.100.246.21,,10.164.116.241,,22,TCP,697835,878621
CT,10.164.105.143,,10.164.105.208,,,TCP,565397,2488569
CT,10.164.144.3,,10.164.116.232,,8080,HTTP,0,0
CT,10.100.246.154,,10.164.145.150,,8080,TCP,489411,2817681
CT,2001:db8:2bda:f8d3:9674:5e86:e94f:82d9,,2001:db8:2bda:f8d3:1510:71bc:c15d:3abb,,443,HTTPS,2546709,1239161
CT,10.100.246.242,,10.100.246.92,,8081,HTTP,194807,973439
CT,10.100.160.161,,10.164.105.48,,,TCP,0,0
CT,10.100.246.12,,10.164.105.68,,8080,HTTP,3569365,3002633
CT,10.164.144.18,,10.164.116.67,,443,TCP,1440789,2352442
CT,10.164.145.220,,10.100.246.207,,8443,HTTPS,3172356,2644475
CT,10.164.105.219,,10.164.116.215,,5432,TCP,0,0
CT,10.164.105.132,,10.164.116.12,,443,HTTPS,1938455,3542954
CT,10.165.116.16,,10.164.144.251,,8081,HTTP,3649936,2479234
CT,10.164.144.206,,10.164.144.103,,8081,HTTP,3163361,2722812
