App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CV,10.164.145.137,,10.164.105.223,,8080,HTTP,263882,2214640
CV,10.165.116.163,,10.164.116.140,,80,HTTP,720900,3096477
CV,10.164.145.251,,10.164.145.75,,3306,TCP,106249,3785321
CV,10.164.144.9,,10.164.144.192,,,TCP,3219625,3096063
CV,10.165.116.2,,10.164.144.1,,443,HTTPS,608844,1157478
CV,10.164.144.47,,10.165.116.196,,443,HTTPS,3541006,1086068
CV,10.164.116.235,,10.100.160.22,,80,HTTP,2372377,3435128
CV,10.100.246.217,,10.164.144.245,,8080,HTTP,0,0
CV,10.100.246.141,,10.100.246.112,,443,TCP,3132534,3602380
CV,10.164.144.43,,10.165.116.162,,389,TCP,2808521,1649292
CV,10.164.145.158,,10.100.246.76,,1521,TCP,3476078,3656201
CV,2001:db8:2bda:f8d3:3d3a:79ab:c33c:518f,,2001:db8:548b:87b5:693e:e2d5:69b2:a83,,8080,HTTP,1673123,2510693
CV,10.165.116.139,,10.100.160.207,,8080,HTTP,0,0
CV,2001:db8:2bda:f8d3:cf63:961d:41a:abfd,,2001:db8:548b:87b5:a711:fd90:2345:1386,,8443,HTTPS,2601749,3969004
CV,10.164.145.72,,10.164.116.17,,8443,HTTPS,0,0
CV,10.164.105.239,,10.164.145.116,,8081,HTTP,908046,1826316
CV,10.164.145.232,,10.164.105.8,,8080,TCP,2699440,497205
CV,10.164.145.169,,10.165.116.54,,443,HTTPS,2979887,1856041
CV,10.100.246.167,,10.100.160.177,,443,HTTPS,1303197,2891555
CV,10.164.144.237,,10.164.144.88,,5432,TCP,0,0
CV,2001:db8:2bda:f8d3:7551:eb4f:24b0:e62f,,2001:db8:4c3a:9f21:6d5e:20f:a08c:afbf,,80,HTTP,624679,223166
CV,10.165.116.191,,10.100.160.5,,8081,HTTP,1900963,1925470
CV,10.100.246.132,,10.100.246.159,,8081,HTTP,292952,3771355
CV,10.164.145.214,,10.164.116.112,,8443,HTTPS,1705660,3561212
CV,2001:db8:ea19:a1e1:1c0:8038:3c91:accc,,2001:db8:548b:87b5:426c:d241:261e:5c4d,,8081,HTTP,1869391,448438
CV,10.164.145.162,,10.164.145.51,,443,HTTPS,3564705,2024545
CV,10.164.116.200,,10.164.144.214,,8443,HTTPS,1572546,3030937
CV,10.100.246.141,,10.164.145.39,,8443,HTTPS,3807236,1814504
CV,10.100.246.138,,10.100.246.150,,8080,HTTP,3580724,437723
CV,10.100.160.185,,10.164.145.7,,443,TCP,3481768,2240185
CV,10.164.105.64,,10.164.145.120,,8080,HTTP,3504495,978601
CV,10.164.116.193,,10.100.160.78,,3306,TCP,3416142,2772603
CV,10.100.160.182,,10.100.246.83,,8080,HTTP,2511020,3395274
CV,10.100.160.141,,10.100.160.144,,443,HTTPS,3314577,618939
CV,10.164.116.100,,10.100.246.41,,443,HTTPS,0,0
CV,10.164.145.115,,10.164.105.172,,8443,HTTPS,2199009,3767631
CV,10.100.160.141,,10.164.144.214,,443,HTTPS,1799329,1799329
CV,10.164.105.50,,10.100.246.51,,8080,TCP,3519102,3783281
CV,10.100.160.42,,10.164.105.95,,,TCP,596873,3070544
CV,10.100.160.217,,10.165.116.2,,443,TCP,3092761,3161761
CV,10.164.144.103,,10.164.144.83,,,TCP,945758,540546
CV,10.165.116.25,,10.165.116.41,,,TCP,236036,155391
CV,10.164.116.59,,10.100.246.123,,,TCP,0,0
CV,10.100.246.212,,10.100.160.23,,443,HTTPS,3810390,2743841
CV,10.164.145.181,,10.100.246.26,,8443,HTTPS,513231,2540390
CV,10.100.160.168,,10.164.116.186,,443,TCP,964165,1935215
CV,10.164.145.61,,10.100.160.11,,80,HTTP,2440890,2316624
CV,10.165.116.1,,10.100.160.241,,,TCP,0,0
CV,10.164.144.54,,10.164.116.218,,389,TCP,565853,3368190
CV,10.164.145.103,,10.164.145.196,,8080,HTTP,2156928,3350140
CV,10.164.105.116,,10.100.246.20,,8080,HTTP,2447376,3720905
CV,10.164.145.146,,10.100.246.7,,8443,HTTPS,3389920,1575967
CV,10.164.144.86,,10.164.144.131,,8443,HTTPS,914343,3448743
CV,10.164.116.83,,10.164.145.62,,8081,HTTP,259599,3410740
CV,10.100.246.180,,10.164.116.233,,8080,HTTP,0,0
