App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CXI,10.164.105.223,,10.164.144.60,,3306,TCP,3023352,3239720
CXI,10.164.144.28,,10.164.105.59,,8080,HTTP,3553805,708977
CXI,2001:db8:ea19:a1e1:5d2d:b4f9:3297:8c7d,,2001:db8:2bda:f8d3:2813:df9:c822:11cb,,,TCP,3014362,571885
CXI,10.165.116.147,,10.164.145.149,,443,HTTPS,0,0
CXI,10.100.160.38,,10.164.116.7,,80,HTTP,296506,718073
CXI,10.164.116.186,,10.164.116.198,,8443,HTTPS,1795672,3090182
CXI,10.100.246.168,,10.165.116.119,,8081,HTTP,0,0
CXI,2001:db8:ea19:a1e1:e97e:55d4:46b0:eed1,,2001:db8:1a2b:3c4d:27cc:c1dd:fe5e:36e2,,8443,HTTPS,3688322,612877
CXI,10.164.105.56,,10.164.105.70,,443,HTTPS,3899338,1983410
CXI,10.164.144.119,,10.164.145.190,,8443,HTTPS,2225210,512981
CXI,10.164.116.23,,10.100.246.236,,5432,TCP,179107,743860
CXI,10.100.246.189,,10.100.160.143,,8080,HTTP,0,0
CXI,2001:db8:ea19:a1e1:341d:706a:75ef:f2a9,,2001:db8:ea19:a1e1:8002:a34f:d3b0:60d8,,1521,TCP,3265435,2836106
CXI,10.100.246.246,,10.164.145.31,,3306,TCP,1387213,1057437
CXI,10.164.116.37,,10.164.105.154,,8443,HTTPS,3059827,2025264
CXI,10.164.145.88,,10.165.116.170,,8080,HTTP,2974151,2314916
CXI,2001:db8:2582:6d22:ff3d:782f:4cdd:aaf2,,2001:db8:2bda:f8d3:6aa7:92a8:72dd:aaea,,80,HTTP,143140,1967805
CXI,10.164.145.244,,10.164.145.34,,443,HTTPS,1518753,973446
CXI,10.164.116.213,,10.164.116.70,,8081,HTTP,625883,1013888
CXI,10.165.116.243,,10.100.246.26,,8081,HTTP,3011193,226708
CXI,10.165.116.119,,10.164.116.90,,3306,TCP,3360739,1086991
CXI,10.164.144.74,,10.100.160.242,,443,TCP,3895029,1473097
CXI,10.164.105.4,,10.100.246.160,,3306,TCP,0,0
