App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
CXSI,10.100.246.210,,10.100.160.48,,80,HTTP,2010969,2218915
CXSI,10.164.105.234,,10.164.145.26,,8081,HTTP,1673604,445419
CXSI,10.100.160.179,,10.100.246.212,,8080,HTTP,3661298,2060224
CXSI,10.100.246.206,,10.164.145.34,,8081,HTTP,1345434,3800500
CXSI,10.100.246.17,,10.165.116.30,,8080,TCP,2519545,3636315
CXSI,10.164.105.20,,10.164.105.232,,8443,HTTPS,185705,1316582
CXSI,10.100.246.17,,10.164.116.172,,8443,TCP,1963139,1219917
CXSI,10.164.145.13,,10.164.145.202,,8081,HTTP,1945626,2892869
CXSI,10.164.116.61,,10.100.160.69,,,TCP,1864248,1820975
CXSI,10.165.116.143,,10.100.160.41,,443,HTTPS,3334216,2247067
CXSI,10.164.116.111,,10.164.105.168,,443,HTTPS,1724079,2074377
CXSI,10.164.145.86,,10.164.105.246,,80,HTTP,3211716,3639298
CXSI,10.164.105.11,,10.100.246.154,,443,HTTPS,683003,3574711
CXSI,10.164.105.216,,10.100.160.39,,8443,HTTPS,2963845,3133691
CXSI,10.164.145.31,,10.164.145.35,,80,HTTP,2523806,2936045
CXSI,2001:db8:2bda:f8d3:94d3:a310:9489:133c,,2001:db8:1a2b:3c4d:9d9f:2662:d6dc:b81a,,443,HTTPS,2157465,603308
CXSI,10.164.105.104,,10.100.246.119,,80,HTTP,2019066,3193457
CXSI,2001:db8:2582:6d22:2bef:136:432d:9930,,2001:db8:1a2b:3c4d:4abc:5d91:965a:18c5,,389,TCP,2981332,2888660
CXSI,10.100.160.121,,10.100.246.167,,8081,HTTP,2783237,2622890
CXSI,2001:db8:548b:87b5:731b:aedd:6b25:e1e9,,2001:db8:1a2b:3c4d:309a:11ec:706e:b43a,,8080,HTTP,2647025,2325086
CXSI,10.164.145.142,,10.165.116.125,,443,TCP,2054161,3139524
CXSI,10.165.116.2,,10.100.246.197,,8443,HTTPS,2788100,1236989
CXSI,10.164.105.26,,10.100.160.52,,8081,HTTP,3668992,1159471
CXSI,10.100.160.72,,10.100.160.47,,80,HTTP,937657,1982270
CXSI,2001:db8:ea19:a1e1:27f4:9771:fa32:126e,,2001:db8:4c3a:9f21:4c60:429b:a17c:d064,,80,HTTP,953906,230391
CXSI,10.165.116.33,,10.100.160.232,,389,TCP,794595,2619259
CXSI,10.100.160.151,,10.100.246.153,,8443,HTTPS,3255231,226629
CXSI,2001:db8:2bda:f8d3:16bc:bb52:468e:61e5,,2001:db8:4c3a:9f21:8a32:c05e:6b40:3352,,8081,HTTP,2974872,571159
CXSI,10.164.116.56,,10.100.246.87,,8080,HTTP,0,0
CXSI,2001:db8:2bda:f8d3:74cf:633f:1ebb:649f,,2001:db8:1a2b:3c4d:e1e2:8d5b:e6bf:3285,,8080,HTTP,1015792,1467609
CXSI,10.100.160.129,,10.164.145.171,,8443,HTTPS,0,0
CXSI,2001:db8:2bda:f8d3:2481:b50c:a862:4894,,2001:db8:548b:87b5:3706:f04c:5fba:343c,,443,HTTPS,2556045,477591
CXSI,10.164.145.186,,10.164.116.127,,1521,TCP,2490234,1993095
CXSI,10.100.160.127,,10.164.144.192,,8443,HTTPS,103226,653057
CXSI,10.164.116.68,,10.164.105.157,,8443,TCP,3029306,3304860
CXSI,10.164.144.225,,10.100.160.188,,8081,HTTP,168234,1119516
