App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DAD,10.165.116.75,,10.165.116.60,,8081,HTTP,2490566,1994858
DAD,10.164.105.204,,10.164.105.210,,,TCP,633402,1068133
DAD,10.100.246.208,,10.164.116.145,,443,HTTPS,642523,1663775
DAD,10.164.116.89,,10.100.246.69,,443,HTTPS,1176142,880120
DAD,10.164.145.65,,10.164.116.5,,8080,HTTP,1769983,404806
DAD,10.165.116.208,,10.165.116.90,,,TCP,1681065,2659669
DAD,10.165.116.79,,10.100.160.126,,389,TCP,3181990,2102609
DAD,10.165.116.253,,10.164.116.230,,443,HTTPS,1660989,3943511
DAD,2001:db8:ea19:a1e1:8672:f96f:413b:738,,2001:db8:2bda:f8d3:ceb6:f894:ddef:5b92,,443,HTTPS,501166,1473091
DAD,10.164.145.43,,10.100.246.79,,80,TCP,0,0
DAD,10.100.160.238,,10.100.160.204,,,TCP,3138256,3233115
DAD,10.164.105.116,,10.100.160.17,,8081,HTTP,2465683,396608
DAD,2001:db8:2bda:f8d3:932d:6b2f:cfc0:426b,,2001:db8:4c3a:9f21:21e4:a7e7:7856:fcb3,,8443,HTTPS,2802924,1472481
DAD,10.164.145.69,,10.100.160.151,,8080,TCP,333250,2275124
DAD,10.164.145.248,,10.164.144.218,,8081,HTTP,3457119,529097
DAD,10.165.116.64,,10.164.116.17,,8443,HTTPS,1787361,2339540
DAD,2001:db8:2582:6d22:b6:11a2:ef6c:1067,,2001:db8:2bda:f8d3:6892:e0c7:9d9d:aa19,,,TCP,1906123,2498600
DAD,10.100.246.148,,10.100.246.3,,80,HTTP,3436160,1389134
DAD,2001:db8:2bda:f8d3:f6e0:a26e:39bc:e100,,2001:db8:548b:87b5:31b5:3390:a81a:1d16,,8443,HTTPS,0,0
DAD,2001:db8:2582:6d22:a471:f0a6:324a:803a,,2001:db8:2582:6d22:5980:29bb:f87e:970e,,8080,TCP,288695,714938
DAD,10.100.160.36,,10.100.246.101,,8443,HTTPS,911078,980666
DAD,10.100.160.150,,10.164.145.158,,8080,HTTP,1302134,2406658
DAD,10.164.116.13,,10.164.116.227,,8443,HTTPS,3732273,639684
DAD,10.164.144.240,,10.164.144.211,,80,HTTP,3360619,3275321
DAD,10.100.160.182,,10.164.144.45,,8081,HTTP,1101986,2857377
DAD,10.164.105.137,,10.164.144.180,,80,HTTP,1172874,255354
DAD,2001:db8:1a2b:3c4d:5f:6552:8246:3029,,2001:db8:548b:87b5:186e:8180:cec9:646b,,8080,HTTP,1237698,3112824
DAD,10.164.105.59,,10.164.145.203,,22,TCP,111294,312141
DAD,10.100.246.6,,10.100.246.159,,8080,HTTP,591696,2363146
DAD,2001:db8:1a2b:3c4d:8bc2:2e17:b63b:5c5f,,2001:db8:2bda:f8d3:96ac:48c9:3581:6cb4,,80,HTTP,3317786,3197139
DAD,10.164.105.204,,10.100.246.142,,443,HTTPS,2868540,1965693
DAD,2001:db8:2582:6d22:61d3:b32d:e6bb:4d53,,2001:db8:548b:87b5:b8ed:8fe4:3427:3c22,,8081,HTTP,1851221,654282
DAD,10.165.116.153,,10.164.116.134,,389,TCP,3874884,324067
DAD,10.164.116.247,,10.164.144.21,,443,HTTPS,272076,2950024
DAD,10.165.116.144,,10.164.144.113,,8080,TCP,3500560,1734929
DAD,2001:db8:4c3a:9f21:57c8:f6f6:c0b:2fd7,,2001:db8:548b:87b5:663b:312b:cce3:3ef8,,443,TCP,2591414,2852292
DAD,10.164.116.81,,10.100.246.75,,22,TCP,2944243,129403
DAD,10.164.105.142,,10.100.160.151,,8081,HTTP,0,0
DAD,10.100.160.70,,10.100.246.100,,443,TCP,1313309,1737462
DAD,10.165.116.124,,10.164.105.139,,8080,HTTP,3471828,1725233
DAD,2001:db8:2582:6d22:9383:620:c24a:2989,,2001:db8:2bda:f8d3:b5:ee14:ec3f:d690,,,TCP,678259,3241702
DAD,10.164.105.66,,10.164.144.191,,8081,HTTP,0,0
DAD,10.165.116.24,,10.164.116.169,,80,TCP,1761894,1760146
DAD,10.164.105.66,,10.164.144.44,,8443,HTTPS,0,0
DAD,10.164.144.110,,10.164.144.22,,443,HTTPS,791677,346215
DAD,10.164.144.186,,10.164.145.69,,3306,TCP,763033,2988028
DAD,10.100.246.239,,10.164.105.187,,,TCP,2509535,2823224
DAD,10.164.144.220,,10.164.144.22,,,TCP,2043927,1563044
DAD,10.164.105.164,,10.100.160.131,,8081,HTTP,0,0
DAD,10.165.116.144,,10.165.116.146,,80,HTTP,2255011,479848
DAD,2001:db8:4c3a:9f21:8786:44b9:59b3:3931,,2001:db8:ea19:a1e1:5ef9:81f8:af92:7913,,22,TCP,319500,1420775
DAD,10.164.145.209,,10.100.246.52,,80,HTTP,1398543,2372309
DAD,10.164.105.78,,10.164.116.215,,80,HTTP,649797,925188
DAD,10.164.105.186,,10.165.116.13,,8443,TCP,0,0
DAD,10.100.160.46,,10.100.160.216,,80,HTTP,0,0
DAD,10.165.116.191,,10.164.144.66,,443,TCP,977401,1128841
DAD,10.165.116.28,,10.164.105.192,,8081,HTTP,3226172,1632459
