App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DCDPP,10.164.145.95,,10.164.105.68,,8080,TLS,3520359,1755840
DCDPP,10.164.145.192,,10.100.246.95,,22,TLS,3952242,1093031
DCDPP,10.164.145.173,,10.164.105.72,,443,HTTPS,1099496,2977336
DCDPP,10.164.145.0,,10.100.246.33,,8443,TLS,3292475,3448632
DCDPP,10.164.145.108,,10.164.105.152,,389,TLS,726422,3830657
DCDPP,10.164.145.169,,10.100.246.164,,8443,HTTPS,3634712,1227131
DCDPP,2001:db8:2bda:f8d3:52d7:f029:714b:fa37,,2001:db8:1a2b:3c4d:11c6:d2ab:9f51:6516,,,HTTP2-SSL,0,0
DCDPP,10.164.145.125,,10.100.246.109,,5432,HTTP2-SSL,2723188,3139638
DCDPP,10.164.145.230,,10.100.246.239,,443,TLS,1837144,3819101
DCDPP,10.164.145.203,,10.164.105.205,,,TLS,218602,3981883
DCDPP,2001:db8:2bda:f8d3:d67:7625:5c8b:ac02,,2001:db8:2bda:f8d3:cc2d:93c8:60e2:3d57,,8080,TLS,2716846,2211510
DCDPP,2001:db8:2bda:f8d3:a3eb:9098:99f:bb57,,2001:db8:1a2b:3c4d:b543:622e:ca84:92aa,,22,HTTP2-SSL,1233504,177605
DCDPP,10.164.145.187,,10.100.246.85,,8080,TLS,1657136,2487291
DCDPP,10.164.145.81,,10.100.246.7,,443,HTTPS,3063646,1798013
DCDPP,10.164.145.206,,10.100.246.134,,,TLS,1285832,2506174
DCDPP,10.164.145.106,,10.100.246.53,,,HTTP2-SSL,2562369,3031746
DCDPP,10.164.145.142,,10.164.145.39,,389,TLS,1892013,244207
DCDPP,10.164.145.160,,10.100.246.7,,8443,TLS,699460,3554202
DCDPP,10.164.145.110,,10.100.246.65,,443,HTTPS,2576642,1179026
DCDPP,2001:db8:2bda:f8d3:e904:cd0e:ddf5:47e3,,2001:db8:548b:87b5:9dac:cac2:545d:3f7,,,HTTP2-SSL,0,0
DCDPP,10.164.145.230,,10.164.105.223,,8080,HTTP2-SSL,676593,3915218
DCDPP,10.164.145.155,,10.164.145.254,,8080,TLS,1530291,1768039
DCDPP,10.164.145.251,,10.164.145.32,,,HTTP2-SSL,2307694,692838
DCDPP,2001:db8:2bda:f8d3:7bab:e9e:a620:60b9,,2001:db8:1a2b:3c4d:d90a:bc7f:f8f7:ccbe,,8443,HTTPS,2290083,307516
DCDPP,2001:db8:2bda:f8d3:669b:bff2:5ebd:6c93,,2001:db8:2bda:f8d3:6433:c61a:4561:79ff,,5432,HTTP2-SSL,2980222,1961527
DCDPP,10.164.145.98,,10.100.246.123,,8443,HTTPS,746616,944441
DCDPP,2001:db8:2bda:f8d3:6acc:5d15:2405:7f26,,2001:db8:2bda:f8d3:6699:42fe:625a:58c6,,443,HTTPS,1856132,1453298
DCDPP,10.164.145.208,,10.100.246.142,,389,TLS,1771837,1452552
DCDPP,10.164.145.180,,10.100.246.51,,8443,HTTPS,2072414,1907549
DCDPP,2001:db8:2bda:f8d3:7247:fae2:8616:1c8e,,2001:db8:1a2b:3c4d:21fe:af01:db18:1333,,443,HTTP2-SSL,1839475,1704801
DCDPP,10.164.145.89,,10.164.105.131,,389,TLS,2569305,2665330
DCDPP,10.164.145.103,,10.164.105.103,,389,HTTP2-SSL,1885937,171255
DCDPP,10.164.145.240,,10.100.246.21,,80,HTTP2-SSL,1128235,1812153
DCDPP,10.164.145.137,,10.100.246.78,,8443,HTTPS,0,0
DCDPP,10.164.145.24,,10.164.145.114,,8443,HTTPS,3231918,390091
DCDPP,10.164.145.221,,10.164.105.33,,22,HTTP2-SSL,3740683,3642650
DCDPP,10.164.145.69,,10.100.246.139,,,TLS,2428839,1227119
DCDPP,10.164.145.138,,10.164.145.6,,80,TLS,2046319,958338
DCDPP,10.164.145.251,,10.164.145.153,,,HTTP2-SSL,159394,2503490
DCDPP,10.164.145.128,,10.164.105.9,,389,TLS,289403,688694
DCDPP,10.164.145.128,,10.164.105.138,,443,HTTPS,3461444,1078398
DCDPP,10.164.145.71,,10.164.145.170,,80,HTTP2-SSL,2065634,901992
DCDPP,10.164.145.49,,10.164.105.225,,1521,HTTP2-SSL,2333846,1932014
DCDPP,10.164.145.158,,10.164.105.34,,,HTTP2-SSL,3194616,1221157
DCDPP,10.164.145.81,,10.164.145.103,,443,HTTPS,3619436,2643316
DCDPP,10.164.145.141,,10.100.246.54,,8443,HTTP2-SSL,2812468,3314737
DCDPP,10.164.145.15,,10.100.246.184,,1521,HTTP2-SSL,795190,2026219
DCDPP,10.164.145.107,,10.164.145.50,,80,TLS,1710399,1789696
DCDPP,10.164.145.44,,10.164.145.190,,443,HTTPS,2066034,2368625
DCDPP,10.164.145.195,,10.164.105.185,,5432,TLS,2712453,2401663
DCDPP,2001:db8:2bda:f8d3:271b:7250:ed87:a58e,,2001:db8:1a2b:3c4d:1e79:df28:7948:26b3,,80,HTTP2-SSL,735455,3807359
DCDPP,10.164.145.28,,10.164.145.18,,,HTTP2-SSL,3299877,1896895
DCDPP,10.164.145.229,,10.164.145.28,,,HTTP2-SSL,1276787,3497049
DCDPP,10.164.145.132,,10.100.246.36,,,HTTP2-SSL,1864624,2182050
DCDPP,10.164.145.39,,10.164.145.20,,,TLS,0,0
DCDPP,10.164.145.252,,10.100.246.29,,3306,HTTP2-SSL,2238792,2652336
DCDPP,10.164.145.207,,10.164.105.107,,389,HTTP2-SSL,1959309,1823963
