App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DCIDM,10.164.145.113,,10.164.145.140,,,HTTP2-SSL,1204811,287537
DCIDM,10.164.145.107,,10.164.145.53,,8443,HTTPS,367979,1394231
DCIDM,10.164.145.52,,10.164.145.78,,8443,HTTPS,3668647,306441
DCIDM,10.164.145.58,,10.100.246.166,,,HTTP2-SSL,3535703,3356643
DCIDM,2001:db8:2bda:f8d3:a38c:fdf1:9531:690,,2001:db8:548b:87b5:df6a:56a:e0da:fc08,,80,HTTP2-SSL,3764606,3801390
DCIDM,10.164.145.136,,10.100.246.182,,1521,TLS,1828110,2084026
DCIDM,10.164.145.216,,10.164.105.218,,,TLS,378475,1911966
DCIDM,2001:db8:2bda:f8d3:de5c:d5a3:3553:f9c6,,2001:db8:1a2b:3c4d:5db5:8cdc:7f8b:4f9f,,,HTTP2-SSL,2622538,3916867
DCIDM,2001:db8:2bda:f8d3:be37:d0e3:c626:625c,,2001:db8:1a2b:3c4d:9a9:b688:b5ee:7e5b,,,HTTP2-SSL,1490104,2445499
DCIDM,10.164.145.83,,10.100.246.116,,443,HTTPS,1358651,479459
DCIDM,10.164.145.35,,10.100.246.177,,,HTTP2-SSL,2354623,1137834
DCIDM,10.164.145.238,,10.164.105.106,,5432,TLS,3650725,2075276
DCIDM,10.164.145.62,,10.164.145.176,,3306,HTTP2-SSL,2384928,1288814
DCIDM,10.164.145.137,,10.100.246.58,,80,TLS,1512096,155062
DCIDM,10.164.145.48,,10.164.105.207,,1521,HTTP2-SSL,3838132,514740
DCIDM,10.164.145.245,,10.100.246.197,,,HTTP2-SSL,3057963,2577989
DCIDM,10.164.145.249,,10.164.145.230,,8080,TLS,2580894,3498916
DCIDM,2001:db8:2bda:f8d3:cfd9:2fcf:757:8ff,,2001:db8:1a2b:3c4d:bfc5:1a33:eecd:8622,,,HTTP2-SSL,2554265,1712587
DCIDM,10.164.145.96,,10.164.145.212,,443,TLS,2615673,3230019
DCIDM,10.164.145.39,,10.100.246.0,,8443,HTTPS,3231490,1753211
DCIDM,10.164.145.68,,10.164.105.65,,443,HTTPS,1226862,2674122
DCIDM,2001:db8:2bda:f8d3:8dc1:914:6c62:6aa7,,2001:db8:548b:87b5:6bc5:15b3:e41f:5845,,80,TLS,493372,2089580
DCIDM,10.164.145.76,,10.100.246.155,,,TLS,604564,1250698
DCIDM,10.164.145.125,,10.164.105.179,,8443,HTTPS,1375259,3671308
DCIDM,10.164.145.71,,10.100.246.192,,443,HTTPS,2405128,1709480
DCIDM,10.164.145.111,,10.100.246.34,,3306,HTTP2-SSL,3183082,3894150
DCIDM,10.164.145.171,,10.164.145.182,,,HTTP2-SSL,2781665,866331
DCIDM,10.164.145.47,,10.100.246.152,,8443,HTTP2-SSL,3989353,3700034
DCIDM,10.164.145.165,,10.164.145.1,,8443,HTTPS,1539799,366530
DCIDM,10.164.145.147,,10.100.246.130,,8080,HTTP2-SSL,857356,2337430
DCIDM,10.164.145.153,,10.164.105.240,,443,HTTPS,377263,1159862
DCIDM,10.164.145.42,,10.164.145.191,,8443,HTTP2-SSL,0,0
DCIDM,10.164.145.234,,10.164.145.238,,,HTTP2-SSL,996139,366454
DCIDM,10.164.145.7,,10.100.246.164,,22,TLS,2828946,1926395
