App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DCIFI,10.164.145.45,,10.100.246.31,,8443,HTTPS,2170408,2618660
DCIFI,2001:db8:2bda:f8d3:8b5e:d91:e8a1:3331,,2001:db8:1a2b:3c4d:6684:5490:1a8e:41a,,443,TLS,0,0
DCIFI,10.164.145.19,,10.164.105.77,,5432,HTTP2-SSL,3678646,1848998
DCIFI,10.164.145.16,,10.164.145.37,,8443,HTTP2-SSL,1324644,705571
DCIFI,10.164.145.132,,10.164.105.168,,8080,TLS,351296,978831
DCIFI,2001:db8:2bda:f8d3:abda:4e04:fbff:a9e3,,2001:db8:548b:87b5:9778:3a80:ed9a:c1dc,,8443,HTTPS,346460,434862
DCIFI,10.164.145.44,,10.164.145.253,,443,HTTPS,3778006,667202
DCIFI,2001:db8:2bda:f8d3:a7bb:7caa:cd91:afe3,,2001:db8:2bda:f8d3:178e:564d:4a11:6962,,8443,HTTPS,3669706,2750803
DCIFI,2001:db8:2bda:f8d3:b27b:b97a:ef13:319e,,2001:db8:1a2b:3c4d:f841:b86c:368f:79b8,,,TLS,1645611,2158813
DCIFI,10.164.145.36,,10.164.105.122,,,HTTP2-SSL,434248,257325
DCIFI,10.164.145.56,,10.164.145.194,,8443,HTTPS,810176,1146493
DCIFI,2001:db8:2bda:f8d3:c42:333b:e081:aabd,,2001:db8:1a2b:3c4d:3cca:bde2:b5c1:accc,,80,TLS,1823710,2603210
DCIFI,10.164.145.198,,10.164.105.34,,3306,TLS,1514047,801374
DCIFI,10.164.145.254,,10.164.145.159,,443,HTTPS,682717,2754980
DCIFI,10.164.145.238,,10.164.105.141,,3306,HTTP2-SSL,1886433,1737568
DCIFI,10.164.145.113,,10.164.145.29,,8443,HTTPS,544457,2578192
DCIFI,10.164.145.221,,10.100.246.231,,,TLS,3946237,1785650
DCIFI,10.164.145.151,,10.164.145.74,,8443,HTTPS,0,0
DCIFI,10.164.145.68,,10.100.246.185,,1521,TLS,0,0
DCIFI,2001:db8:2bda:f8d3:dc74:ec7:6bc5:4cdb,,2001:db8:548b:87b5:830f:3db8:b34f:9f51,,443,HTTPS,114388,2776685
DCIFI,10.164.145.30,,10.164.145.139,,8443,HTTPS,668645,2349399
DCIFI,10.164.145.98,,10.164.105.56,,8443,HTTPS,3749806,3425007
DCIFI,2001:db8:2bda:f8d3:25e8:c83d:8d5d:e8d9,,2001:db8:548b:87b5:8e5a:5e09:2ccc:181e,,1521,TLS,2075695,1470455
DCIFI,10.164.145.152,,10.100.246.16,,8443,HTTPS,487006,263635
DCIFI,10.164.145.59,,10.100.246.116,,,TLS,526895,3055017
DCIFI,10.164.145.15,,10.164.145.160,,8443,HTTPS,3370586,1958061
DCIFI,10.164.145.67,,10.164.145.3,,3306,TLS,2152587,2434233
DCIFI,10.164.145.123,,10.100.246.14,,443,HTTPS,0,0
DCIFI,10.164.145.147,,10.164.145.168,,8443,HTTPS,423805,2672217
DCIFI,10.164.145.48,,10.164.145.134,,5432,TLS,3454887,2004768
DCIFI,10.164.145.18,,10.164.105.89,,443,HTTPS,194677,1717012
DCIFI,10.164.145.12,,10.164.145.116,,443,TLS,0,0
DCIFI,10.164.145.227,,10.164.145.128,,8443,HTTPS,0,0
DCIFI,10.164.145.165,,10.164.145.176,,,TLS,2584523,2499834
DCIFI,10.164.145.142,,10.164.145.95,,,HTTP2-SSL,102779,3598534
DCIFI,10.164.145.25,,10.164.145.152,,,TLS,2280291,2649033
DCIFI,10.164.145.34,,10.100.246.24,,22,TLS,1109119,1079488
DCIFI,10.164.145.22,,10.100.246.42,,22,TLS,1838012,491049
DCIFI,10.164.145.35,,10.164.145.153,,,HTTP2-SSL,345728,687258
DCIFI,10.164.145.143,,10.164.145.99,,,TLS,2683545,2674382
