App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DG,10.164.116.196,,10.164.105.170,,80,TCP,3733810,1868743
DG,10.164.116.252,,10.100.160.91,,443,HTTPS,3202506,1440401
DG,10.165.116.110,,10.100.246.131,,8443,HTTPS,0,0
DG,10.164.105.190,,10.164.116.2,,8443,TCP,1327703,3845427
DG,10.100.246.3,,10.100.160.146,,8080,HTTP,3132647,2479167
DG,10.164.105.149,,10.164.144.26,,80,HTTP,954009,1065437
DG,10.164.144.231,,10.164.105.73,,8080,TCP,3008395,335301
DG,10.164.105.32,,10.164.105.202,,8080,HTTP,3312573,3161187
DG,10.164.116.112,,10.100.160.71,,8443,HTTPS,940795,118221
DG,10.100.246.77,,10.100.246.13,,,TCP,3120072,2934884
DG,10.164.105.198,,10.164.145.129,,443,HTTPS,958124,3257212
DG,10.100.160.195,,10.165.116.11,,443,HTTPS,2999681,2366003
DG,10.100.160.43,,10.100.160.105,,80,HTTP,3672797,1507474
DG,10.164.105.68,,10.164.116.12,,8443,HTTPS,3947128,1858698
DG,10.164.144.96,,10.164.144.74,,8081,HTTP,1650177,3302761
DG,10.164.145.25,,10.164.105.0,,3306,TCP,1323786,1742088
DG,10.165.116.30,,10.100.160.24,,,TCP,3177563,2237296
DG,10.100.160.146,,10.164.144.130,,443,HTTPS,0,0
DG,10.164.105.197,,10.164.116.174,,3306,TCP,900827,2291275
DG,2001:db8:4c3a:9f21:7a31:1b7e:379d:2349,,2001:db8:2bda:f8d3:51d9:170e:7544:d3e6,,443,HTTPS,926634,276424
DG,2001:db8:2582:6d22:5158:cb86:ee70:6f2,,2001:db8:4c3a:9f21:7287:68d1:4826:2846,,8080,HTTP,0,0
DG,10.165.116.79,,10.164.144.236,,443,HTTPS,1797847,3864210
DG,10.100.160.104,,10.100.160.247,,443,HTTPS,1928429,491785
DG,10.164.116.216,,10.164.116.57,,22,TCP,3567018,3588002
DG,10.100.160.103,,10.100.160.101,,22,TCP,3748143,274837
DG,10.164.105.106,,10.165.116.191,,389,TCP,380908,2566512
DG,10.100.160.189,,10.164.145.126,,80,HTTP,1137943,2526415
DG,10.165.116.144,,10.164.145.81,,8080,HTTP,0,0
DG,10.100.160.171,,10.164.116.22,,389,TCP,3515773,1222750
DG,10.164.116.106,,10.165.116.2,,389,TCP,1530141,957771
DG,10.164.145.196,,10.164.116.220,,443,HTTPS,0,0
DG,10.100.160.31,,10.100.160.84,,80,HTTP,3769126,2272057
DG,10.164.144.2,,10.164.145.239,,,TCP,132103,2344669
DG,10.164.145.4,,10.100.160.233,,8080,TCP,2129121,3427585
DG,10.100.160.59,,10.100.246.61,,8443,HTTPS,688077,1438148
DG,10.100.160.199,,10.165.116.101,,,TCP,357859,136155
DG,2001:db8:ea19:a1e1:4756:228e:db88:5d27,,2001:db8:ea19:a1e1:7d25:eadb:4a4e:f6c1,,443,HTTPS,1562968,3199000
DG,10.100.160.228,,10.100.160.240,,,TCP,3598966,3991977
DG,10.164.144.243,,10.100.160.55,,8080,HTTP,3077019,2658164
DG,10.164.116.233,,10.100.246.208,,80,HTTP,2647014,2656008
DG,10.100.246.99,,10.164.145.147,,80,HTTP,173255,2679468
DG,10.100.246.144,,10.100.246.70,,8443,HTTPS,2961147,3089055
DG,10.165.116.93,,10.164.145.65,,1521,TCP,1122895,2716268
DG,10.164.105.145,,10.100.160.244,,443,HTTPS,1867200,310003
DG,10.100.246.58,,10.100.160.42,,80,HTTP,0,0
DG,2001:db8:2bda:f8d3:26c1:a108:e8d6:fcf7,,2001:db8:1a2b:3c4d:2271:e3be:85e:cfbc,,8081,HTTP,2498389,3110536
