App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM,10.164.105.233,,10.165.116.104,,389,TCP,2198803,3093600
DM,10.164.144.95,,10.165.116.55,,8081,HTTP,1789967,2079684
DM,10.164.116.211,,10.164.145.198,,8081,HTTP,3588630,1106906
DM,2001:db8:2bda:f8d3:b153:921:7eae:d43c,,2001:db8:ea19:a1e1:a84b:588e:d139:b53f,,8080,HTTP,713428,3366021
DM,10.165.116.135,,10.164.105.85,,8443,HTTPS,2909389,639117
DM,2001:db8:ea19:a1e1:2428:f9e0:a867:7ad1,,2001:db8:2bda:f8d3:161b:bc03:cb4:84d4,,8443,HTTPS,3413125,173266
DM,10.165.116.173,,10.100.246.143,,,TCP,2178308,3780131
DM,10.164.145.29,,10.100.160.101,,5432,TCP,3644252,2849176
DM,10.100.160.102,,10.100.246.6,,,TCP,0,0
DM,2001:db8:1a2b:3c4d:3c1b:999b:96b1:6459,,2001:db8:4c3a:9f21:ba24:6f05:1d2c:5ae2,,8081,HTTP,288135,827670
DM,10.164.145.142,,10.164.105.33,,8081,HTTP,3794263,2617155
DM,10.164.144.117,,10.165.116.25,,8081,HTTP,1025368,2756492
DM,10.164.145.213,,10.100.246.201,,80,TCP,2246833,3408759
DM,2001:db8:2bda:f8d3:d8c8:28ac:753f:6434,,2001:db8:2bda:f8d3:3864:cb10:b7c2:3f92,,3306,TCP,2955820,2400492
DM,10.100.160.4,,10.164.145.221,,80,HTTP,2636129,1978480
DM,10.164.145.63,,10.164.144.157,,8443,TCP,2089655,1812080
DM,10.164.144.53,,10.100.246.207,,8080,HTTP,2108804,2994401
DM,10.164.116.64,,10.164.116.110,,80,HTTP,1913794,2384834
DM,10.164.105.44,,10.164.144.203,,443,HTTPS,2028919,3976872
DM,10.164.145.221,,10.164.116.222,,8081,HTTP,3584638,2998808
DM,10.100.160.229,,10.164.145.203,,,TCP,3526842,1462581
DM,10.100.160.0,,10.165.116.237,,8081,HTTP,2548349,1114339
