App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_BAP,10.164.145.43,,10.164.105.103,,5432,TLS,2043255,2328207
DM_BAP,10.164.145.19,,10.164.105.80,,27017,TLS,3029241,2528550
DM_BAP,10.164.105.8,,10.164.105.208,,27017,ORACLE,1481054,3323381
DM_BAP,10.164.105.173,,10.164.105.32,,3306,ODBC,4595496,1178318
DM_BAP,10.164.145.42,,10.164.105.27,,27017,TLS,3051735,1458767
DM_BAP,10.164.145.126,,10.164.105.203,,1521,JDBC,4300272,1851669
DM_BAP,10.164.105.247,,10.164.105.58,,5432,DB2,1574237,2869278
DM_BAP,10.164.145.226,,10.164.105.149,,27017,SQL,4105819,3095227
DM_BAP,2001:db8:2bda:f8d3:4119:8320:e75:7409,,2001:db8:548b:87b5:d16:192b:515b:1487,,1521,ORACLE,1549169,3755256
DM_BAP,10.100.246.124,,10.164.105.253,,27017,JDBC,1143508,1393583
DM_BAP,10.164.105.28,,10.164.105.87,,5432,JDBC,3109730,2176736
DM_BAP,10.164.145.24,,10.164.105.139,,27017,DB2,4275210,3514977
DM_BAP,10.100.246.235,,10.164.105.178,,1521,SQL,3250116,3482080
DM_BAP,10.164.105.49,,10.164.105.22,,3306,DB2,4481710,2804604
DM_BAP,10.164.145.24,,10.164.105.160,,3306,DB2,2025789,1677833
DM_BAP,2001:db8:548b:87b5:261e:217f:28e0:fd9e,,2001:db8:548b:87b5:8c01:f5cd:a854:24dd,,3306,SQL,1729022,632230
DM_BAP,10.100.246.39,,10.164.105.198,,1521,JDBC,4035270,3770446
DM_BAP,10.164.145.121,,10.164.105.44,,1433,TLS,2029840,3596568
DM_BAP,2001:db8:1a2b:3c4d:a5e4:6132:4e66:d424,,2001:db8:548b:87b5:7b6d:b4c4:6dac:527f,,1521,DB2,1097034,1983056
DM_BAP,10.100.246.51,,10.164.105.25,,1521,ODBC,2915756,978737
DM_BAP,10.164.105.14,,10.164.105.164,,3306,DB2,0,0
DM_BAP,10.164.145.41,,10.164.105.135,,5432,TLS,2517528,1588596
DM_BAP,10.164.105.72,,10.164.105.202,,5432,SQL,2633619,3950664
DM_BAP,10.164.105.255,,10.164.105.40,,1433,ORACLE,2871277,3580135
DM_BAP,2001:db8:1a2b:3c4d:801f:30df:8043:3a6a,,2001:db8:548b:87b5:669a:4e0c:5ab8:58a0,,1433,ORACLE,4208275,3977837
DM_BAP,10.100.246.112,,10.164.105.12,,5432,SQL,3073743,1370205
DM_BAP,10.100.246.244,,10.164.105.146,,3306,DB2,4059487,1086321
DM_BAP,10.100.246.147,,10.164.105.194,,5432,DB2,2246208,3802841
DM_BAP,10.164.105.217,,10.164.105.104,,3306,TLS,1003558,1745107
DM_BAP,2001:db8:548b:87b5:c775:6900:6a85:43a7,,2001:db8:548b:87b5:4c56:32d4:af27:966d,,1521,TLS,2571158,1278332
DM_BAP,10.100.246.203,,10.164.105.215,,1433,ORACLE,0,0
DM_BAP,10.164.105.193,,10.164.105.198,,27017,JDBC,4784915,2526000
DM_BAP,10.100.246.118,,10.164.105.1,,5432,DB2,3270308,1422282
DM_BAP,10.100.246.116,,10.164.105.205,,3306,TLS,3894469,830334
DM_BAP,10.164.145.74,,10.164.105.58,,3306,TLS,3023979,741806
DM_BAP,10.164.105.32,,10.164.105.22,,1521,SQL,2581757,3615641
DM_BAP,2001:db8:2bda:f8d3:8b10:35df:14fb:11b7,,2001:db8:548b:87b5:47e0:44b7:2829:2b59,,27017,DB2,0,0
DM_BAP,2001:db8:1a2b:3c4d:e4f6:be87:7a20:e2e2,,2001:db8:548b:87b5:9d42:cad0:94e6:ced,,27017,JDBC,1238572,1824241
DM_BAP,10.164.145.251,,10.164.105.63,,5432,DB2,3291286,2216388
DM_BAP,10.164.105.48,,10.164.105.52,,1433,DB2,1322833,2565761
DM_BAP,10.100.246.160,,10.164.105.208,,1521,ORACLE,2711001,1339348
DM_BAP,10.164.105.187,,10.164.105.180,,3306,ODBC,4124112,3659546
DM_BAP,10.164.105.210,,10.164.105.111,,27017,ODBC,0,0
DM_BAP,10.164.145.27,,10.164.105.200,,3306,JDBC,3926363,698647
DM_BAP,10.164.145.255,,10.164.105.39,,1433,ODBC,2459865,1290731
DM_BAP,10.164.145.199,,10.164.105.113,,3306,TLS,2768283,1005557
DM_BAP,10.164.105.168,,10.164.105.137,,1521,JDBC,4163817,690459
DM_BAP,10.164.145.124,,10.164.105.243,,3306,TLS,3522356,1998445
DM_BAP,10.164.105.115,,10.164.105.174,,1433,TLS,4790834,3940708
DM_BAP,10.100.246.63,,10.164.105.78,,5432,ODBC,4072402,1413633
DM_BAP,10.164.105.175,,10.164.105.54,,5432,ODBC,1292510,3996484
DM_BAP,10.164.105.34,,10.164.105.130,,1433,ODBC,4766612,1252894
DM_BAP,2001:db8:1a2b:3c4d:6529:880c:8ac0:8318,,2001:db8:548b:87b5:9925:df49:924a:6fea,,5432,SQL,1409648,3959523
DM_BAP,10.164.105.162,,10.164.105.119,,5432,DB2,2634150,1412798
DM_BAP,10.164.145.240,,10.164.105.204,,5432,JDBC,0,0
DM_BAP,10.100.246.156,,10.164.105.185,,27017,JDBC,2949570,1068795
DM_BAP,10.164.145.90,,10.164.105.55,,1433,ODBC,3667791,3756456
DM_BAP,10.164.145.214,,10.164.105.205,,1521,JDBC,1279099,1364847
DM_BAP,10.164.145.219,,10.164.105.231,,1433,DB2,3904180,1070783
DM_BAP,10.100.246.150,,10.164.105.5,,3306,TLS,2281904,1056181
DM_BAP,10.100.246.138,,10.164.105.48,,27017,TLS,3202892,3821522
DM_BAP,10.164.145.210,,10.164.105.125,,3306,ORACLE,2819822,1811438
DM_BAP,2001:db8:1a2b:3c4d:4a49:d83b:4f5c:6a32,,2001:db8:548b:87b5:454f:f2ab:da5e:a455,,1521,TLS,1659939,3407186
DM_BAP,10.164.105.3,,10.164.105.157,,1433,ODBC,2472357,3442521
DM_BAP,2001:db8:1a2b:3c4d:83c6:e86c:bc5f:eb6a,,2001:db8:548b:87b5:9371:fe14:cd7e:2e13,,5432,DB2,3076150,1974520
DM_BAP,10.100.246.33,,10.164.105.98,,1521,ODBC,2341837,1804621
DM_BAP,2001:db8:548b:87b5:9fa3:8a92:a228:f934,,2001:db8:548b:87b5:c7a7:a071:d262:1558,,3306,DB2,2335072,2107806
DM_BAP,10.100.246.89,,10.164.105.18,,3306,TLS,2014442,2514460
DM_BAP,10.100.246.216,,10.164.105.88,,27017,ORACLE,2455314,1480324
DM_BAP,10.100.246.128,,10.164.105.47,,27017,DB2,4281772,3664580
DM_BAP,10.100.246.118,,10.164.105.156,,5432,ORACLE,3741837,3146295
DM_BAP,10.164.105.217,,10.164.105.90,,3306,JDBC,2133128,2220132
DM_BAP,10.100.246.117,,10.164.105.121,,3306,SQL,2982395,2055780
DM_BAP,10.100.246.195,,10.164.105.223,,5432,JDBC,4068782,656374
DM_BAP,10.164.105.147,,10.164.105.89,,3306,SQL,4051181,2857282
DM_BAP,10.164.145.168,,10.164.105.175,,1433,DB2,2128219,1356487
DM_BAP,10.100.246.177,,10.164.105.83,,27017,JDBC,4384638,3106604
DM_BAP,10.164.105.4,,10.164.105.127,,1433,JDBC,4383413,3037760
DM_BAP,10.164.105.107,,10.164.105.165,,1521,JDBC,4521146,2472682
DM_BAP,2001:db8:548b:87b5:338f:8ce9:85e5:8910,,2001:db8:548b:87b5:96b5:3c4c:cc54:d981,,3306,SQL,3308875,2633469
DM_BAP,10.164.105.145,,10.164.105.205,,1433,TLS,3165707,2318810
DM_BAP,10.100.246.132,,10.164.105.233,,1433,DB2,3939352,946658
DM_BAP,10.100.246.11,,10.164.105.221,,1521,JDBC,1356530,1594135
DM_BAP,10.164.145.13,,10.164.105.110,,5432,JDBC,4339159,3502384
DM_BAP,10.164.105.200,,10.164.105.245,,1433,SQL,2812506,3553015
DM_BAP,10.164.145.216,,10.164.105.10,,1521,TLS,2612120,2561059
DM_BAP,10.100.246.92,,10.164.105.104,,3306,SQL,2543241,3061445
DM_BAP,10.100.246.167,,10.164.105.9,,5432,SQL,4185442,569788
DM_BAP,10.164.105.117,,10.164.105.248,,5432,SQL,1191097,1069227
DM_BAP,10.164.105.91,,10.164.105.222,,1433,DB2,4487306,3448628
DM_BAP,10.164.105.228,,10.164.105.63,,1521,SQL,4542024,1045482
DM_BAP,10.100.246.123,,10.164.105.165,,1433,TLS,2794459,3622945
DM_BAP,10.164.105.36,,10.164.105.210,,27017,ORACLE,3712980,1705955
DM_BAP,10.164.105.26,,10.164.105.197,,5432,ORACLE,3148108,1971336
DM_BAP,10.164.145.11,,10.164.105.40,,1433,ORACLE,3303811,2924750
DM_BAP,10.100.246.106,,10.164.105.0,,27017,SQL,4605651,2047167
DM_BAP,10.100.246.250,,10.164.105.235,,27017,SQL,2577258,3683420
DM_BAP,10.164.105.167,,10.164.105.212,,1521,ORACLE,4965104,1314965
DM_BAP,10.164.105.144,,10.164.105.108,,27017,TLS,2082822,2190163
DM_BAP,10.100.246.125,,10.164.105.119,,27017,DB2,1301735,3328073
DM_BAP,10.164.105.225,,10.164.105.215,,1433,DB2,3995003,3615464
DM_BAP,10.164.145.63,,10.164.105.228,,5432,SQL,4633890,1998742
DM_BAP,10.164.145.211,,10.164.105.69,,3306,ODBC,4956071,2145900
DM_BAP,10.164.145.250,,10.164.105.253,,1433,SQL,4243804,2070069
DM_BAP,10.100.246.122,,10.164.105.146,,5432,JDBC,1580228,2963873
DM_BAP,10.100.246.235,,10.164.105.129,,3306,DB2,2997320,2132814
DM_BAP,10.164.105.12,,10.164.105.135,,1521,ORACLE,4634684,2513343
DM_BAP,10.164.105.227,,10.164.105.179,,5432,ORACLE,1370218,818898
DM_BAP,10.164.145.106,,10.164.105.30,,27017,JDBC,0,0
DM_BAP,10.100.246.142,,10.164.105.17,,5432,ODBC,2671128,1997653
DM_BAP,10.100.246.148,,10.164.105.134,,3306,SQL,3203409,3857499
DM_BAP,10.164.105.125,,10.164.105.175,,3306,ORACLE,4627734,3338847
DM_BAP,10.164.145.6,,10.164.105.18,,1433,SQL,1121228,2893353
DM_BAP,2001:db8:1a2b:3c4d:d09f:6ec0:3eda:f9b,,2001:db8:548b:87b5:13ea:7ae0:6be1:de7d,,27017,JDBC,3104971,2881092
DM_BAP,10.164.105.41,,10.164.105.44,,1521,JDBC,3864069,1834969
DM_BAP,10.164.105.141,,10.164.105.205,,1521,ODBC,2308450,3562539
