App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_BLZE,10.164.145.209,,10.164.105.249,,1521,TLS,2177190,3522194
DM_BLZE,10.164.105.196,,10.164.105.75,,27017,TLS,1066365,3605353
DM_BLZE,2001:db8:548b:87b5:5ffb:3b71:960f:8b4,,2001:db8:548b:87b5:b38d:e0cb:2a00:930d,,3306,TLS,1015136,3561820
DM_BLZE,10.164.105.216,,10.164.105.146,,5432,DB2,2167020,2518209
DM_BLZE,10.164.105.89,,10.164.105.79,,5432,DB2,0,0
DM_BLZE,10.100.246.198,,10.164.105.192,,5432,DB2,3032364,1789867
DM_BLZE,10.100.246.46,,10.164.105.129,,27017,ODBC,2424319,1203215
DM_BLZE,10.164.105.65,,10.164.105.1,,5432,ORACLE,3540521,1600818
DM_BLZE,2001:db8:1a2b:3c4d:ac15:25de:dfae:d25c,,2001:db8:548b:87b5:b8d5:73fc:ea94:3434,,1433,JDBC,3705912,1446487
DM_BLZE,10.100.246.208,,10.164.105.211,,1433,SQL,0,0
DM_BLZE,2001:db8:2bda:f8d3:5dd0:e7a4:eb2e:2b86,,2001:db8:548b:87b5:ac9f:f95f:8167:4d9b,,3306,DB2,2490410,2656361
DM_BLZE,10.164.105.162,,10.164.105.40,,3306,SQL,4988222,3108860
DM_BLZE,10.164.105.85,,10.164.105.60,,27017,ODBC,3526302,1875179
DM_BLZE,10.100.246.29,,10.164.105.155,,1521,TLS,4844808,1216425
DM_BLZE,10.164.105.169,,10.164.105.184,,1521,JDBC,2580370,2432381
DM_BLZE,10.164.145.105,,10.164.105.49,,3306,JDBC,2304633,2733439
DM_BLZE,10.100.246.21,,10.164.105.28,,27017,ORACLE,1272758,3935656
DM_BLZE,10.164.105.65,,10.164.105.88,,3306,SQL,1431159,3390451
DM_BLZE,10.164.105.123,,10.164.105.26,,1521,JDBC,1727245,765559
DM_BLZE,10.164.145.151,,10.164.105.46,,5432,DB2,0,0
DM_BLZE,10.164.105.182,,10.164.105.185,,1521,ORACLE,4994109,763284
DM_BLZE,2001:db8:2bda:f8d3:4eab:fd0d:cef7:b77e,,2001:db8:548b:87b5:7324:cc7c:2a0:9432,,1521,JDBC,0,0
DM_BLZE,2001:db8:1a2b:3c4d:5017:bace:c49f:2e14,,2001:db8:548b:87b5:b53a:45c3:d6e3:965f,,5432,ORACLE,2365398,1773289
DM_BLZE,10.164.145.50,,10.164.105.72,,27017,ODBC,4597399,3007988
DM_BLZE,10.164.105.157,,10.164.105.42,,1521,JDBC,1096082,2258885
DM_BLZE,10.100.246.195,,10.164.105.194,,27017,TLS,0,0
DM_BLZE,10.100.246.67,,10.164.105.81,,5432,TLS,1562026,3855702
DM_BLZE,10.164.145.213,,10.164.105.64,,1521,ORACLE,3654238,3899702
DM_BLZE,10.164.105.87,,10.164.105.195,,27017,JDBC,4267768,2099953
DM_BLZE,2001:db8:2bda:f8d3:455f:9ac0:a1a5:366b,,2001:db8:548b:87b5:2d8:eb63:fe:6ccc,,3306,JDBC,1583647,3276833
DM_BLZE,10.100.246.180,,10.164.105.252,,3306,ORACLE,3312186,3131075
DM_BLZE,10.164.145.74,,10.164.105.15,,1433,DB2,4828850,1621269
DM_BLZE,10.100.246.65,,10.164.105.130,,27017,ORACLE,2942300,1012110
DM_BLZE,10.164.105.171,,10.164.105.95,,1521,TLS,2389080,3339088
DM_BLZE,10.100.246.11,,10.164.105.75,,27017,TLS,2675346,566838
