App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CCRMBZ,10.164.105.31,,10.164.105.4,,5432,ODBC,1941372,1800922
DM_CCRMBZ,10.100.246.232,,10.164.105.119,,1433,DB2,0,0
DM_CCRMBZ,10.164.105.215,,10.164.105.231,,1433,SQL,4758670,1607410
DM_CCRMBZ,10.164.145.154,,10.164.105.143,,1521,JDBC,3460582,1772847
DM_CCRMBZ,10.100.246.111,,10.164.105.59,,1521,JDBC,0,0
DM_CCRMBZ,10.164.105.83,,10.164.105.247,,1433,DB2,3492890,3769252
DM_CCRMBZ,10.164.105.153,,10.164.105.244,,1521,ODBC,0,0
DM_CCRMBZ,10.100.246.242,,10.164.105.200,,1433,SQL,2518578,1716054
DM_CCRMBZ,10.164.105.236,,10.164.105.76,,27017,JDBC,4314543,2412253
DM_CCRMBZ,10.100.246.107,,10.164.105.151,,5432,JDBC,0,0
DM_CCRMBZ,10.164.145.132,,10.164.105.194,,5432,JDBC,0,0
DM_CCRMBZ,10.100.246.93,,10.164.105.208,,3306,DB2,3178533,1054557
DM_CCRMBZ,10.164.105.17,,10.164.105.226,,1433,ODBC,2841437,3000406
DM_CCRMBZ,2001:db8:1a2b:3c4d:d34e:5d4a:e4a0:e5ff,,2001:db8:548b:87b5:6051:d2a3:24f1:d56e,,1433,ODBC,3471533,1270651
DM_CCRMBZ,10.164.105.35,,10.164.105.43,,1433,DB2,4184690,1499766
DM_CCRMBZ,2001:db8:1a2b:3c4d:6b60:9d92:98d9:d65a,,2001:db8:548b:87b5:2afd:24e3:ea91:c395,,3306,ORACLE,1972358,1307790
DM_CCRMBZ,10.164.145.73,,10.164.105.110,,27017,JDBC,4896818,1463789
DM_CCRMBZ,10.164.105.14,,10.164.105.193,,5432,JDBC,3968384,1450285
DM_CCRMBZ,2001:db8:1a2b:3c4d:a784:84a2:5802:9c5e,,2001:db8:548b:87b5:574d:5150:30d3:a0de,,1433,JDBC,2355258,3765383
DM_CCRMBZ,10.164.145.175,,10.164.105.124,,1521,ODBC,1138438,3794499
DM_CCRMBZ,10.164.105.172,,10.164.105.147,,1433,JDBC,4271021,1928759
DM_CCRMBZ,2001:db8:1a2b:3c4d:4184:4e37:282:a0c6,,2001:db8:548b:87b5:e78e:3f5d:4f9e:e382,,1521,JDBC,2358885,1538431
DM_CCRMBZ,10.164.105.67,,10.164.105.186,,1521,SQL,3011887,2836776
DM_CCRMBZ,10.100.246.228,,10.164.105.203,,3306,DB2,1176342,1459173
DM_CCRMBZ,10.164.145.62,,10.164.105.127,,1433,DB2,1143372,890196
DM_CCRMBZ,10.164.105.205,,10.164.105.212,,27017,ORACLE,4253462,2918812
DM_CCRMBZ,10.164.105.247,,10.164.105.81,,1433,JDBC,1851371,3966031
DM_CCRMBZ,2001:db8:2bda:f8d3:cc15:8832:5cbf:3d01,,2001:db8:548b:87b5:93d2:f0f6:aaa1:e87b,,5432,SQL,0,0
DM_CCRMBZ,10.164.145.3,,10.164.105.241,,1521,DB2,2359715,829592
DM_CCRMBZ,10.164.105.159,,10.164.105.173,,1521,TLS,1629409,588928
DM_CCRMBZ,10.100.246.1,,10.164.105.42,,1433,TLS,2513524,1748046
DM_CCRMBZ,10.164.105.141,,10.164.105.255,,3306,JDBC,0,0
DM_CCRMBZ,10.164.105.207,,10.164.105.212,,1433,ORACLE,2340239,3227278
DM_CCRMBZ,10.164.105.87,,10.164.105.207,,27017,TLS,2876181,1560581
DM_CCRMBZ,10.164.145.203,,10.164.105.28,,27017,ODBC,4810725,3717040
DM_CCRMBZ,10.164.145.103,,10.164.105.6,,5432,JDBC,3129400,2569516
DM_CCRMBZ,10.100.246.110,,10.164.105.203,,1521,JDBC,2787799,705413
DM_CCRMBZ,10.164.105.228,,10.164.105.78,,3306,ORACLE,0,0
DM_CCRMBZ,10.100.246.175,,10.164.105.51,,1433,JDBC,1029223,901201
DM_CCRMBZ,10.100.246.221,,10.164.105.254,,1433,JDBC,0,0
DM_CCRMBZ,2001:db8:2bda:f8d3:2175:47ed:924b:644,,2001:db8:548b:87b5:5a53:2c6e:b88a:f834,,3306,ORACLE,3957118,1126606
DM_CCRMBZ,10.164.145.137,,10.164.105.101,,27017,ODBC,2428017,2620308
DM_CCRMBZ,10.164.105.190,,10.164.105.165,,1521,DB2,2800850,1385050
DM_CCRMBZ,10.164.145.144,,10.164.105.84,,1433,DB2,2401932,3983327
DM_CCRMBZ,10.164.145.158,,10.164.105.93,,27017,SQL,4400333,2461860
DM_CCRMBZ,10.164.145.197,,10.164.105.66,,27017,SQL,1334405,2669006
DM_CCRMBZ,10.164.145.91,,10.164.105.153,,27017,TLS,4994947,3820739
DM_CCRMBZ,10.164.145.222,,10.164.105.236,,3306,ODBC,4698824,3652003
DM_CCRMBZ,10.164.105.101,,10.164.105.175,,27017,SQL,4761182,2439613
DM_CCRMBZ,10.164.105.185,,10.164.105.243,,5432,DB2,4791665,2203309
DM_CCRMBZ,10.164.145.22,,10.164.105.80,,27017,JDBC,1196609,3699831
DM_CCRMBZ,10.100.246.9,,10.164.105.151,,5432,ORACLE,2975099,2937655
DM_CCRMBZ,10.100.246.15,,10.164.105.25,,5432,JDBC,0,0
DM_CCRMBZ,10.164.105.116,,10.164.105.244,,3306,ODBC,2207891,1203773
DM_CCRMBZ,10.100.246.70,,10.164.105.64,,5432,SQL,3490994,1145040
DM_CCRMBZ,10.100.246.118,,10.164.105.27,,1521,JDBC,4010807,1625877
DM_CCRMBZ,10.164.145.51,,10.164.105.170,,1433,ORACLE,2013875,956060
DM_CCRMBZ,2001:db8:548b:87b5:d1d0:cc64:2f31:57fa,,2001:db8:548b:87b5:4235:39de:10da:782b,,1433,SQL,0,0
DM_CCRMBZ,2001:db8:2bda:f8d3:4411:b5a6:858e:59fb,,2001:db8:548b:87b5:bca9:864a:fc2c:64e0,,5432,ODBC,1686120,1162341
DM_CCRMBZ,10.100.246.165,,10.164.105.213,,1433,TLS,4823501,3408915
DM_CCRMBZ,10.164.145.180,,10.164.105.127,,1521,JDBC,4312006,1208043
DM_CCRMBZ,10.164.145.154,,10.164.105.238,,3306,TLS,0,0
DM_CCRMBZ,10.164.145.8,,10.164.105.19,,1521,TLS,2813298,1760866
DM_CCRMBZ,10.100.246.159,,10.164.105.154,,1433,ORACLE,3110733,2550555
DM_CCRMBZ,10.164.105.162,,10.164.105.133,,1521,TLS,3996404,1691770
DM_CCRMBZ,10.164.105.252,,10.164.105.73,,1521,TLS,4081586,2315579
DM_CCRMBZ,10.164.105.115,,10.164.105.100,,3306,SQL,3868526,2909915
DM_CCRMBZ,2001:db8:548b:87b5:b05b:1220:fdc8:9a97,,2001:db8:548b:87b5:836d:24e6:2cad:2d65,,3306,JDBC,2402465,2415427
DM_CCRMBZ,10.100.246.50,,10.164.105.113,,1521,ORACLE,4918544,2519145
DM_CCRMBZ,10.100.246.106,,10.164.105.25,,3306,ORACLE,2774612,1801182
DM_CCRMBZ,10.164.105.243,,10.164.105.129,,27017,DB2,3259612,2069962
DM_CCRMBZ,10.164.145.28,,10.164.105.123,,5432,ORACLE,1187998,1859779
DM_CCRMBZ,10.164.145.127,,10.164.105.67,,1521,SQL,4434520,618855
DM_CCRMBZ,2001:db8:548b:87b5:d65:519e:b2c1:750d,,2001:db8:548b:87b5:64ad:5c24:5744:7fcf,,1521,DB2,3490289,3103194
DM_CCRMBZ,10.164.145.67,,10.164.105.164,,27017,ORACLE,0,0
DM_CCRMBZ,10.100.246.38,,10.164.105.46,,5432,ORACLE,4789212,589428
DM_CCRMBZ,10.100.246.158,,10.164.105.130,,27017,DB2,3990331,2473194
DM_CCRMBZ,10.164.105.183,,10.164.105.254,,1433,DB2,2812957,3845132
DM_CCRMBZ,10.100.246.67,,10.164.105.142,,3306,ODBC,1073188,3787638
DM_CCRMBZ,10.164.145.38,,10.164.105.186,,1433,TLS,1995922,1825159
DM_CCRMBZ,10.164.145.234,,10.164.105.223,,5432,DB2,1174212,1712832
DM_CCRMBZ,10.100.246.197,,10.164.105.183,,1433,TLS,3498322,2368111
DM_CCRMBZ,2001:db8:2bda:f8d3:6c26:38ac:f6df:ca85,,2001:db8:548b:87b5:9b6:914e:97c5:b796,,1521,DB2,4843914,1693403
DM_CCRMBZ,10.164.145.25,,10.164.105.110,,3306,JDBC,3036721,3985709
DM_CCRMBZ,10.164.145.106,,10.164.105.19,,1433,SQL,3753324,980584
DM_CCRMBZ,10.100.246.58,,10.164.105.208,,1433,JDBC,3968399,2746707
DM_CCRMBZ,2001:db8:1a2b:3c4d:eebe:a50d:5a6c:b33e,,2001:db8:548b:87b5:988b:e34c:ee53:a2ef,,1521,SQL,3771756,2979723
DM_CCRMBZ,10.100.246.82,,10.164.105.194,,3306,ODBC,0,0
DM_CCRMBZ,10.100.246.249,,10.164.105.80,,27017,DB2,1470851,3323729
DM_CCRMBZ,10.164.105.79,,10.164.105.98,,3306,ODBC,2475157,2261502
DM_CCRMBZ,10.164.145.14,,10.164.105.113,,1433,DB2,3531935,2359941
DM_CCRMBZ,10.100.246.190,,10.164.105.52,,5432,TLS,2454078,1691415
DM_CCRMBZ,10.164.105.40,,10.164.105.133,,1433,ODBC,0,0
DM_CCRMBZ,10.100.246.213,,10.164.105.230,,1521,SQL,4642322,2853787
DM_CCRMBZ,10.164.145.43,,10.164.105.217,,5432,SQL,2808195,690563
DM_CCRMBZ,10.164.105.205,,10.164.105.106,,3306,SQL,0,0
