App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CMDAT,10.164.145.108,,10.164.105.119,,3306,SQL,4803694,505294
DM_CMDAT,10.164.105.92,,10.164.105.196,,1433,TLS,2459549,1399436
DM_CMDAT,10.100.246.244,,10.164.105.233,,1521,ORACLE,2906017,1407881
DM_CMDAT,10.164.105.79,,10.164.105.139,,1433,JDBC,4010071,3531535
DM_CMDAT,10.100.246.178,,10.164.105.192,,3306,SQL,4504733,3107741
DM_CMDAT,10.164.105.232,,10.164.105.47,,1521,SQL,4881360,1512614
DM_CMDAT,10.164.145.246,,10.164.105.199,,1521,ODBC,2805316,524593
DM_CMDAT,10.164.145.244,,10.164.105.117,,1433,SQL,3548144,1025526
DM_CMDAT,10.164.105.69,,10.164.105.173,,1433,DB2,3925468,3903539
DM_CMDAT,10.164.105.134,,10.164.105.201,,1433,SQL,1875040,3937694
DM_CMDAT,10.164.105.7,,10.164.105.52,,5432,SQL,0,0
DM_CMDAT,10.100.246.121,,10.164.105.128,,3306,TLS,2994123,3417600
DM_CMDAT,2001:db8:1a2b:3c4d:6526:90fc:fc4d:f640,,2001:db8:548b:87b5:26a2:64d7:f702:4b30,,3306,SQL,3534772,3997005
DM_CMDAT,2001:db8:2bda:f8d3:ec85:cb81:9f02:e5f4,,2001:db8:548b:87b5:fc23:322e:63b1:b181,,1521,DB2,3796800,836401
DM_CMDAT,10.164.145.28,,10.164.105.42,,1433,SQL,0,0
DM_CMDAT,10.164.145.132,,10.164.105.129,,27017,TLS,0,0
DM_CMDAT,10.164.145.0,,10.164.105.24,,27017,TLS,3147457,1086915
DM_CMDAT,10.164.105.192,,10.164.105.26,,27017,TLS,4576472,2198185
DM_CMDAT,10.164.145.37,,10.164.105.31,,5432,SQL,3219731,1023738
DM_CMDAT,10.164.105.125,,10.164.105.211,,5432,SQL,0,0
DM_CMDAT,2001:db8:2bda:f8d3:55f:aefc:23c3:fa41,,2001:db8:548b:87b5:c02a:c9eb:369c:5408,,1433,JDBC,4447497,1705556
DM_CMDAT,10.100.246.114,,10.164.105.14,,3306,ORACLE,2734176,1598062
DM_CMDAT,10.164.105.122,,10.164.105.216,,3306,JDBC,2329024,3124274
DM_CMDAT,2001:db8:548b:87b5:461f:4c06:6f3e:5e40,,2001:db8:548b:87b5:3e6a:dedb:d62b:7e36,,27017,ORACLE,3795189,784037
DM_CMDAT,10.100.246.91,,10.164.105.175,,27017,ORACLE,1625727,3163653
DM_CMDAT,10.164.145.89,,10.164.105.194,,3306,JDBC,2933974,2946006
DM_CMDAT,10.100.246.164,,10.164.105.84,,5432,ORACLE,1775984,3079080
DM_CMDAT,10.164.105.142,,10.164.105.127,,1433,TLS,4215957,3450586
DM_CMDAT,10.164.145.59,,10.164.105.38,,3306,SQL,1926045,694331
DM_CMDAT,2001:db8:1a2b:3c4d:647:faf:850d:8003,,2001:db8:548b:87b5:7feb:2b41:8fda:8d85,,5432,DB2,2330701,3446416
DM_CMDAT,10.100.246.28,,10.164.105.198,,3306,TLS,4271551,2519480
DM_CMDAT,10.164.145.87,,10.164.105.182,,1521,JDBC,0,0
DM_CMDAT,10.164.105.120,,10.164.105.239,,1521,ORACLE,2729967,1249008
DM_CMDAT,10.164.105.11,,10.164.105.110,,3306,ORACLE,2358958,2633726
DM_CMDAT,10.164.145.89,,10.164.105.163,,27017,SQL,3472278,2881416
DM_CMDAT,10.164.145.233,,10.164.105.100,,5432,JDBC,3050447,2927952
DM_CMDAT,10.100.246.74,,10.164.105.130,,1433,TLS,0,0
DM_CMDAT,2001:db8:1a2b:3c4d:fcd5:e8e6:3771:39d3,,2001:db8:548b:87b5:ec23:8cc1:f692:a870,,3306,DB2,3979985,2713359
DM_CMDAT,10.164.105.237,,10.164.105.220,,1521,DB2,1672400,2029947
DM_CMDAT,10.164.145.105,,10.164.105.106,,1521,DB2,3277676,680192
DM_CMDAT,10.164.145.74,,10.164.105.85,,5432,TLS,3673842,2843019
DM_CMDAT,10.164.145.56,,10.164.105.20,,27017,ODBC,0,0
DM_CMDAT,10.164.145.218,,10.164.105.180,,27017,SQL,2463542,1126402
DM_CMDAT,10.164.145.32,,10.164.105.229,,27017,DB2,2237012,1077667
DM_CMDAT,10.100.246.35,,10.164.105.223,,3306,TLS,3055446,3071410
DM_CMDAT,10.164.145.202,,10.164.105.167,,3306,DB2,3620205,3567583
DM_CMDAT,10.164.145.9,,10.164.105.9,,1521,SQL,1135732,2652800
DM_CMDAT,10.100.246.131,,10.164.105.65,,1433,ORACLE,4678880,1225271
DM_CMDAT,2001:db8:2bda:f8d3:2277:caa3:73a8:f499,,2001:db8:548b:87b5:527e:3dea:3d99:bd15,,27017,ORACLE,1968522,511830
DM_CMDAT,10.164.105.72,,10.164.105.140,,1433,ORACLE,2387870,3884294
DM_CMDAT,2001:db8:548b:87b5:92b8:7a83:c47c:31f6,,2001:db8:548b:87b5:df06:f85a:1ca2:acb5,,1433,TLS,1927417,1019958
DM_CMDAT,10.164.105.197,,10.164.105.241,,5432,TLS,1038796,1543246
DM_CMDAT,2001:db8:548b:87b5:e8ee:9b:4748:610e,,2001:db8:548b:87b5:f15f:c1be:1074:7f51,,1521,ODBC,2828272,2139820
DM_CMDAT,10.164.145.147,,10.164.105.148,,5432,TLS,0,0
DM_CMDAT,10.164.145.250,,10.164.105.208,,3306,SQL,3433144,2231719
DM_CMDAT,10.164.145.66,,10.164.105.151,,1521,DB2,2504349,525464
DM_CMDAT,2001:db8:1a2b:3c4d:ce59:8832:f6dd:eb39,,2001:db8:548b:87b5:6a6b:77f8:b480:1175,,3306,TLS,1512414,1883684
DM_CMDAT,10.164.105.81,,10.164.105.125,,3306,TLS,1558509,3271004
DM_CMDAT,10.164.145.166,,10.164.105.98,,1433,ODBC,3667413,1775742
DM_CMDAT,10.100.246.29,,10.164.105.156,,1433,ODBC,1731305,1925486
DM_CMDAT,10.100.246.186,,10.164.105.23,,1521,DB2,1485748,1882493
DM_CMDAT,10.164.105.222,,10.164.105.92,,1433,ODBC,3953311,2778756
DM_CMDAT,10.164.145.113,,10.164.105.42,,5432,ODBC,0,0
DM_CMDAT,10.164.105.183,,10.164.105.3,,27017,TLS,2975046,993807
DM_CMDAT,10.164.105.67,,10.164.105.91,,3306,JDBC,2543403,3446574
DM_CMDAT,10.164.105.186,,10.164.105.92,,5432,DB2,4088904,3827977
DM_CMDAT,10.164.105.227,,10.164.105.253,,27017,JDBC,4576020,870203
DM_CMDAT,10.164.105.114,,10.164.105.9,,5432,TLS,4181782,1889817
DM_CMDAT,10.164.105.128,,10.164.105.166,,1521,TLS,0,0
DM_CMDAT,10.164.105.237,,10.164.105.19,,5432,DB2,3765294,1204168
DM_CMDAT,10.164.145.194,,10.164.105.192,,1521,DB2,4839521,2655947
DM_CMDAT,10.100.246.36,,10.164.105.66,,27017,TLS,3665982,2923330
DM_CMDAT,10.100.246.116,,10.164.105.3,,1433,TLS,2177606,2137522
DM_CMDAT,10.100.246.126,,10.164.105.245,,27017,JDBC,1531191,2456820
DM_CMDAT,10.164.105.201,,10.164.105.24,,3306,ORACLE,3184689,3338532
DM_CMDAT,10.100.246.180,,10.164.105.74,,5432,JDBC,4078117,3195714
DM_CMDAT,10.100.246.203,,10.164.105.53,,5432,JDBC,4254538,1485040
DM_CMDAT,10.100.246.124,,10.164.105.26,,27017,TLS,0,0
DM_CMDAT,10.100.246.145,,10.164.105.152,,5432,SQL,2940095,3368866
DM_CMDAT,10.164.105.141,,10.164.105.56,,1433,DB2,2690270,2939115
DM_CMDAT,10.164.105.69,,10.164.105.197,,5432,TLS,2194576,3243880
DM_CMDAT,10.164.105.55,,10.164.105.200,,5432,DB2,2046418,1929765
DM_CMDAT,10.164.145.168,,10.164.105.27,,27017,ODBC,3952969,3783368
DM_CMDAT,10.100.246.160,,10.164.105.230,,3306,JDBC,4866866,3318283
DM_CMDAT,10.100.246.36,,10.164.105.193,,27017,ODBC,2297843,3955314
DM_CMDAT,10.164.145.250,,10.164.105.107,,1433,DB2,0,0
DM_CMDAT,10.164.105.238,,10.164.105.198,,3306,DB2,0,0
DM_CMDAT,10.164.105.111,,10.164.105.198,,3306,JDBC,1623324,1300052
DM_CMDAT,10.164.105.144,,10.164.105.6,,3306,ORACLE,2714632,2939586
DM_CMDAT,10.100.246.170,,10.164.105.22,,3306,TLS,1940397,864897
DM_CMDAT,10.100.246.201,,10.164.105.161,,3306,ORACLE,2923510,1497795
DM_CMDAT,10.164.105.60,,10.164.105.145,,1433,JDBC,1653787,1600928
DM_CMDAT,2001:db8:2bda:f8d3:20c1:ea7c:f7f4:c985,,2001:db8:548b:87b5:7b69:82f:4491:d46,,5432,DB2,2777885,3822772
DM_CMDAT,10.100.246.124,,10.164.105.182,,5432,SQL,2445677,3414457
DM_CMDAT,10.164.145.18,,10.164.105.20,,1521,ODBC,0,0
DM_CMDAT,10.164.105.135,,10.164.105.184,,5432,JDBC,4352593,2471772
DM_CMDAT,2001:db8:2bda:f8d3:25c0:eac3:a286:af80,,2001:db8:548b:87b5:532e:76cc:6b21:3da9,,1433,ODBC,1433556,1145173
DM_CMDAT,2001:db8:1a2b:3c4d:a1df:c05c:b5c8:1c42,,2001:db8:548b:87b5:62de:3811:5d5b:8543,,1433,SQL,3338145,3414935
DM_CMDAT,10.164.105.189,,10.164.105.189,,5432,SQL,0,0
DM_CMDAT,10.164.145.170,,10.164.105.219,,1433,DB2,3090520,2543836
DM_CMDAT,10.100.246.159,,10.164.105.110,,3306,ORACLE,3047485,2219423
DM_CMDAT,10.100.246.31,,10.164.105.134,,1433,TLS,1148334,622606
DM_CMDAT,10.164.145.204,,10.164.105.193,,3306,TLS,4976368,2278757
DM_CMDAT,10.164.145.94,,10.164.105.76,,27017,DB2,2862785,2070870
DM_CMDAT,10.164.105.53,,10.164.105.234,,1521,JDBC,2810538,3198258
DM_CMDAT,10.100.246.34,,10.164.105.174,,1521,TLS,0,0
