App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CMDF,10.164.145.49,,10.164.105.59,,1521,DB2,4821195,3440771
DM_CMDF,10.164.145.128,,10.164.105.210,,1433,TLS,4762574,2646135
DM_CMDF,10.100.246.164,,10.164.105.113,,1521,ORACLE,2018221,1997223
DM_CMDF,10.100.246.107,,10.164.105.26,,1433,TLS,4033375,3412720
DM_CMDF,10.100.246.4,,10.164.105.20,,3306,ORACLE,3754152,2255698
DM_CMDF,10.164.105.68,,10.164.105.4,,5432,SQL,2243639,2792811
DM_CMDF,10.100.246.247,,10.164.105.52,,27017,TLS,1591003,769432
DM_CMDF,10.164.105.130,,10.164.105.143,,5432,ODBC,2621503,520635
DM_CMDF,10.164.105.53,,10.164.105.246,,27017,TLS,4853940,1557258
DM_CMDF,10.164.145.41,,10.164.105.134,,1521,ODBC,2921038,1268235
DM_CMDF,10.164.105.176,,10.164.105.73,,3306,JDBC,2777643,2370719
DM_CMDF,10.100.246.232,,10.164.105.236,,5432,ODBC,2229745,1669290
DM_CMDF,10.164.105.150,,10.164.105.35,,5432,ORACLE,1017915,984637
DM_CMDF,10.164.145.109,,10.164.105.212,,5432,DB2,3525251,2324372
DM_CMDF,10.100.246.32,,10.164.105.106,,1433,SQL,4757310,1545202
DM_CMDF,2001:db8:2bda:f8d3:872a:14b3:fa3a:6c5c,,2001:db8:548b:87b5:4b6b:4bfc:c9a1:db15,,3306,JDBC,2769712,3514727
DM_CMDF,10.164.145.35,,10.164.105.184,,27017,ODBC,4369357,2186374
DM_CMDF,2001:db8:2bda:f8d3:e571:2b6d:de28:e2ca,,2001:db8:548b:87b5:84b9:cc5a:4098:40ba,,3306,SQL,0,0
DM_CMDF,10.164.105.153,,10.164.105.123,,1521,ORACLE,1894140,2345462
DM_CMDF,10.100.246.251,,10.164.105.34,,1433,JDBC,3666485,3220845
DM_CMDF,10.164.105.214,,10.164.105.96,,1521,DB2,0,0
DM_CMDF,10.164.145.251,,10.164.105.95,,1433,JDBC,3263188,3680524
DM_CMDF,10.164.105.39,,10.164.105.163,,5432,TLS,2454235,3111301
DM_CMDF,10.164.105.192,,10.164.105.118,,1433,SQL,2367777,3472297
