App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CMRDB,10.164.145.52,,10.164.105.228,,5432,JDBC,3090490,2499127
DM_CMRDB,2001:db8:2bda:f8d3:4ead:4349:319e:e85a,,2001:db8:548b:87b5:f9e:5c14:262f:b51d,,3306,ODBC,2665985,3064633
DM_CMRDB,10.164.145.64,,10.164.105.199,,5432,TLS,2448348,1220709
DM_CMRDB,10.164.105.114,,10.164.105.123,,27017,DB2,4818999,3502061
DM_CMRDB,10.164.105.132,,10.164.105.20,,1433,TLS,0,0
DM_CMRDB,10.164.145.76,,10.164.105.139,,1433,ODBC,4123211,2507543
DM_CMRDB,2001:db8:1a2b:3c4d:333a:2009:8ed7:c6e6,,2001:db8:548b:87b5:fbc3:387:97f3:3322,,5432,DB2,4525574,1380558
DM_CMRDB,10.164.105.106,,10.164.105.99,,1433,ORACLE,2822322,1466989
DM_CMRDB,10.164.145.181,,10.164.105.204,,27017,ORACLE,1968371,2451832
DM_CMRDB,10.164.145.254,,10.164.105.90,,5432,ORACLE,4149566,2931564
DM_CMRDB,2001:db8:2bda:f8d3:e2a6:fe3:b6e1:aa21,,2001:db8:548b:87b5:4feb:f360:9585:7083,,3306,TLS,2052700,642729
DM_CMRDB,10.164.105.101,,10.164.105.97,,3306,ORACLE,3863869,1019210
DM_CMRDB,10.100.246.107,,10.164.105.143,,1433,SQL,3661778,3713019
DM_CMRDB,2001:db8:1a2b:3c4d:ec02:fbe5:a03d:6600,,2001:db8:548b:87b5:76f9:3385:44f6:3b7a,,1521,ODBC,3484881,2696828
DM_CMRDB,10.164.105.58,,10.164.105.244,,27017,ODBC,3762893,2117501
DM_CMRDB,10.100.246.197,,10.164.105.151,,5432,SQL,2288335,1768574
DM_CMRDB,10.164.145.188,,10.164.105.250,,27017,TLS,4320002,1433055
DM_CMRDB,10.164.105.148,,10.164.105.15,,3306,SQL,3991748,1110143
DM_CMRDB,10.100.246.219,,10.164.105.185,,3306,JDBC,2103412,3544342
DM_CMRDB,10.100.246.109,,10.164.105.19,,27017,ORACLE,2916017,3073663
DM_CMRDB,10.100.246.111,,10.164.105.108,,5432,DB2,1095870,1498338
DM_CMRDB,10.164.105.215,,10.164.105.176,,1521,SQL,3856049,3372880
DM_CMRDB,2001:db8:2bda:f8d3:6f97:ebe0:6568:49f9,,2001:db8:548b:87b5:8625:6527:a63b:d45f,,1521,TLS,2691447,3210494
DM_CMRDB,10.164.105.213,,10.164.105.241,,5432,DB2,4476399,2883376
DM_CMRDB,10.164.145.72,,10.164.105.183,,27017,TLS,0,0
DM_CMRDB,10.164.145.158,,10.164.105.75,,1433,ODBC,1708402,1140486
DM_CMRDB,10.164.105.123,,10.164.105.226,,3306,SQL,3402333,3338136
DM_CMRDB,10.100.246.131,,10.164.105.172,,5432,JDBC,1030294,1343317
DM_CMRDB,10.100.246.146,,10.164.105.212,,1433,SQL,4266084,3278820
DM_CMRDB,10.164.105.29,,10.164.105.251,,1521,ORACLE,1224711,1127539
DM_CMRDB,2001:db8:1a2b:3c4d:f914:cc19:be2f:645,,2001:db8:548b:87b5:bc5f:6153:59d6:27e3,,1433,TLS,1859361,3519128
DM_CMRDB,10.100.246.104,,10.164.105.145,,1433,JDBC,2123661,2866762
DM_CMRDB,10.164.105.200,,10.164.105.2,,27017,DB2,1519432,640027
DM_CMRDB,10.100.246.220,,10.164.105.202,,1521,TLS,4136458,2355413
DM_CMRDB,10.164.145.211,,10.164.105.158,,1433,SQL,4244501,3724554
DM_CMRDB,10.100.246.101,,10.164.105.240,,5432,JDBC,3575460,2022814
DM_CMRDB,10.164.105.220,,10.164.105.29,,1521,JDBC,3514359,1329748
DM_CMRDB,10.164.105.187,,10.164.105.55,,5432,DB2,2468297,3650875
DM_CMRDB,10.164.105.214,,10.164.105.222,,5432,JDBC,2069302,2570969
DM_CMRDB,10.164.145.225,,10.164.105.29,,5432,TLS,1548480,2602073
DM_CMRDB,2001:db8:548b:87b5:6fce:6669:6394:eb4d,,2001:db8:548b:87b5:fcc4:681:eb1b:a989,,3306,JDBC,2855988,2774656
DM_CMRDB,10.164.105.226,,10.164.105.46,,27017,JDBC,4868671,3661043
DM_CMRDB,10.164.105.140,,10.164.105.125,,5432,SQL,1182016,3042713
DM_CMRDB,10.100.246.109,,10.164.105.20,,3306,ODBC,0,0
DM_CMRDB,10.100.246.199,,10.164.105.143,,27017,ODBC,4994243,3183432
DM_CMRDB,10.164.105.118,,10.164.105.183,,27017,SQL,2701630,2995043
DM_CMRDB,10.164.145.52,,10.164.105.182,,1521,ODBC,4450001,1486225
DM_CMRDB,2001:db8:1a2b:3c4d:b85:91ff:8bc0:35bb,,2001:db8:548b:87b5:de26:ec1a:5482:9427,,27017,ODBC,2219441,2101220
DM_CMRDB,10.100.246.30,,10.164.105.108,,1433,ODBC,2088661,2350930
DM_CMRDB,10.100.246.62,,10.164.105.41,,1521,ODBC,1781242,1244150
DM_CMRDB,10.164.145.207,,10.164.105.160,,27017,SQL,4307843,2214527
DM_CMRDB,10.100.246.35,,10.164.105.22,,5432,DB2,1514319,1816407
DM_CMRDB,10.164.145.190,,10.164.105.67,,1433,JDBC,3997454,3499441
DM_CMRDB,2001:db8:2bda:f8d3:5054:e429:83ff:feb5,,2001:db8:548b:87b5:6a2:2cda:dcd3:cdcc,,5432,JDBC,4294224,2521320
DM_CMRDB,10.164.145.15,,10.164.105.35,,5432,ORACLE,4400099,1984031
DM_CMRDB,2001:db8:1a2b:3c4d:e945:c1a5:17b7:6c8d,,2001:db8:548b:87b5:e07:4ee9:8f16:77bd,,1521,TLS,3507092,1738173
DM_CMRDB,10.164.145.97,,10.164.105.205,,5432,TLS,1151758,1994185
DM_CMRDB,10.100.246.113,,10.164.105.210,,1433,JDBC,1341768,2604141
DM_CMRDB,10.164.145.247,,10.164.105.3,,1521,JDBC,3692786,1805220
DM_CMRDB,2001:db8:2bda:f8d3:46b:f9fa:5d9a:9ab5,,2001:db8:548b:87b5:99a4:4102:19f6:36ea,,3306,DB2,3478798,1422760
DM_CMRDB,2001:db8:2bda:f8d3:9394:af39:4789:f077,,2001:db8:548b:87b5:f633:5079:29c7:a8b,,27017,DB2,4655476,3736614
DM_CMRDB,2001:db8:2bda:f8d3:789f:8ea5:edcd:7411,,2001:db8:548b:87b5:62a6:bf49:5948:1c34,,1433,TLS,0,0
DM_CMRDB,10.164.145.92,,10.164.105.212,,3306,TLS,4023316,637677
DM_CMRDB,10.164.105.189,,10.164.105.37,,5432,ODBC,0,0
DM_CMRDB,2001:db8:1a2b:3c4d:e633:1c81:14f5:5a5e,,2001:db8:548b:87b5:bad8:6b9d:aacf:490d,,3306,TLS,4669183,3350227
DM_CMRDB,10.164.145.100,,10.164.105.30,,5432,ORACLE,2498109,2948284
DM_CMRDB,10.164.105.69,,10.164.105.30,,3306,ODBC,1927619,982437
DM_CMRDB,10.164.105.220,,10.164.105.53,,27017,DB2,3952340,2122789
DM_CMRDB,10.164.105.24,,10.164.105.147,,1521,SQL,0,0
DM_CMRDB,2001:db8:2bda:f8d3:c6a6:3c6b:462a:729d,,2001:db8:548b:87b5:c4c8:2b2b:8e8a:474d,,5432,SQL,4133779,3839699
DM_CMRDB,10.100.246.38,,10.164.105.255,,5432,DB2,1159975,3874075
DM_CMRDB,10.164.105.217,,10.164.105.166,,5432,SQL,0,0
DM_CMRDB,10.100.246.170,,10.164.105.17,,3306,ODBC,3903762,2415679
DM_CMRDB,10.100.246.112,,10.164.105.178,,1521,JDBC,3043094,1581675
DM_CMRDB,10.164.145.156,,10.164.105.73,,27017,TLS,3759538,567428
DM_CMRDB,10.100.246.226,,10.164.105.220,,5432,ORACLE,4556652,1299159
DM_CMRDB,10.164.105.232,,10.164.105.207,,27017,ODBC,1358928,3018974
DM_CMRDB,10.164.145.200,,10.164.105.146,,3306,ODBC,3199645,3142473
DM_CMRDB,10.164.105.192,,10.164.105.163,,1521,JDBC,1565185,3781279
DM_CMRDB,10.100.246.228,,10.164.105.198,,1521,DB2,4181610,2136741
DM_CMRDB,10.100.246.204,,10.164.105.222,,3306,DB2,2293697,3003010
DM_CMRDB,10.164.105.211,,10.164.105.247,,1521,TLS,1524019,2160248
DM_CMRDB,10.164.105.251,,10.164.105.151,,3306,DB2,1263844,2026403
DM_CMRDB,10.164.145.105,,10.164.105.44,,3306,TLS,2351779,1120585
DM_CMRDB,10.164.105.77,,10.164.105.174,,1433,TLS,0,0
DM_CMRDB,10.100.246.158,,10.164.105.199,,1433,DB2,1753937,952986
DM_CMRDB,10.164.105.76,,10.164.105.4,,5432,TLS,4809236,3570863
DM_CMRDB,10.164.145.96,,10.164.105.60,,5432,JDBC,0,0
DM_CMRDB,10.100.246.117,,10.164.105.147,,3306,TLS,2015862,1126725
DM_CMRDB,10.164.145.3,,10.164.105.43,,27017,ORACLE,2136100,1582730
DM_CMRDB,10.164.145.141,,10.164.105.38,,1521,SQL,4386672,2757577
DM_CMRDB,10.164.145.135,,10.164.105.100,,1433,TLS,4674004,2520452
DM_CMRDB,10.100.246.155,,10.164.105.23,,1521,ORACLE,4892189,981326
DM_CMRDB,10.164.145.47,,10.164.105.111,,27017,ODBC,4943997,2873344
DM_CMRDB,10.100.246.41,,10.164.105.55,,1521,TLS,1178822,3872297
DM_CMRDB,10.164.105.83,,10.164.105.209,,1433,SQL,3178178,3739499
DM_CMRDB,10.164.145.170,,10.164.105.185,,1433,JDBC,2894393,1683803
DM_CMRDB,10.164.145.213,,10.164.105.109,,5432,TLS,3106667,2692272
DM_CMRDB,2001:db8:1a2b:3c4d:fdfc:ec1c:c1d7:8eda,,2001:db8:548b:87b5:a060:17e4:d2ef:5ed9,,5432,SQL,2239113,3636718
DM_CMRDB,10.164.145.167,,10.164.105.59,,1433,DB2,3207825,3350295
DM_CMRDB,10.164.145.169,,10.164.105.23,,5432,ORACLE,2411003,2033116
DM_CMRDB,10.164.145.241,,10.164.105.81,,5432,DB2,2851285,2163922
DM_CMRDB,10.164.105.22,,10.164.105.65,,27017,JDBC,3076784,1755053
DM_CMRDB,10.100.246.228,,10.164.105.40,,3306,TLS,1233268,3124664
