App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CMREG,10.100.246.110,,10.164.105.12,,3306,ORACLE,3624026,641240
DM_CMREG,10.164.105.2,,10.164.105.175,,1433,ORACLE,3597590,3121416
DM_CMREG,2001:db8:548b:87b5:a623:2276:e97e:225f,,2001:db8:548b:87b5:66f6:efa8:9f58:ecde,,3306,ORACLE,1089467,3018248
DM_CMREG,10.164.145.183,,10.164.105.204,,5432,SQL,0,0
DM_CMREG,10.100.246.60,,10.164.105.180,,1521,SQL,4373523,1254977
DM_CMREG,10.164.145.13,,10.164.105.60,,27017,ORACLE,0,0
DM_CMREG,10.164.105.2,,10.164.105.11,,3306,SQL,1840865,828775
DM_CMREG,10.100.246.19,,10.164.105.196,,3306,JDBC,4387939,732643
DM_CMREG,10.100.246.16,,10.164.105.121,,5432,DB2,2247057,2725861
DM_CMREG,10.100.246.183,,10.164.105.227,,27017,ODBC,2875151,1358043
DM_CMREG,10.100.246.76,,10.164.105.138,,5432,TLS,3676321,3351745
DM_CMREG,10.164.145.191,,10.164.105.43,,3306,JDBC,3038513,1109598
DM_CMREG,10.100.246.70,,10.164.105.223,,3306,SQL,3461559,1989128
DM_CMREG,2001:db8:548b:87b5:deee:3ce8:2f46:43a2,,2001:db8:548b:87b5:a582:6b3d:5d79:23d8,,1433,TLS,4246413,2714032
DM_CMREG,10.164.145.172,,10.164.105.173,,1521,JDBC,2022061,724972
DM_CMREG,2001:db8:548b:87b5:9ede:b0e:d4a0:2c01,,2001:db8:548b:87b5:4da7:2051:d84f:b1fe,,27017,TLS,2902044,2126050
DM_CMREG,10.164.145.150,,10.164.105.144,,1521,JDBC,4711016,3490527
DM_CMREG,10.100.246.69,,10.164.105.130,,1433,SQL,0,0
DM_CMREG,10.164.145.227,,10.164.105.211,,5432,JDBC,2454038,3787723
DM_CMREG,10.164.145.188,,10.164.105.170,,27017,JDBC,1326329,760059
DM_CMREG,10.100.246.78,,10.164.105.228,,5432,ODBC,2258396,2374971
DM_CMREG,10.164.105.252,,10.164.105.139,,27017,SQL,4665317,1254637
DM_CMREG,10.164.145.64,,10.164.105.111,,1433,JDBC,1622370,1709880
DM_CMREG,10.164.145.247,,10.164.105.240,,1521,JDBC,0,0
DM_CMREG,10.164.105.186,,10.164.105.145,,5432,JDBC,3387358,3385634
DM_CMREG,10.164.105.54,,10.164.105.223,,3306,ODBC,1828282,3342666
DM_CMREG,10.100.246.250,,10.164.105.60,,5432,ORACLE,2526784,2958379
DM_CMREG,10.164.145.230,,10.164.105.220,,5432,ODBC,3617519,3579615
DM_CMREG,10.164.145.79,,10.164.105.78,,3306,ODBC,3850197,2524487
DM_CMREG,10.164.145.144,,10.164.105.188,,3306,DB2,2158907,932931
DM_CMREG,10.164.145.28,,10.164.105.173,,5432,SQL,2410921,2830709
DM_CMREG,10.164.105.172,,10.164.105.186,,3306,ODBC,1516008,2278228
DM_CMREG,10.100.246.109,,10.164.105.104,,1433,SQL,3933309,3705663
DM_CMREG,10.100.246.182,,10.164.105.3,,27017,SQL,1384440,625700
DM_CMREG,10.164.145.150,,10.164.105.102,,1433,DB2,1372430,2054227
DM_CMREG,10.100.246.164,,10.164.105.81,,27017,DB2,2915922,2945576
DM_CMREG,10.164.105.23,,10.164.105.124,,1433,DB2,1151191,2695769
DM_CMREG,10.100.246.179,,10.164.105.12,,1521,DB2,2545826,2059465
DM_CMREG,10.100.246.40,,10.164.105.47,,5432,DB2,4528328,1358193
DM_CMREG,10.164.105.24,,10.164.105.16,,3306,JDBC,3877176,3343175
DM_CMREG,10.100.246.221,,10.164.105.124,,27017,ODBC,1178530,1275698
