App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_CORD,10.164.145.54,,10.164.105.178,,5432,ODBC,3139089,1890208
DM_CORD,10.164.145.166,,10.164.105.122,,1433,TLS,0,0
DM_CORD,10.164.105.97,,10.164.105.120,,3306,JDBC,2879292,840368
DM_CORD,10.164.145.210,,10.164.105.116,,5432,JDBC,4554420,2263606
DM_CORD,2001:db8:2bda:f8d3:327c:ff9d:5ae8:d92c,,2001:db8:548b:87b5:a81f:79c0:8f15:84cf,,1521,ORACLE,3880576,1952761
DM_CORD,10.100.246.172,,10.164.105.112,,5432,TLS,2119795,1684536
DM_CORD,10.164.105.211,,10.164.105.233,,27017,ODBC,4668033,2704665
DM_CORD,10.164.145.69,,10.164.105.54,,1521,DB2,2910639,3769988
DM_CORD,10.164.105.11,,10.164.105.158,,1521,ODBC,1523429,3781166
DM_CORD,10.100.246.227,,10.164.105.187,,1433,TLS,0,0
DM_CORD,10.164.145.11,,10.164.105.159,,1433,JDBC,0,0
DM_CORD,10.164.105.76,,10.164.105.221,,5432,ORACLE,2260887,3954955
DM_CORD,10.100.246.132,,10.164.105.212,,1521,ODBC,0,0
DM_CORD,2001:db8:548b:87b5:c751:8f37:7758:f668,,2001:db8:548b:87b5:3e00:0:3b1e:4290,,1433,SQL,4257120,697158
DM_CORD,10.164.145.14,,10.164.105.237,,3306,ORACLE,2291668,2077930
DM_CORD,10.100.246.247,,10.164.105.131,,1521,JDBC,4165704,1396698
DM_CORD,2001:db8:2bda:f8d3:fb8c:799f:836f:e96e,,2001:db8:548b:87b5:76cb:28e1:cd84:3c95,,27017,JDBC,4684068,3606663
DM_CORD,10.164.145.133,,10.164.105.206,,3306,JDBC,0,0
DM_CORD,10.164.145.53,,10.164.105.98,,1521,DB2,3146047,2286794
DM_CORD,10.164.145.126,,10.164.105.42,,5432,SQL,3891300,2089454
DM_CORD,2001:db8:2bda:f8d3:76b6:1e94:2a82:536a,,2001:db8:548b:87b5:7981:5276:d11f:522,,3306,DB2,2137609,1515159
DM_CORD,10.164.145.79,,10.164.105.181,,1433,ODBC,2241589,618843
DM_CORD,10.100.246.169,,10.164.105.107,,3306,ODBC,2322054,883399
DM_CORD,10.164.145.63,,10.164.105.37,,5432,SQL,0,0
DM_CORD,10.164.145.70,,10.164.105.14,,1521,ODBC,3050176,929751
DM_CORD,10.100.246.104,,10.164.105.27,,5432,DB2,4653839,1039365
DM_CORD,10.164.105.135,,10.164.105.83,,1433,TLS,4289071,2336009
DM_CORD,10.100.246.187,,10.164.105.102,,5432,JDBC,3809238,1070799
DM_CORD,10.164.145.209,,10.164.105.55,,5432,TLS,3802111,3706325
DM_CORD,10.164.105.138,,10.164.105.72,,1521,ODBC,3239500,1654323
DM_CORD,10.164.145.224,,10.164.105.162,,3306,JDBC,2683912,2722845
DM_CORD,10.164.105.30,,10.164.105.54,,27017,SQL,3434917,3926862
DM_CORD,10.164.145.93,,10.164.105.98,,3306,ORACLE,2456838,2828511
DM_CORD,10.164.105.28,,10.164.105.105,,5432,TLS,4673770,3204652
DM_CORD,10.164.105.14,,10.164.105.253,,1521,SQL,4661033,2584880
DM_CORD,10.100.246.230,,10.164.105.108,,5432,SQL,4306632,3813217
