App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_DNCCW,10.164.105.155,,10.164.105.204,,1433,ODBC,2582451,3048317
DM_DNCCW,10.164.105.2,,10.164.105.158,,27017,ORACLE,2713267,2620468
DM_DNCCW,10.164.105.8,,10.164.105.167,,27017,SQL,1758193,1901727
DM_DNCCW,10.100.246.244,,10.164.105.94,,1433,ODBC,3372153,3649004
DM_DNCCW,10.164.145.167,,10.164.105.229,,3306,TLS,3046156,1527804
DM_DNCCW,10.164.105.84,,10.164.105.242,,5432,DB2,2960941,1241702
DM_DNCCW,10.164.145.129,,10.164.105.128,,1433,ODBC,0,0
DM_DNCCW,2001:db8:548b:87b5:faf6:4908:c56:a792,,2001:db8:548b:87b5:8361:339c:debe:25aa,,27017,ORACLE,4413137,2802242
DM_DNCCW,10.100.246.241,,10.164.105.86,,5432,SQL,3533656,1568799
DM_DNCCW,10.100.246.184,,10.164.105.42,,1433,JDBC,3607108,3466532
DM_DNCCW,10.164.145.153,,10.164.105.139,,27017,DB2,3265898,1455706
DM_DNCCW,10.164.145.126,,10.164.105.14,,1433,DB2,3429769,3608824
DM_DNCCW,10.100.246.34,,10.164.105.69,,3306,TLS,3071816,2571293
DM_DNCCW,10.100.246.1,,10.164.105.46,,3306,TLS,0,0
DM_DNCCW,10.164.145.187,,10.164.105.92,,1521,DB2,3630596,1142943
DM_DNCCW,2001:db8:2bda:f8d3:af8c:3779:c286:34da,,2001:db8:548b:87b5:110a:98b7:adcb:b057,,27017,DB2,0,0
DM_DNCCW,10.164.145.125,,10.164.105.62,,27017,JDBC,4838372,2288649
DM_DNCCW,2001:db8:2bda:f8d3:9f57:411a:2ed4:a97b,,2001:db8:548b:87b5:f2d6:28b4:d921:a628,,1433,DB2,3038254,3165916
DM_DNCCW,10.100.246.7,,10.164.105.3,,1521,TLS,3895166,941235
DM_DNCCW,10.100.246.40,,10.164.105.237,,5432,ODBC,4535358,1391563
DM_DNCCW,10.164.105.158,,10.164.105.122,,3306,SQL,4288996,2640407
DM_DNCCW,10.164.105.37,,10.164.105.160,,1433,SQL,2276934,2326045
DM_DNCCW,2001:db8:1a2b:3c4d:8d6d:55bf:b0a0:95fe,,2001:db8:548b:87b5:2224:d21c:2c3:72f7,,27017,ORACLE,1781715,639161
DM_DNCCW,2001:db8:1a2b:3c4d:2af0:6f48:3474:344,,2001:db8:548b:87b5:666:de8b:33a:fd4a,,3306,JDBC,1746369,1612743
DM_DNCCW,10.164.145.179,,10.164.105.95,,1433,TLS,2612208,1171832
DM_DNCCW,10.164.145.83,,10.164.105.45,,1521,ORACLE,1414095,2331455
DM_DNCCW,10.164.105.84,,10.164.105.110,,1433,ORACLE,0,0
DM_DNCCW,10.164.145.205,,10.164.105.228,,1521,JDBC,1473703,3868884
DM_DNCCW,10.100.246.210,,10.164.105.69,,1521,JDBC,0,0
DM_DNCCW,10.164.105.131,,10.164.105.86,,1433,ODBC,0,0
DM_DNCCW,10.100.246.153,,10.164.105.42,,5432,ODBC,1875417,3187359
DM_DNCCW,10.100.246.6,,10.164.105.184,,1521,ORACLE,3551539,2689031
DM_DNCCW,2001:db8:1a2b:3c4d:708:2f97:57bc:5663,,2001:db8:548b:87b5:cb9d:138f:5285:a7db,,27017,DB2,2088244,2604704
DM_DNCCW,10.164.105.250,,10.164.105.228,,3306,DB2,4278557,2582779
DM_DNCCW,10.100.246.251,,10.164.105.25,,1521,TLS,3345171,3247482
DM_DNCCW,10.100.246.230,,10.164.105.201,,5432,SQL,4484534,669187
DM_DNCCW,10.164.105.167,,10.164.105.3,,1433,DB2,4786491,1185435
DM_DNCCW,10.100.246.226,,10.164.105.124,,3306,TLS,3300566,1286005
