App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_LEDAT,2001:db8:2bda:f8d3:f2e4:400d:14de:c4ee,,2001:db8:548b:87b5:b582:8358:a428:3ea5,,1433,JDBC,4546974,3599908
DM_LEDAT,10.100.246.198,,10.164.105.248,,5432,JDBC,3204502,2520542
DM_LEDAT,10.100.246.209,,10.164.105.101,,27017,DB2,0,0
DM_LEDAT,10.100.246.26,,10.164.105.133,,3306,TLS,2630246,2893704
DM_LEDAT,10.164.145.177,,10.164.105.40,,5432,ODBC,0,0
DM_LEDAT,2001:db8:548b:87b5:1c50:94e:28e:2548,,2001:db8:548b:87b5:dcbc:fb88:809d:e93b,,1433,ORACLE,0,0
DM_LEDAT,10.100.246.177,,10.164.105.115,,1521,ODBC,2761864,3805601
DM_LEDAT,10.164.105.96,,10.164.105.178,,1433,ODBC,1864383,3189275
DM_LEDAT,10.164.105.200,,10.164.105.148,,27017,ORACLE,3184549,1797667
DM_LEDAT,2001:db8:548b:87b5:b5be:51a8:f96e:8963,,2001:db8:548b:87b5:7801:8d81:28ca:fb6b,,3306,DB2,4155782,1034610
DM_LEDAT,10.100.246.227,,10.164.105.155,,1433,TLS,1868299,3637967
DM_LEDAT,2001:db8:1a2b:3c4d:c97b:e1ad:3ab1:534d,,2001:db8:548b:87b5:69c4:b61f:d6cc:298d,,27017,DB2,3159445,3396174
DM_LEDAT,2001:db8:2bda:f8d3:fc26:e00b:aa8b:dafb,,2001:db8:548b:87b5:8feb:2881:112d:f282,,1521,ORACLE,0,0
DM_LEDAT,10.100.246.40,,10.164.105.238,,27017,ODBC,1125913,3895453
DM_LEDAT,10.164.105.197,,10.164.105.201,,1433,ORACLE,3730205,3520075
DM_LEDAT,10.164.145.37,,10.164.105.126,,1433,ORACLE,4991538,1868891
DM_LEDAT,10.164.145.98,,10.164.105.102,,1433,TLS,3563183,706562
DM_LEDAT,10.100.246.142,,10.164.105.15,,1433,ORACLE,2515095,1417326
DM_LEDAT,10.100.246.55,,10.164.105.102,,5432,ORACLE,4102272,1938436
DM_LEDAT,10.100.246.168,,10.164.105.212,,1521,ODBC,3441283,3148113
DM_LEDAT,10.100.246.127,,10.164.105.27,,1433,SQL,3102710,2407463
DM_LEDAT,10.164.145.64,,10.164.105.203,,3306,SQL,2191344,3111312
DM_LEDAT,10.164.145.182,,10.164.105.81,,27017,TLS,3119514,1498071
DM_LEDAT,10.164.145.37,,10.164.105.167,,5432,DB2,3462481,2457922
DM_LEDAT,10.100.246.45,,10.164.105.125,,1521,ODBC,2712155,1976599
DM_LEDAT,10.164.145.85,,10.164.105.68,,1433,TLS,1455169,2880254
DM_LEDAT,10.100.246.12,,10.164.105.67,,5432,JDBC,3356774,1605368
DM_LEDAT,10.100.246.131,,10.164.105.163,,1433,ODBC,4496605,3892301
DM_LEDAT,10.164.145.121,,10.164.105.223,,5432,SQL,1069020,3758738
DM_LEDAT,10.164.145.46,,10.164.105.188,,5432,JDBC,4021001,2178892
DM_LEDAT,10.164.145.106,,10.164.105.186,,3306,JDBC,0,0
DM_LEDAT,2001:db8:548b:87b5:7db:5cc9:75ad:3c06,,2001:db8:548b:87b5:68e6:33a6:3ad0:482a,,27017,TLS,0,0
DM_LEDAT,10.164.145.0,,10.164.105.71,,3306,DB2,4885671,3158713
DM_LEDAT,10.100.246.51,,10.164.105.34,,1521,ORACLE,4180757,2923637
DM_LEDAT,10.164.105.219,,10.164.105.112,,3306,ODBC,4960505,573199
DM_LEDAT,10.164.105.128,,10.164.105.114,,5432,ODBC,0,0
DM_LEDAT,10.100.246.1,,10.164.105.177,,5432,ODBC,3056817,3878632
DM_LEDAT,10.164.145.208,,10.164.105.250,,1521,ODBC,2332307,1593202
DM_LEDAT,10.100.246.124,,10.164.105.38,,5432,ODBC,0,0
DM_LEDAT,10.164.105.138,,10.164.105.217,,27017,JDBC,3076827,3630057
DM_LEDAT,10.164.145.181,,10.164.105.219,,1521,JDBC,1243828,1174561
DM_LEDAT,10.164.145.90,,10.164.105.216,,3306,ODBC,2326392,1641362
DM_LEDAT,10.164.145.16,,10.164.105.167,,1521,JDBC,2282849,559262
DM_LEDAT,10.164.105.62,,10.164.105.161,,1433,JDBC,0,0
DM_LEDAT,2001:db8:1a2b:3c4d:ecda:fac9:e393:8d98,,2001:db8:548b:87b5:f02c:ddd2:81a7:e180,,1433,SQL,2849805,3680441
DM_LEDAT,10.100.246.254,,10.164.105.144,,1433,ORACLE,4159306,2901050
DM_LEDAT,10.164.145.141,,10.164.105.53,,1521,ORACLE,3409112,2727717
DM_LEDAT,10.164.105.34,,10.164.105.112,,1521,ORACLE,1843591,555668
DM_LEDAT,2001:db8:1a2b:3c4d:a32c:b76a:8aa3:f160,,2001:db8:548b:87b5:1a83:35cb:1158:faf8,,1521,JDBC,1823421,3669619
DM_LEDAT,10.100.246.7,,10.164.105.150,,27017,ORACLE,2185675,764465
DM_LEDAT,10.164.105.18,,10.164.105.116,,3306,ORACLE,3339675,2774325
DM_LEDAT,10.164.105.199,,10.164.105.220,,1433,DB2,4487106,1193396
DM_LEDAT,10.164.105.36,,10.164.105.103,,1521,SQL,3716506,1391090
DM_LEDAT,10.164.105.111,,10.164.105.236,,5432,SQL,3806497,3434844
