App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_RDOM,2001:db8:1a2b:3c4d:81d:4b79:36ee:84a5,,2001:db8:548b:87b5:ce1c:230c:295b:260d,,27017,TLS,3769230,3826048
DM_RDOM,10.164.145.217,,10.164.105.51,,5432,ODBC,3123578,2440259
DM_RDOM,10.164.105.35,,10.164.105.60,,5432,DB2,3256655,1891727
DM_RDOM,10.100.246.214,,10.164.105.230,,3306,DB2,2614954,1874439
DM_RDOM,10.100.246.34,,10.164.105.73,,1521,JDBC,1697287,2557490
DM_RDOM,10.100.246.187,,10.164.105.84,,27017,SQL,0,0
DM_RDOM,10.164.145.149,,10.164.105.51,,5432,TLS,3841167,2849897
DM_RDOM,10.164.145.238,,10.164.105.116,,5432,DB2,1899697,2411483
DM_RDOM,10.100.246.164,,10.164.105.188,,1433,JDBC,3072065,591429
DM_RDOM,2001:db8:1a2b:3c4d:4165:406c:d5a8:f2bc,,2001:db8:548b:87b5:1871:40a0:d8ee:dee8,,5432,TLS,0,0
DM_RDOM,10.164.145.227,,10.164.105.189,,1521,ODBC,1624939,1500097
DM_RDOM,10.164.145.216,,10.164.105.159,,1433,DB2,4224291,3047063
DM_RDOM,10.100.246.82,,10.164.105.90,,27017,TLS,3111003,3275467
DM_RDOM,10.164.105.78,,10.164.105.232,,5432,ORACLE,2084743,2969146
DM_RDOM,10.100.246.76,,10.164.105.191,,27017,DB2,3015113,3392616
DM_RDOM,10.100.246.164,,10.164.105.141,,5432,ODBC,3133764,2435427
DM_RDOM,10.100.246.124,,10.164.105.247,,1521,DB2,4521150,3439584
DM_RDOM,10.100.246.73,,10.164.105.181,,27017,TLS,1231288,3839063
DM_RDOM,10.164.105.61,,10.164.105.165,,1433,ORACLE,1008482,3720599
DM_RDOM,10.164.145.10,,10.164.105.131,,3306,DB2,2468821,2081339
DM_RDOM,2001:db8:548b:87b5:d8c2:ccf2:6597:af91,,2001:db8:548b:87b5:5a24:b53f:7700:4b05,,1521,ODBC,2836344,963467
DM_RDOM,10.100.246.239,,10.164.105.52,,1433,ODBC,1893348,3609192
DM_RDOM,2001:db8:548b:87b5:b003:8c52:605:b82,,2001:db8:548b:87b5:19c6:efa4:a10b:752,,1433,TLS,2937160,2167820
DM_RDOM,10.164.105.17,,10.164.105.73,,5432,TLS,2308668,1534209
DM_RDOM,10.164.145.34,,10.164.105.163,,5432,JDBC,2765834,1643825
DM_RDOM,2001:db8:548b:87b5:d37f:4be6:dde:abcc,,2001:db8:548b:87b5:ce90:ecde:624a:8deb,,3306,JDBC,3740439,687918
DM_RDOM,10.164.145.200,,10.164.105.55,,5432,SQL,1137634,3281341
DM_RDOM,10.164.145.121,,10.164.105.131,,27017,DB2,4652600,2476627
DM_RDOM,10.164.145.28,,10.164.105.221,,1433,ODBC,2826312,2202656
DM_RDOM,10.164.145.166,,10.164.105.119,,3306,TLS,2164826,1157550
DM_RDOM,10.100.246.210,,10.164.105.142,,5432,ORACLE,1938113,3441361
DM_RDOM,10.100.246.222,,10.164.105.37,,27017,ODBC,3791432,550443
DM_RDOM,10.164.145.16,,10.164.105.170,,3306,ODBC,1783457,985467
DM_RDOM,10.164.105.197,,10.164.105.151,,5432,SQL,4490327,2061496
DM_RDOM,2001:db8:2bda:f8d3:70c2:79c7:7b9:606b,,2001:db8:548b:87b5:bc2d:c193:fe2e:e930,,5432,TLS,3087613,535227
DM_RDOM,10.100.246.191,,10.164.105.18,,1433,JDBC,3229702,2566583
DM_RDOM,10.164.145.64,,10.164.105.97,,27017,SQL,3443345,3430386
DM_RDOM,10.164.145.162,,10.164.105.203,,3306,JDBC,4666895,2174231
DM_RDOM,10.164.145.196,,10.164.105.95,,5432,SQL,0,0
DM_RDOM,10.100.246.228,,10.164.105.185,,27017,DB2,1842032,2490708
DM_RDOM,10.164.105.111,,10.164.105.34,,1433,ORACLE,4366412,1329992
DM_RDOM,10.164.105.10,,10.164.105.33,,1433,JDBC,2774653,3384497
DM_RDOM,10.164.105.213,,10.164.105.45,,5432,ODBC,0,0
DM_RDOM,2001:db8:1a2b:3c4d:ea7b:306f:cdf5:d2c0,,2001:db8:548b:87b5:55db:e05d:c520:1e2a,,3306,ORACLE,1534800,3331775
DM_RDOM,10.164.105.20,,10.164.105.48,,1521,DB2,2131504,2714699
DM_RDOM,10.100.246.226,,10.164.105.37,,27017,JDBC,0,0
DM_RDOM,10.100.246.128,,10.164.105.126,,5432,ODBC,3322819,3293516
DM_RDOM,10.100.246.61,,10.164.105.69,,27017,ODBC,1461229,2544863
DM_RDOM,10.164.145.7,,10.164.105.9,,27017,SQL,3272641,3882406
DM_RDOM,10.164.105.21,,10.164.105.61,,1521,SQL,1807781,1408613
DM_RDOM,10.164.105.17,,10.164.105.57,,1521,TLS,2422301,2079805
DM_RDOM,10.164.105.221,,10.164.105.19,,3306,TLS,1443175,3762721
DM_RDOM,2001:db8:548b:87b5:6b03:568b:4daf:9991,,2001:db8:548b:87b5:1338:dbcf:a2e9:3a9d,,1433,SQL,2879120,3979007
DM_RDOM,10.100.246.58,,10.164.105.76,,5432,TLS,3373900,2696495
DM_RDOM,10.164.145.26,,10.164.105.234,,27017,SQL,3135942,3954363
DM_RDOM,10.100.246.164,,10.164.105.38,,1433,ORACLE,1018873,2927348
DM_RDOM,10.164.145.132,,10.164.105.221,,1433,SQL,3880851,1984580
DM_RDOM,10.164.145.214,,10.164.105.200,,1433,SQL,4567762,2648703
DM_RDOM,10.164.105.176,,10.164.105.29,,3306,SQL,4888613,2602644
DM_RDOM,10.164.105.51,,10.164.105.203,,5432,SQL,1165526,2716115
DM_RDOM,10.100.246.165,,10.164.105.97,,3306,ORACLE,0,0
DM_RDOM,10.164.105.250,,10.164.105.197,,1521,SQL,4845564,1281605
DM_RDOM,10.100.246.186,,10.164.105.185,,5432,ODBC,2344672,2782070
