App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_SBADJ,10.164.145.66,,10.164.105.244,,1433,DB2,4666410,2893602
DM_SBADJ,2001:db8:1a2b:3c4d:5500:26bf:3df3:7555,,2001:db8:548b:87b5:64cc:3dc5:a7c9:4eed,,3306,JDBC,2692191,1728433
DM_SBADJ,10.164.105.185,,10.164.105.166,,1521,JDBC,3032196,660983
DM_SBADJ,10.164.105.33,,10.164.105.151,,3306,TLS,2093181,1641467
DM_SBADJ,10.100.246.208,,10.164.105.205,,3306,TLS,0,0
DM_SBADJ,2001:db8:2bda:f8d3:5b62:1efb:4285:85c4,,2001:db8:548b:87b5:8c7c:62f0:b5c6:2bcc,,27017,SQL,4639733,3690205
DM_SBADJ,10.164.105.84,,10.164.105.161,,5432,DB2,1042973,3383268
DM_SBADJ,2001:db8:548b:87b5:f1fa:7f:8080:910b,,2001:db8:548b:87b5:12d1:f4b9:35f4:27a6,,27017,DB2,3101703,985307
DM_SBADJ,10.100.246.52,,10.164.105.114,,3306,DB2,4598422,3128598
DM_SBADJ,10.164.145.92,,10.164.105.49,,1521,SQL,1424245,2098122
DM_SBADJ,10.164.105.197,,10.164.105.78,,1433,SQL,1971544,968515
DM_SBADJ,10.164.105.55,,10.164.105.65,,1433,ODBC,3489335,2599578
DM_SBADJ,10.164.145.181,,10.164.105.255,,27017,TLS,4950271,1796372
DM_SBADJ,10.100.246.30,,10.164.105.231,,1433,DB2,4790573,1471149
DM_SBADJ,2001:db8:548b:87b5:7efc:35a4:c625:4ab7,,2001:db8:548b:87b5:6c9f:ca8:eece:61db,,3306,SQL,0,0
DM_SBADJ,10.164.105.229,,10.164.105.44,,5432,ODBC,1154735,1611109
DM_SBADJ,2001:db8:2bda:f8d3:42e0:5a09:6e1d:adaa,,2001:db8:548b:87b5:caa3:2b67:e726:2935,,27017,TLS,2198759,3555132
DM_SBADJ,10.100.246.58,,10.164.105.112,,1433,TLS,3339183,686800
DM_SBADJ,10.164.105.69,,10.164.105.10,,3306,JDBC,4399837,2796721
DM_SBADJ,10.100.246.200,,10.164.105.166,,3306,TLS,2310545,1228211
DM_SBADJ,10.164.145.248,,10.164.105.144,,1521,TLS,2304398,2331057
