App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DM_WMAHR,10.100.246.130,,10.164.105.207,,27017,ORACLE,1648720,3202644
DM_WMAHR,10.100.246.253,,10.164.105.9,,1433,TLS,4153881,1523011
DM_WMAHR,10.100.246.244,,10.164.105.214,,27017,SQL,2971412,1363094
DM_WMAHR,2001:db8:2bda:f8d3:db41:8f9f:4631:d28,,2001:db8:548b:87b5:1f63:faa7:745f:4126,,27017,ORACLE,3397673,2372198
DM_WMAHR,10.164.105.221,,10.164.105.217,,1433,TLS,4160615,740634
DM_WMAHR,2001:db8:2bda:f8d3:29e7:d83:5d62:4823,,2001:db8:548b:87b5:40cc:5d0a:d6ae:bc0b,,27017,SQL,3759101,3220607
DM_WMAHR,2001:db8:548b:87b5:9451:a436:dd5b:1869,,2001:db8:548b:87b5:728f:566c:db7b:69a2,,1521,JDBC,1109714,3135493
DM_WMAHR,10.100.246.108,,10.164.105.212,,1521,ODBC,3774842,1770920
DM_WMAHR,10.164.105.246,,10.164.105.56,,1521,SQL,2490813,3876242
DM_WMAHR,10.164.145.69,,10.164.105.186,,1521,TLS,3924319,858830
DM_WMAHR,10.164.105.144,,10.164.105.18,,27017,TLS,3902338,3112994
DM_WMAHR,10.164.105.67,,10.164.105.189,,3306,ODBC,3057773,1583542
DM_WMAHR,10.100.246.137,,10.164.105.182,,5432,SQL,3975937,3306425
DM_WMAHR,10.100.246.209,,10.164.105.107,,5432,ORACLE,3893433,1638699
DM_WMAHR,2001:db8:548b:87b5:c7c4:d17c:373f:bc4e,,2001:db8:548b:87b5:7306:7e2d:af92:47bf,,1433,ODBC,1548367,2714476
DM_WMAHR,10.164.145.243,,10.164.105.199,,5432,JDBC,3819626,2628650
DM_WMAHR,10.100.246.139,,10.164.105.80,,1433,TLS,0,0
DM_WMAHR,10.164.105.15,,10.164.105.95,,1433,ODBC,3857763,1784430
DM_WMAHR,10.100.246.146,,10.164.105.100,,5432,TLS,1193706,737535
DM_WMAHR,10.164.105.52,,10.164.105.221,,3306,SQL,3005711,2579244
DM_WMAHR,10.100.246.131,,10.164.105.71,,1433,SQL,1445313,2261922
DM_WMAHR,10.164.145.57,,10.164.105.199,,1433,ORACLE,0,0
DM_WMAHR,10.164.105.88,,10.164.105.175,,3306,JDBC,0,0
DM_WMAHR,10.164.105.218,,10.164.105.243,,1521,JDBC,3014768,3120946
DM_WMAHR,10.164.105.23,,10.164.105.10,,1521,JDBC,1824921,1404958
DM_WMAHR,10.100.246.9,,10.164.105.72,,1433,ORACLE,2256830,1471813
DM_WMAHR,10.100.246.89,,10.164.105.142,,5432,JDBC,0,0
DM_WMAHR,10.100.246.180,,10.164.105.60,,3306,DB2,3400664,1760502
DM_WMAHR,10.164.145.34,,10.164.105.54,,3306,JDBC,3320699,2438387
DM_WMAHR,10.164.105.222,,10.164.105.182,,5432,JDBC,1402184,844390
DM_WMAHR,2001:db8:2bda:f8d3:fbde:7e54:6280:6750,,2001:db8:548b:87b5:40f9:8fb9:9464:e261,,27017,ORACLE,4973875,1716688
DM_WMAHR,10.164.145.246,,10.164.105.182,,5432,TLS,4718732,1166968
DM_WMAHR,10.164.145.242,,10.164.105.245,,5432,ORACLE,3633218,2806418
DM_WMAHR,10.100.246.124,,10.164.105.4,,3306,TLS,4666661,2381367
DM_WMAHR,2001:db8:2bda:f8d3:d063:b17a:3450:315a,,2001:db8:548b:87b5:288b:d296:66a9:f9fa,,5432,DB2,2478493,1329917
DM_WMAHR,10.100.246.74,,10.164.105.142,,5432,TLS,3833560,3746497
DM_WMAHR,10.164.105.73,,10.164.105.202,,1433,JDBC,4197301,3467052
DM_WMAHR,10.100.246.137,,10.164.105.40,,27017,ORACLE,2829555,2355741
DM_WMAHR,10.164.105.254,,10.164.105.196,,1521,JDBC,0,0
DM_WMAHR,10.164.145.193,,10.164.105.195,,3306,SQL,4501617,3642992
DM_WMAHR,10.164.105.112,,10.164.105.38,,27017,TLS,0,0
DM_WMAHR,2001:db8:2bda:f8d3:e554:4216:b451:483d,,2001:db8:548b:87b5:ce40:9d75:75cf:289b,,1521,JDBC,1564767,2996205
DM_WMAHR,10.100.246.127,,10.164.105.233,,3306,DB2,2771393,2028458
DM_WMAHR,10.164.105.202,,10.164.105.113,,5432,SQL,1125678,831130
DM_WMAHR,10.164.145.40,,10.164.105.15,,5432,DB2,3143949,1767279
DM_WMAHR,10.164.145.46,,10.164.105.112,,1521,ODBC,3912548,694286
DM_WMAHR,10.100.246.236,,10.164.105.140,,3306,JDBC,1387031,2391679
DM_WMAHR,10.164.105.119,,10.164.105.3,,1521,ORACLE,3959682,3436844
DM_WMAHR,10.164.105.109,,10.164.105.232,,3306,ORACLE,4497285,2997979
DM_WMAHR,10.164.145.42,,10.164.105.2,,5432,DB2,3372636,1220601
