App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNACA,10.100.160.215,,10.164.144.98,,80,TCP,1487919,3876296
DNACA,10.164.116.106,,10.165.116.87,,8443,HTTPS,2757917,2514013
DNACA,10.100.160.254,,10.100.246.146,,8443,HTTPS,3349360,885619
DNACA,10.100.160.243,,10.165.116.162,,3306,TCP,785847,2903194
DNACA,10.165.116.68,,10.164.116.13,,8080,HTTP,1970936,2627453
DNACA,2001:db8:1a2b:3c4d:cc9e:3c75:c872:9915,,2001:db8:2bda:f8d3:a8e6:74:6027:ddc3,,8081,HTTP,2510420,3286626
DNACA,10.100.160.103,,10.164.105.142,,,TCP,3105535,3575730
DNACA,10.100.160.181,,10.164.144.230,,5432,TCP,0,0
DNACA,10.164.105.56,,10.100.160.79,,80,HTTP,2810834,3907930
DNACA,2001:db8:2bda:f8d3:8800:35d0:a72c:fe95,,2001:db8:ea19:a1e1:7a13:a0be:4d9:5667,,443,HTTPS,1248772,1265274
DNACA,10.164.116.208,,10.164.144.206,,8443,HTTPS,2978537,1678894
DNACA,10.100.160.27,,10.164.105.138,,80,TCP,0,0
DNACA,10.100.160.175,,10.164.105.232,,8081,HTTP,1375479,2035410
DNACA,10.100.246.202,,10.100.246.185,,8443,HTTPS,3801075,907740
DNACA,10.164.116.154,,10.164.116.42,,5432,TCP,2279578,1460740
DNACA,10.100.246.77,,10.100.160.123,,1521,TCP,3837965,3759325
DNACA,10.164.144.248,,10.164.105.11,,80,HTTP,3613548,1673733
DNACA,10.100.246.236,,10.100.246.112,,1521,TCP,791705,2378229
DNACA,10.100.160.35,,10.165.116.213,,80,TCP,2513825,3468386
DNACA,2001:db8:1a2b:3c4d:cec:56e2:d79c:4a0d,,2001:db8:ea19:a1e1:1f2b:7ddf:65e8:84b4,,443,HTTPS,1023811,1918084
DNACA,10.164.105.30,,10.165.116.137,,22,TCP,1958349,2653414
DNACA,10.165.116.145,,10.165.116.211,,80,HTTP,2481167,2708555
DNACA,2001:db8:2582:6d22:dced:669a:11b8:d395,,2001:db8:548b:87b5:82e2:b59d:ee1e:d617,,22,TCP,2369351,2268774
DNACA,10.100.246.78,,10.165.116.131,,5432,TCP,2327297,3207191
DNACA,10.164.145.129,,10.164.116.95,,443,HTTPS,151213,3760406
DNACA,2001:db8:2bda:f8d3:e63d:e1fc:1096:e6a4,,2001:db8:2582:6d22:415:a644:5adc:dffc,,,TCP,3463252,1006308
