App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNADP,2001:db8:ea19:a1e1:f576:b4e0:ea01:992d,,2001:db8:ea19:a1e1:6677:bc0:b438:b799,,8443,HTTPS,2644710,923083
DNADP,10.164.144.133,,10.164.145.139,,8443,HTTPS,1063424,1273660
DNADP,10.164.144.253,,10.164.145.213,,443,HTTPS,804744,3799360
DNADP,10.164.144.155,,10.164.144.119,,80,HTTP2-SSL,2979978,2767035
DNADP,10.100.246.90,,10.164.145.60,,8081,HTTP,638190,1075593
DNADP,10.100.246.236,,10.164.145.85,,8081,HTTP,1457969,1239550
DNADP,10.100.246.158,,10.164.145.198,,80,HTTP,740173,1350063
DNADP,2001:db8:1a2b:3c4d:1d02:fa19:871f:804a,,2001:db8:2bda:f8d3:c04e:5dfa:c95b:6b5e,,8443,HTTP2-SSL,1089535,2871692
DNADP,10.164.144.40,,10.164.144.162,,443,HTTPS,0,0
DNADP,10.100.246.66,,10.164.145.232,,8443,HTTPS,875100,3120434
DNADP,2001:db8:ea19:a1e1:d35a:e53:e61c:4c8d,,2001:db8:2bda:f8d3:107e:d9af:52e8:19a5,,,HTTP-TUNNEL/HTTPS,1212600,1454735
DNADP,10.100.246.229,,10.164.144.16,,443,HTTPS,2872655,3537512
DNADP,10.100.246.2,,10.164.145.38,,5432,HTTP2-SSL,845464,3754958
DNADP,10.100.246.73,,10.164.145.251,,443,HTTPS,0,0
DNADP,10.164.144.222,,10.164.144.104,,8443,HTTP2-SSL,2020098,914179
DNADP,10.100.246.67,,10.164.145.166,,80,HTTP,1809919,3216723
DNADP,10.100.246.18,,10.164.144.185,,8081,HTTP,1917366,1221505
DNADP,10.100.246.226,,10.164.145.103,,8081,HTTP,1128431,2030677
DNADP,10.100.246.173,,10.164.144.214,,8443,HTTP-TUNNEL/HTTPS,2863343,1009244
DNADP,10.164.144.246,,10.164.145.142,,443,HTTPS,924376,3266434
DNADP,10.164.144.14,,10.164.144.152,,8080,HTTP,1093967,3659108
DNADP,10.100.246.220,,10.164.145.123,,8080,HTTP,0,0
