App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNAEP,10.164.105.83,,10.164.116.243,,80,HTTP,2014170,1432135
DNAEP,10.164.145.63,,10.165.116.129,,80,HTTP,1103418,1982546
DNAEP,10.164.144.160,,10.164.145.211,,443,HTTPS,0,0
DNAEP,10.164.105.253,,10.165.116.245,,80,HTTP,3835641,3118134
DNAEP,2001:db8:2bda:f8d3:a0bf:8d48:99c2:e92b,,2001:db8:4c3a:9f21:5282:d852:fc31:5e87,,8081,HTTP,2105479,3000835
DNAEP,10.100.246.125,,10.164.116.47,,8080,HTTP,381222,2275894
DNAEP,10.100.160.210,,10.164.116.35,,80,HTTP,3436698,1049854
DNAEP,10.100.246.61,,10.165.116.123,,,TCP,697325,3221495
DNAEP,2001:db8:2bda:f8d3:8405:c6a5:9d6e:d0d6,,2001:db8:1a2b:3c4d:6703:b075:40bb:bcf3,,8080,HTTP,2478261,2140575
DNAEP,10.164.145.152,,10.164.116.137,,,TCP,2462005,2825624
DNAEP,2001:db8:ea19:a1e1:615a:b9c7:770f:5152,,2001:db8:2bda:f8d3:b35c:8d7e:1385:9066,,443,HTTPS,3861172,1168131
DNAEP,10.164.144.83,,10.164.144.9,,80,HTTP,3700777,1716154
DNAEP,10.164.105.218,,10.164.116.214,,443,HTTPS,0,0
DNAEP,10.164.145.45,,10.164.145.161,,,TCP,161156,1242460
DNAEP,2001:db8:548b:87b5:2538:5ee9:cd30:a6e4,,2001:db8:2bda:f8d3:846b:c7a5:6c53:e0a6,,8080,TCP,2114838,1983515
DNAEP,10.100.246.101,,10.165.116.123,,3306,TCP,1928253,3629221
DNAEP,10.164.144.137,,10.164.144.131,,8080,HTTP,0,0
DNAEP,10.100.160.89,,10.100.160.186,,,TCP,0,0
DNAEP,2001:db8:548b:87b5:fdc4:e6a9:e0cf:8211,,2001:db8:ea19:a1e1:a370:d7aa:2e3b:b239,,80,HTTP,988984,1172197
DNAEP,10.100.160.144,,10.164.105.219,,443,HTTPS,634666,3531808
DNAEP,2001:db8:1a2b:3c4d:694e:e99f:fa94:1cbb,,2001:db8:1a2b:3c4d:2c6c:1056:ace8:29a4,,8080,HTTP,0,0
DNAEP,10.100.246.88,,10.100.246.58,,8081,HTTP,981460,3570177
DNAEP,10.100.246.134,,10.100.160.92,,8081,HTTP,3099270,3533013
DNAEP,10.165.116.216,,10.100.160.1,,8081,HTTP,2244057,455079
DNAEP,10.165.116.232,,10.164.105.170,,1521,TCP,3348985,281896
DNAEP,10.164.144.162,,10.165.116.9,,8081,HTTP,3778142,2346787
DNAEP,2001:db8:548b:87b5:13fd:abf:59f0:3243,,2001:db8:ea19:a1e1:6e46:18dc:a509:dd04,,3306,TCP,3335066,2582480
DNAEP,10.164.145.122,,10.164.105.0,,389,TCP,1244506,1687899
DNAEP,10.165.116.128,,10.100.246.138,,3306,TCP,0,0
DNAEP,10.164.145.107,,10.100.246.55,,8443,HTTPS,3979173,300618
DNAEP,10.164.145.175,,10.164.144.96,,443,HTTPS,3661518,259155
DNAEP,10.100.160.107,,10.100.246.95,,443,HTTPS,3790700,1728932
DNAEP,10.100.160.188,,10.164.105.177,,8443,HTTPS,3534953,719365
DNAEP,10.164.116.196,,10.164.105.176,,8443,HTTPS,2391622,3000120
DNAEP,10.164.145.124,,10.165.116.148,,3306,TCP,433226,2362812
DNAEP,10.164.116.225,,10.165.116.95,,443,HTTPS,2947315,3650402
DNAEP,10.100.160.124,,10.100.246.228,,443,HTTPS,150822,2961012
