App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNAGR,10.100.160.149,,10.100.160.206,,443,HTTPS,3592085,1991158
DNAGR,10.164.116.163,,10.164.145.193,,8443,HTTPS,114865,3857920
DNAGR,10.164.144.228,,10.165.116.182,,8443,HTTPS,0,0
DNAGR,10.100.246.67,,10.164.144.17,,8080,HTTP,3816445,2880869
DNAGR,2001:db8:2582:6d22:e2fc:bbdb:c07:ebef,,2001:db8:1a2b:3c4d:499b:8946:fb1a:71f7,,443,HTTPS,2754102,1773109
DNAGR,10.164.105.253,,10.164.116.97,,443,HTTPS,273783,725141
DNAGR,10.100.246.137,,10.100.246.6,,8443,HTTPS,1087871,2765274
DNAGR,10.165.116.0,,10.100.160.61,,8443,TCP,3276408,1767503
DNAGR,10.100.160.36,,10.100.160.202,,8443,HTTPS,3991523,625652
DNAGR,2001:db8:2bda:f8d3:646e:3298:fb5f:965d,,2001:db8:1a2b:3c4d:6b98:82ae:a98b:a830,,80,HTTP,222435,2149814
DNAGR,10.164.145.174,,10.164.116.215,,80,HTTP,0,0
DNAGR,10.100.160.98,,10.100.246.5,,443,HTTPS,415559,3189149
DNAGR,10.165.116.91,,10.164.145.46,,80,HTTP,0,0
DNAGR,10.164.105.196,,10.164.144.193,,8443,HTTPS,984139,258056
DNAGR,2001:db8:548b:87b5:18af:27a9:3c32:362f,,2001:db8:2bda:f8d3:23ea:5fb3:7da0:d3a5,,,TCP,1361216,1702160
DNAGR,10.164.105.59,,10.164.116.19,,80,HTTP,0,0
DNAGR,10.100.160.251,,10.164.145.232,,443,HTTPS,403666,1172218
DNAGR,2001:db8:ea19:a1e1:b851:887c:8876:dbb4,,2001:db8:2582:6d22:74c2:fb47:1853:f0a2,,8443,HTTPS,3318691,1738740
DNAGR,10.100.160.169,,10.164.116.189,,8080,HTTP,0,0
DNAGR,10.100.160.204,,10.164.145.236,,8443,HTTPS,2755961,2570740
DNAGR,10.100.246.42,,10.164.116.10,,443,HTTPS,3213366,3558691
DNAGR,10.165.116.205,,10.100.160.161,,80,TCP,2356732,118702
DNAGR,10.164.145.108,,10.164.105.12,,8081,HTTP,3530215,2384090
DNAGR,10.100.246.1,,10.164.144.12,,22,TCP,1565967,1515792
