App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNASA,2001:db8:548b:87b5:b14f:7ce1:9278:978b,,2001:db8:ea19:a1e1:e776:3526:72cf:1873,,8081,HTTP,1229589,3376177
DNASA,10.164.105.242,,10.100.246.248,,,TCP,2334130,2109929
DNASA,10.164.145.108,,10.164.144.170,,80,HTTP,2907512,2350652
DNASA,10.164.144.29,,10.100.246.18,,8443,HTTPS,1147929,1220024
DNASA,10.100.246.41,,10.100.160.7,,80,HTTP,291092,2943557
DNASA,10.164.105.244,,10.100.246.176,,80,HTTP,1000930,3359628
DNASA,10.100.246.95,,10.100.160.245,,8080,HTTP,1984602,1609612
DNASA,10.164.105.211,,10.165.116.165,,8081,HTTP,1610325,202634
DNASA,10.164.116.244,,10.164.105.85,,8443,HTTPS,1399730,3769145
DNASA,10.164.145.26,,10.164.144.27,,1521,TCP,1799571,2788860
DNASA,10.164.145.227,,10.164.105.178,,389,TCP,1300226,1307237
DNASA,10.164.144.159,,10.100.160.190,,5432,TCP,989226,3309275
DNASA,2001:db8:4c3a:9f21:85c7:7ead:10cf:dbb1,,2001:db8:548b:87b5:5927:4ba9:9de9:4184,,8443,HTTPS,785903,847275
DNASA,10.100.160.126,,10.164.145.77,,80,HTTP,2683685,2900676
DNASA,10.164.116.44,,10.100.160.41,,443,HTTPS,3710262,552752
DNASA,10.100.160.235,,10.100.246.150,,1521,TCP,2388009,2716072
DNASA,10.165.116.79,,10.164.105.224,,,TCP,1036804,2970798
DNASA,10.164.116.105,,10.164.105.156,,8080,HTTP,3024446,2267530
DNASA,10.165.116.41,,10.164.116.200,,443,HTTPS,3038575,3969316
DNASA,10.164.116.157,,10.164.116.161,,443,HTTPS,2363526,1328571
DNASA,10.164.116.162,,10.100.160.83,,443,HTTPS,3896633,3011899
DNASA,10.164.144.14,,10.100.160.164,,8080,TCP,1861276,183205
DNASA,10.164.116.31,,10.164.105.71,,8443,HTTPS,3985760,1509330
DNASA,10.164.116.164,,10.164.116.191,,443,HTTPS,2785963,815422
DNASA,2001:db8:ea19:a1e1:3de4:bdb7:84b7:c531,,2001:db8:2582:6d22:35af:32ab:dde7:efac,,443,HTTPS,1561939,2539076
DNASA,2001:db8:2bda:f8d3:2c24:3e06:b780:63e1,,2001:db8:2bda:f8d3:cf97:93e3:2d2b:3dc4,,443,HTTPS,3242138,859692
DNASA,10.164.116.52,,10.164.144.196,,,TCP,2051314,1232424
DNASA,10.100.246.64,,10.164.105.210,,80,TCP,0,0
DNASA,10.164.144.38,,10.164.145.22,,80,HTTP,3376486,2747956
DNASA,10.100.246.140,,10.164.105.106,,5432,TCP,108639,861089
