App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNBCI,10.164.145.187,,10.164.145.203,,80,HTTP,3079424,1792239
DNBCI,10.165.116.253,,10.100.160.19,,443,TCP,1609893,3124485
DNBCI,2001:db8:2bda:f8d3:ba3f:4f2c:f4e2:1338,,2001:db8:2bda:f8d3:1866:d97e:df5b:692d,,5432,TCP,3971294,2227925
DNBCI,10.100.160.159,,10.100.246.186,,8080,TCP,3547493,3130059
DNBCI,10.100.160.78,,10.164.116.86,,80,HTTP,3839566,1440318
DNBCI,10.100.246.121,,10.100.246.23,,80,HTTP,586221,1046598
DNBCI,2001:db8:548b:87b5:7928:46ea:229c:c46a,,2001:db8:2bda:f8d3:a272:79aa:d87c:89,,389,TCP,2162820,249991
DNBCI,10.100.246.115,,10.100.160.112,,8080,HTTP,1600344,1785460
DNBCI,10.165.116.78,,10.164.144.133,,22,TCP,1346077,2322456
DNBCI,10.164.144.176,,10.164.144.184,,8081,HTTP,974515,3562880
DNBCI,10.165.116.235,,10.164.144.64,,8081,HTTP,1728705,104064
DNBCI,10.164.105.233,,10.164.105.189,,3306,TCP,165092,1497321
DNBCI,10.164.105.165,,10.100.246.19,,8443,HTTPS,1455073,2343564
DNBCI,10.164.116.68,,10.100.246.83,,8080,TCP,276709,1157205
DNBCI,2001:db8:2bda:f8d3:92fb:be72:1067:25b0,,2001:db8:2bda:f8d3:cd8b:cc3d:cc06:371c,,8081,HTTP,0,0
DNBCI,10.165.116.55,,10.164.116.68,,389,TCP,1824519,2949299
DNBCI,10.164.144.1,,10.164.105.67,,8443,HTTPS,1483639,1349678
DNBCI,10.165.116.87,,10.164.145.147,,8443,TCP,2999717,651555
DNBCI,2001:db8:ea19:a1e1:2121:32b3:30d0:7f88,,2001:db8:ea19:a1e1:293e:e1ca:ac0d:5bc8,,443,HTTPS,1496329,357412
DNBCI,10.165.116.119,,10.164.144.171,,,TCP,2634056,1453561
DNBCI,2001:db8:2582:6d22:96a0:4823:2f0d:1582,,2001:db8:2582:6d22:4659:f3d:84fa:62f1,,8443,HTTPS,3454795,1676432
DNBCI,10.165.116.232,,10.100.246.234,,8443,HTTPS,0,0
DNBCI,10.165.116.0,,10.164.145.238,,5432,TCP,1131731,3858612
DNBCI,10.164.145.96,,10.164.116.62,,8443,HTTPS,1874492,2070832
DNBCI,10.164.144.101,,10.164.116.219,,1521,TCP,1447424,3504315
DNBCI,10.164.116.230,,10.100.160.232,,8080,TCP,2999141,1361331
DNBCI,10.164.144.221,,10.164.105.85,,443,HTTPS,795222,880447
DNBCI,10.100.246.100,,10.164.145.42,,3306,TCP,840721,3127744
DNBCI,10.164.144.74,,10.164.116.248,,443,HTTPS,3335531,2536482
DNBCI,10.100.246.21,,10.100.246.49,,8080,HTTP,412099,820455
DNBCI,10.164.145.79,,10.165.116.128,,8080,HTTP,0,0
DNBCI,10.100.160.112,,10.165.116.116,,8443,HTTPS,245146,1272483
DNBCI,10.165.116.96,,10.100.160.100,,8443,HTTPS,1267420,573691
DNBCI,10.164.105.119,,10.165.116.106,,8443,HTTPS,2232654,2800849
DNBCI,10.165.116.11,,10.164.144.174,,,TCP,2529784,2780192
DNBCI,10.164.116.176,,10.164.105.30,,443,HTTPS,1548560,3491604
DNBCI,2001:db8:2bda:f8d3:ae4f:e8b4:b2b9:7b7a,,2001:db8:2bda:f8d3:174:12e6:396:1432,,443,TCP,2438547,1927591
DNBCI,10.100.246.201,,10.164.105.233,,8080,HTTP,3116105,2742857
DNBCI,10.165.116.137,,10.164.144.127,,8443,HTTPS,2810869,1697290
DNBCI,2001:db8:2bda:f8d3:9245:b54c:6188:87db,,2001:db8:1a2b:3c4d:d6a0:16b1:aa21:60c4,,8081,HTTP,102834,3230124
DNBCI,10.100.160.188,,10.100.160.135,,443,HTTPS,3438589,563768
DNBCI,2001:db8:1a2b:3c4d:fa7c:230f:4da3:dacf,,2001:db8:1a2b:3c4d:7219:3dc5:687c:fb4e,,443,HTTPS,3396520,2815237
DNBCI,10.164.144.160,,10.100.160.205,,8080,HTTP,248489,1141677
DNBCI,10.164.145.147,,10.100.246.166,,,TCP,753819,198407
DNBCI,10.100.160.115,,10.100.160.71,,8081,HTTP,381657,1337033
DNBCI,10.164.144.106,,10.100.160.244,,1521,TCP,897187,3433972
DNBCI,10.164.105.210,,10.100.160.126,,443,HTTPS,2696677,3932271
DNBCI,10.100.160.95,,10.164.144.83,,80,HTTP,3193834,3706722
DNBCI,10.164.116.224,,10.164.105.237,,5432,TCP,1318326,1281997
DNBCI,10.100.246.18,,10.164.145.238,,443,HTTPS,0,0
DNBCI,2001:db8:ea19:a1e1:1bf0:5ffa:962:af1c,,2001:db8:2bda:f8d3:25f:6965:c578:a314,,8081,HTTP,2785066,1347013
DNBCI,2001:db8:2bda:f8d3:a725:382c:961f:1a0f,,2001:db8:4c3a:9f21:478b:dfb:688:6280,,443,HTTPS,3567120,329197
DNBCI,10.164.144.86,,10.164.116.98,,443,HTTPS,3170085,3623021
DNBCI,10.164.145.145,,10.164.144.106,,,TCP,0,0
DNBCI,10.164.145.30,,10.164.144.234,,1521,TCP,0,0
DNBCI,10.164.105.4,,10.100.246.111,,389,TCP,2254043,2011383
DNBCI,2001:db8:2582:6d22:6e3f:4391:c550:f3bb,,2001:db8:ea19:a1e1:cf52:d3bb:f777:6d24,,443,HTTPS,1221026,586605
DNBCI,10.164.144.206,,10.164.105.10,,8443,HTTPS,605164,1214992
DNBCI,10.164.116.79,,10.164.144.33,,80,HTTP,2364433,1728570
DNBCI,10.164.144.40,,10.164.144.222,,,TCP,0,0
DNBCI,10.164.105.98,,10.165.116.134,,443,TCP,2814373,3694549
DNBCI,10.100.160.255,,10.164.105.95,,8080,HTTP,1003666,609550
DNBCI,2001:db8:2bda:f8d3:130a:ae92:e58d:67fe,,2001:db8:2582:6d22:1c3:f43d:2547:b8a9,,80,TCP,2389000,2817703
DNBCI,10.100.160.90,,10.100.160.153,,5432,TCP,0,0
DNBCI,10.100.160.65,,10.165.116.162,,,TCP,0,0
DNBCI,2001:db8:4c3a:9f21:c83a:4d51:3cd0:3541,,2001:db8:2bda:f8d3:c5c8:a431:44d5:fb07,,,TCP,2663378,2964740
DNBCI,10.100.160.231,,10.100.246.56,,443,HTTPS,2875646,3039391
DNBCI,10.165.116.229,,10.165.116.156,,443,HTTPS,1506899,3077864
DNBCI,10.165.116.182,,10.164.145.135,,443,HTTPS,1349286,3068280
DNBCI,2001:db8:2582:6d22:a50f:fe4c:42b6:9b8b,,2001:db8:2582:6d22:b5b7:8f19:efd5:1617,,8443,HTTPS,3622572,1934360
DNBCI,10.164.144.171,,10.164.144.35,,8080,TCP,3031142,3782463
DNBCI,10.164.145.218,,10.164.144.252,,8080,HTTP,2690111,2267007
DNBCI,10.164.116.34,,10.165.116.5,,80,HTTP,2241949,2998959
DNBCI,10.164.144.114,,10.165.116.183,,,TCP,3712293,3817873
DNBCI,10.164.144.232,,10.164.105.91,,8443,TCP,3419595,1913082
DNBCI,10.164.116.83,,10.100.160.8,,8080,TCP,2573089,3503860
DNBCI,10.100.160.195,,10.164.145.205,,,TCP,2458259,3942940
DNBCI,10.164.116.56,,10.100.246.44,,80,TCP,2924478,1103984
