App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNBIT,10.100.160.200,,10.164.116.247,,,TCP,186563,3348597
DNBIT,10.100.246.111,,10.164.145.177,,5432,TCP,2795962,2168741
DNBIT,10.164.105.10,,10.164.105.13,,443,HTTPS,1525052,3587472
DNBIT,10.164.144.111,,10.165.116.22,,8081,HTTP,2708429,883574
DNBIT,10.165.116.18,,10.100.246.179,,8080,HTTP,3992845,1337295
DNBIT,2001:db8:4c3a:9f21:c65b:ad8e:49b5:49cc,,2001:db8:2bda:f8d3:2076:3fc9:d81f:45f,,5432,TCP,0,0
DNBIT,10.100.160.21,,10.100.246.225,,80,HTTP,2537985,593462
DNBIT,10.100.160.107,,10.164.105.211,,8081,HTTP,0,0
DNBIT,2001:db8:ea19:a1e1:f95d:852c:17f4:9201,,2001:db8:2582:6d22:7a6d:befb:c44e:9e72,,8080,HTTP,1657553,197687
DNBIT,10.100.246.142,,10.164.144.96,,8080,HTTP,2791425,3752393
DNBIT,10.164.105.228,,10.100.246.181,,443,HTTPS,3846072,843914
DNBIT,2001:db8:4c3a:9f21:8f17:34f0:d2c0:6cd,,2001:db8:2bda:f8d3:e83d:c3c8:928:c6d3,,443,HTTPS,993003,1880484
DNBIT,10.164.116.184,,10.100.246.202,,8080,HTTP,3679524,953030
DNBIT,10.164.144.127,,10.164.105.132,,8443,HTTPS,1293089,946995
DNBIT,2001:db8:ea19:a1e1:2bb8:41c3:1aca:94c5,,2001:db8:4c3a:9f21:8bb2:5f9b:754c:30d3,,443,HTTPS,970269,2166027
DNBIT,10.164.144.127,,10.164.144.73,,8443,TCP,0,0
DNBIT,10.164.144.12,,10.165.116.237,,8080,HTTP,3054023,2282109
DNBIT,10.164.144.204,,10.164.116.43,,443,HTTPS,2191626,3791196
DNBIT,10.165.116.143,,10.164.144.114,,8443,HTTPS,3224153,2916029
DNBIT,10.100.160.222,,10.164.144.72,,22,TCP,2993305,3623485
DNBIT,2001:db8:ea19:a1e1:9a0:5b9f:f24e:2646,,2001:db8:ea19:a1e1:61ae:3df3:b963:36e2,,443,HTTPS,2294555,2824997
DNBIT,10.164.105.169,,10.100.160.72,,,TCP,2565210,1429861
DNBIT,10.164.116.111,,10.164.105.98,,8443,HTTPS,1251036,1577557
DNBIT,10.164.144.21,,10.165.116.90,,389,TCP,0,0
DNBIT,10.164.105.114,,10.164.105.114,,8443,HTTPS,3891638,1072437
DNBIT,10.164.144.31,,10.165.116.168,,8080,HTTP,1034173,3362807
DNBIT,10.164.116.110,,10.164.116.53,,443,HTTPS,2842758,1169242
DNBIT,10.164.144.146,,10.164.145.84,,8443,HTTPS,2353262,3439386
DNBIT,10.164.105.40,,10.164.116.162,,,TCP,3864349,769616
DNBIT,10.164.116.2,,10.164.116.209,,5432,TCP,3841990,1891797
DNBIT,10.165.116.81,,10.164.116.158,,,TCP,3654804,1868084
DNBIT,2001:db8:4c3a:9f21:d167:8ac0:8e89:ea97,,2001:db8:2bda:f8d3:a041:fba8:4b69:97f6,,389,TCP,1775212,912178
DNBIT,10.100.160.193,,10.164.105.199,,443,HTTPS,2294355,602492
DNBIT,10.165.116.22,,10.164.116.70,,8443,HTTPS,3428833,1487229
DNBIT,10.165.116.114,,10.100.160.39,,8081,HTTP,944746,192943
DNBIT,10.165.116.53,,10.100.246.21,,8081,HTTP,2309802,3019332
DNBIT,10.164.144.183,,10.164.144.31,,443,HTTPS,3925321,1101381
DNBIT,10.164.105.91,,10.164.144.76,,8443,HTTPS,1555685,1246614
DNBIT,10.164.145.254,,10.100.246.55,,8081,HTTP,2161304,3257316
DNBIT,10.164.105.234,,10.164.144.157,,8080,TCP,292198,3542601
DNBIT,10.100.160.28,,10.164.144.226,,8443,HTTPS,1975851,1972589
DNBIT,10.164.144.164,,10.100.246.97,,8443,HTTPS,2130722,3436263
DNBIT,10.100.246.30,,10.164.116.112,,8080,HTTP,976519,1011325
DNBIT,2001:db8:2bda:f8d3:47e5:2f3a:78c5:7200,,2001:db8:548b:87b5:bc0d:b6b7:6f3e:8469,,5432,TCP,0,0
DNBIT,10.100.246.80,,10.100.246.135,,443,HTTPS,1847244,1365563
DNBIT,2001:db8:4c3a:9f21:be9c:cd33:5c97:65e2,,2001:db8:2bda:f8d3:33f5:95c7:795c:d013,,80,HTTP,1192332,3750743
DNBIT,2001:db8:2582:6d22:c411:5792:4142:3086,,2001:db8:2bda:f8d3:60ba:f8bc:9870:7b43,,,TCP,352479,357539
DNBIT,10.164.105.103,,10.164.116.168,,8443,HTTPS,3577013,630177
DNBIT,10.100.246.242,,10.165.116.244,,8080,HTTP,0,0
DNBIT,10.164.116.62,,10.100.246.144,,80,HTTP,3815935,910609
DNBIT,10.164.144.65,,10.100.246.83,,8080,HTTP,3445524,3510159
DNBIT,10.164.105.114,,10.164.145.192,,8080,HTTP,1729458,849712
DNBIT,10.164.105.132,,10.100.160.7,,,TCP,2550086,2758748
