App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNBLC,10.164.105.183,,10.165.116.168,,1521,TCP,2735616,810978
DNBLC,2001:db8:4c3a:9f21:89b:bddd:7023:28e,,2001:db8:548b:87b5:e2ac:2eda:41cd:5207,,8080,HTTP,1601774,2215301
DNBLC,10.165.116.5,,10.100.160.34,,8443,HTTPS,1715185,3340152
DNBLC,10.100.246.31,,10.164.116.139,,3306,TCP,3894588,3131199
DNBLC,10.164.116.180,,10.164.144.119,,8081,HTTP,2820444,3364174
DNBLC,2001:db8:1a2b:3c4d:8c92:ccaf:3d74:b046,,2001:db8:4c3a:9f21:f89:3e34:47c1:b3db,,8443,HTTPS,3539876,3822980
DNBLC,2001:db8:2bda:f8d3:8670:bf5d:83fb:da1d,,2001:db8:2582:6d22:738d:967c:b651:1d4a,,,TCP,3626170,1169302
DNBLC,10.164.145.224,,10.164.105.238,,22,TCP,2406324,2013038
DNBLC,10.165.116.174,,10.164.144.208,,,TCP,0,0
DNBLC,10.164.116.43,,10.164.116.120,,8443,HTTPS,928326,364478
DNBLC,10.164.145.60,,10.164.144.203,,8080,HTTP,3737021,3349661
DNBLC,10.164.105.203,,10.100.160.220,,8080,HTTP,0,0
DNBLC,2001:db8:548b:87b5:2e6c:d184:a147:6cf4,,2001:db8:2582:6d22:7e79:1775:41f4:4265,,8443,HTTPS,1945327,277902
DNBLC,10.164.116.226,,10.100.246.47,,8443,HTTPS,2276058,2891686
DNBLC,10.164.145.233,,10.164.105.189,,443,HTTPS,906486,1423085
DNBLC,10.164.144.96,,10.164.144.149,,22,TCP,1103180,1153334
DNBLC,2001:db8:548b:87b5:db84:c3f3:2f89:69ef,,2001:db8:2582:6d22:1591:16be:554f:b0ea,,,TCP,108077,1991408
DNBLC,10.164.116.218,,10.100.160.101,,5432,TCP,3882186,3722223
DNBLC,10.164.145.204,,10.164.145.151,,80,TCP,3687177,1034925
DNBLC,10.100.160.89,,10.100.160.45,,3306,TCP,1357913,3028076
DNBLC,10.100.246.35,,10.165.116.149,,8443,HTTPS,3661278,2494281
DNBLC,10.164.116.119,,10.164.144.48,,8443,HTTPS,107813,1611524
DNBLC,10.164.145.100,,10.164.105.95,,1521,TCP,3462205,3970383
DNBLC,10.164.116.98,,10.100.246.202,,8081,HTTP,2240321,2262655
DNBLC,10.164.145.221,,10.164.116.120,,8081,HTTP,3672373,3591337
DNBLC,10.100.160.59,,10.164.105.15,,8443,HTTPS,913642,3252401
DNBLC,10.164.116.98,,10.100.246.71,,443,HTTPS,1681282,3542206
DNBLC,2001:db8:2bda:f8d3:949f:deff:fe04:1767,,2001:db8:1a2b:3c4d:2cc7:8bac:d45a:9fc0,,8080,HTTP,991199,2793985
DNBLC,10.164.144.247,,10.164.116.86,,8443,TCP,2208222,2113814
DNBLC,2001:db8:2bda:f8d3:82f8:51ab:372d:226,,2001:db8:ea19:a1e1:a7a:ee57:eab1:1f7,,80,HTTP,3375775,2895388
DNBLC,10.164.105.178,,10.165.116.152,,8080,HTTP,429779,1922746
DNBLC,10.100.160.198,,10.100.160.17,,80,TCP,125719,3725690
DNBLC,10.100.160.215,,10.164.105.8,,,TCP,3324541,941239
DNBLC,10.164.105.123,,10.164.145.213,,,TCP,2170310,1198865
DNBLC,2001:db8:ea19:a1e1:fc5a:4951:e8f7:1999,,2001:db8:ea19:a1e1:9306:6a39:441c:ccb8,,443,HTTPS,2523994,443940
DNBLC,10.100.160.194,,10.164.144.24,,443,HTTPS,1085423,1690796
DNBLC,10.164.116.65,,10.164.105.9,,8081,HTTP,1369318,2373452
DNBLC,10.164.144.13,,10.165.116.38,,8081,HTTP,157009,550529
DNBLC,10.100.246.110,,10.100.160.213,,1521,TCP,981693,2652091
DNBLC,10.164.145.136,,10.100.160.252,,80,TCP,3666216,2546917
DNBLC,10.164.105.171,,10.164.145.103,,443,HTTPS,1604966,1024587
DNBLC,10.164.116.88,,10.100.160.157,,443,HTTPS,3724521,3453179
DNBLC,10.164.144.210,,10.164.105.141,,8443,HTTPS,1453516,1594334
DNBLC,2001:db8:2582:6d22:35d7:6ead:bb72:bdb4,,2001:db8:4c3a:9f21:4866:89cd:b7ad:86da,,8081,HTTP,3843975,1989396
DNBLC,10.100.246.51,,10.164.105.41,,443,HTTPS,1650236,934774
DNBLC,10.164.145.37,,10.165.116.202,,8080,HTTP,0,0
DNBLC,10.164.105.37,,10.164.145.170,,8443,HTTPS,2325679,3771363
DNBLC,10.164.145.133,,10.165.116.73,,443,HTTPS,237194,3425669
DNBLC,10.165.116.167,,10.164.145.166,,8081,HTTP,3416719,938424
DNBLC,10.165.116.98,,10.164.144.244,,22,TCP,0,0
DNBLC,2001:db8:4c3a:9f21:b012:2d2b:a478:2efb,,2001:db8:1a2b:3c4d:5ad2:8c2b:84f4:e638,,443,HTTPS,2016431,1157002
DNBLC,10.164.144.96,,10.100.246.131,,,TCP,1564126,2999779
DNBLC,10.164.144.29,,10.164.105.36,,443,HTTPS,1118184,3079704
DNBLC,10.164.116.1,,10.164.144.19,,8081,HTTP,3538285,1600783
DNBLC,10.100.160.69,,10.100.246.98,,8443,HTTPS,2223728,3980743
DNBLC,10.165.116.166,,10.164.105.84,,8080,HTTP,3808128,1144409
DNBLC,10.164.105.184,,10.100.246.220,,443,TCP,751652,2881505
DNBLC,10.100.246.228,,10.100.160.31,,,TCP,345602,2667554
DNBLC,2001:db8:548b:87b5:4178:bae7:96bc:746f,,2001:db8:2bda:f8d3:ce6a:4a97:7f0a:686c,,1521,TCP,2260513,1082227
DNBLC,10.164.144.207,,10.165.116.175,,,TCP,0,0
DNBLC,2001:db8:1a2b:3c4d:a319:cb73:d866:be2d,,2001:db8:1a2b:3c4d:13b7:56e0:78:fc81,,,TCP,0,0
