App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNBRI,10.100.246.172,,10.164.116.188,,8443,HTTPS,2828556,2049097
DNBRI,10.165.116.98,,10.100.160.198,,8443,HTTPS,517085,1330739
DNBRI,10.164.145.11,,10.164.145.249,,8081,HTTP,0,0
DNBRI,10.165.116.6,,10.100.160.175,,8443,HTTPS,131072,2678493
DNBRI,10.164.105.35,,10.164.145.223,,443,HTTPS,1766199,739230
DNBRI,10.164.145.13,,10.164.144.251,,443,TCP,311438,3592505
DNBRI,10.164.105.235,,10.100.160.43,,8080,HTTP,1509921,481999
DNBRI,10.100.160.188,,10.100.246.85,,8443,HTTPS,1173680,1135231
DNBRI,2001:db8:ea19:a1e1:243c:abb0:4e34:4bcb,,2001:db8:2582:6d22:8645:2f11:c6e1:ece9,,443,HTTPS,0,0
DNBRI,10.164.145.38,,10.165.116.234,,443,TCP,2842115,2817319
DNBRI,10.164.144.171,,10.164.105.251,,443,HTTPS,1124354,547488
DNBRI,10.100.246.70,,10.164.116.190,,80,TCP,3806551,680886
DNBRI,2001:db8:ea19:a1e1:1cf5:8421:1d95:dbe3,,2001:db8:ea19:a1e1:481c:eb56:10df:94a8,,8080,HTTP,875584,450851
DNBRI,10.164.116.14,,10.165.116.190,,8081,HTTP,3909877,2688583
DNBRI,2001:db8:2582:6d22:6d6b:8264:207b:9832,,2001:db8:2582:6d22:a687:4c45:ef5e:3d02,,8443,HTTPS,3018528,871045
DNBRI,10.164.116.156,,10.100.160.39,,80,TCP,3682137,1978351
DNBRI,10.165.116.194,,10.165.116.231,,,TCP,3063472,1789793
DNBRI,10.165.116.20,,10.164.144.226,,,TCP,2683507,3722119
DNBRI,10.100.160.182,,10.100.246.94,,443,TCP,704120,3809271
DNBRI,10.100.246.4,,10.100.246.144,,3306,TCP,2490413,3140770
DNBRI,10.164.145.43,,10.164.145.155,,5432,TCP,3853859,411973
DNBRI,10.100.246.241,,10.165.116.157,,8443,HTTPS,3921917,3781128
DNBRI,10.164.116.57,,10.164.144.169,,,TCP,593686,1652197
DNBRI,10.164.145.30,,10.164.145.100,,80,HTTP,1450424,2814480
DNBRI,10.164.116.93,,10.164.144.205,,80,HTTP,981784,1791172
DNBRI,10.164.105.146,,10.164.105.192,,443,HTTPS,1970575,390200
DNBRI,10.165.116.177,,10.164.116.13,,443,HTTPS,1597265,2810088
DNBRI,10.164.144.254,,10.100.246.132,,8443,HTTPS,0,0
DNBRI,10.100.246.130,,10.164.105.87,,8080,HTTP,1069131,1952037
DNBRI,10.164.116.26,,10.164.116.146,,8081,HTTP,3269983,1766145
DNBRI,10.164.144.38,,10.164.144.208,,22,TCP,3106676,1947719
